,,,EleR_01,HydR_01
period1,sc01,t0001, 0.0230748 ,
period1,sc01,t0002, 0.0158424 ,
period1,sc01,t0003, 0.0010332 ,
period1,sc01,t0004, 0.0009184 ,
period1,sc01,t0005, 0.000574 ,
period1,sc01,t0006, 0.0009184 ,
period1,sc01,t0007, 0.0010332 ,
period1,sc01,t0008, 0.0060844 ,
period1,sc01,t0009, 2.33043999999999E-02 ,
period1,sc01,t0010, 0.035588 ,
period1,sc01,t0011, 0.0508564 ,
period1,sc01,t0012, 0.0695688 ,
period1,sc01,t0013, 0.0695688 ,
period1,sc01,t0014, 0.0652064 ,
period1,sc01,t0015, 0.2033108 ,
period1,sc01,t0016, 0.2767828 ,
period1,sc01,t0017, 0.4194792 ,
period1,sc01,t0018, 0.5284244 ,
period1,sc01,t0019, 0.6225604 ,
period1,sc01,t0020, 0.6156724 ,
period1,sc01,t0021, 0.551614 ,
period1,sc01,t0022, 0.5129264 ,
period1,sc01,t0023, 0.5276208 ,
period1,sc01,t0024, 0.4018 ,
period1,sc01,t0025, 0.664806799999999 ,
period1,sc01,t0026, 0.5931716 ,
period1,sc01,t0027, 0.6068328 ,
period1,sc01,t0028, 0.5069568 ,
period1,sc01,t0029, 0.5749184 ,
period1,sc01,t0030, 0.8119804 ,
period1,sc01,t0031, 1.1773888 ,
period1,sc01,t0032, 1.5864212 ,
period1,sc01,t0033, 1.6758504 ,
period1,sc01,t0034, 1.688134 ,
period1,sc01,t0035, 1.6716028 ,
period1,sc01,t0036, 1.64565799999999 ,
period1,sc01,t0037, 1.6574824 ,
period1,sc01,t0038, 1.6503648 ,
period1,sc01,t0039, 1.701336 ,
period1,sc01,t0040, 1.7833032 ,
period1,sc01,t0041, 1.8699772 ,
period1,sc01,t0042, 1.9516 ,
period1,sc01,t0043, 2.0060152 ,
period1,sc01,t0044, 1.8880008 ,
period1,sc01,t0045, 1.75644 ,
period1,sc01,t0046, 1.6263716 ,
period1,sc01,t0047, 1.5115716 ,
period1,sc01,t0048, 1.3553288 ,
period1,sc01,t0049, 0.9047388 ,
period1,sc01,t0050, 0.8487164 ,
period1,sc01,t0051, 0.8488312 ,
period1,sc01,t0052, 0.8201312 ,
period1,sc01,t0053, 0.8303484 ,
period1,sc01,t0054, 0.8855672 ,
period1,sc01,t0055, 1.1764704 ,
period1,sc01,t0056, 1.7789408 ,
period1,sc01,t0057, 1.8818016 ,
period1,sc01,t0058, 1.9179636 ,
period1,sc01,t0059, 1.9351836 ,
period1,sc01,t0060, 1.9457452 ,
period1,sc01,t0061, 1.88846 ,
period1,sc01,t0062, 1.8472468 ,
period1,sc01,t0063, 1.8719288 ,
period1,sc01,t0064, 1.92554039999999 ,
period1,sc01,t0065, 1.9126828 ,
period1,sc01,t0066, 1.9598656 ,
period1,sc01,t0067, 1.9393164 ,
period1,sc01,t0068, 1.8481652 ,
period1,sc01,t0069, 1.7176376 ,
period1,sc01,t0070, 1.504454 ,
period1,sc01,t0071, 1.3118196 ,
period1,sc01,t0072, 1.0752168 ,
period1,sc01,t0073, 0.9514624 ,
period1,sc01,t0074, 0.9050832 ,
period1,sc01,t0075, 0.8027964 ,
period1,sc01,t0076, 0.7951048 ,
period1,sc01,t0077, 0.82369 ,
period1,sc01,t0078, 0.9382604 ,
period1,sc01,t0079, 0.9196628 ,
period1,sc01,t0080, 0.9566284 ,
period1,sc01,t0081, 0.9903796 ,
period1,sc01,t0082, 0.9800476 ,
period1,sc01,t0083, 0.871906 ,
period1,sc01,t0084, 0.9380308 ,
period1,sc01,t0085, 0.9286172 ,
