,,,EV_01,EV_02,EV_03,EV_04,EV_05,EV_06,EV_07,EV_08,EV_09,EV_10,BESS_01,Solar_01,Solar_02,Solar_03,Solar_04,Solar_05,Solar_06,Solar_07,Solar_08,Solar_09,Solar_10
period1,sc01,t0001, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0002, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0003, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0004, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0005, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0006, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0007, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0008, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0009, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0010, 0 , 0 , 1.5825721076101 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0011, 0 , 0 , 1.5825721076101 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0012, 0 , 0 , 1.5825721076101 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0013, 0 , 0 , 1.5825721076101 , 0 , 0 , 0 , 3.34589467517301 , 0.431532344457824 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0014, 0 , 0 , 1.5825721076101 , 0 , 0 , 0 , 3.34589467517301 , 0.431532344457824 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0015, 0 , 0 , 1.5825721076101 , 0 , 0 , 0 , 3.34589467517301 , 0.431532344457824 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0016, 0 , 0 , 1.5825721076101 , 0 , 0 , 0 , 3.34589467517301 , 0.431532344457824 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0017, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0018, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0019, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0020, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0021, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0022, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0023, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0024, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0025, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0026, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0027, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0028, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0029, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0030, 0 , 0 , 0 , 0 , 0 , 0.343195496364704 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0031, 0 , 0.242138239579714 , 0 , 0 , 0 , 0.343195496364704 , 0.454254013911053 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0032, 0 , 0.242138239579714 , 0 , 0.665276228073702 , 0.360581583509181 , 0.343195496364704 , 0.454254013911053 , 0.332707442937453 , 0 , 0.548919718178145 ,,,,,,,,,,,
period1,sc01,t0033, 0.248139382494676 , 0.242138239579714 , 0.482339446878808 , 0.665276228073702 , 0.360581583509181 , 0.343195496364704 , 0.454254013911053 , 0.332707442937453 , 0 , 0.548919718178145 ,,,,,,,,,,,
period1,sc01,t0034, 0.248139382494676 , 0.242138239579714 , 0.482339446878808 , 0.665276228073702 , 0.360581583509181 , 0.343195496364704 , 0.454254013911053 , 0.332707442937453 , 0 , 0.548919718178145 ,,,,,,,,,,,
period1,sc01,t0035, 0.248139382494676 , 0.242138239579714 , 0.482339446878808 , 0.665276228073702 , 0.360581583509181 , 0.343195496364704 , 0.454254013911053 , 0.332707442937453 , 0 , 0.548919718178145 ,,,,,,,,,,,
period1,sc01,t0036, 0.248139382494676 , 0.242138239579714 , 0.482339446878808 , 0.665276228073702 , 0.360581583509181 , 0.343195496364704 , 0.454254013911053 , 0.332707442937453 , 0 , 0.548919718178145 ,,,,,,,,,,,
period1,sc01,t0037, 0.248139382494676 , 0.242138239579714 , 0.482339446878808 , 0.665276228073702 , 0.360581583509181 , 0.343195496364704 , 0.454254013911053 , 0.332707442937453 , 0 , 0.548919718178145 ,,,,,,,,,,,
period1,sc01,t0038, 0.248139382494676 , 0.242138239579714 , 0.482339446878808 , 0.665276228073702 , 0.360581583509181 , 0.343195496364704 , 0.454254013911053 , 0.332707442937453 , 0 , 0.548919718178145 ,,,,,,,,,,,
period1,sc01,t0039, 0.248139382494676 , 0.242138239579714 , 0.482339446878808 , 0.665276228073702 , 0.360581583509181 , 0.343195496364704 , 0.454254013911053 , 0.332707442937453 , 0 , 0.548919718178145 ,,,,,,,,,,,
period1,sc01,t0040, 0.248139382494676 , 0.242138239579714 , 0.482339446878808 , 0.665276228073702 , 0.360581583509181 , 0 , 0.454254013911053 , 0.332707442937453 , 0 , 0.548919718178145 ,,,,,,,,,,,
period1,sc01,t0041, 0.248139382494676 , 0 , 0.482339446878808 , 0.665276228073702 , 0.360581583509181 , 0 , 0.454254013911053 , 0 , 0 , 0.548919718178145 ,,,,,,,,,,,
period1,sc01,t0042, 0.248139382494676 , 0 , 0 , 0.665276228073702 , 0.360581583509181 , 0 , 0.454254013911053 , 0 , 0 , 0.548919718178145 ,,,,,,,,,,,
period1,sc01,t0043, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.548919718178145 ,,,,,,,,,,,
