Home,Scenario,H,HType,Cluster,Month,BESS_kWh,V2G_hours,total_hours
1,T0,10,SF,ClusterA,1,0.0,0,744
1,T0,10,SF,ClusterA,10,0.0,0,744
1,T0,10,SF,ClusterA,11,0.0,0,720
1,T0,10,SF,ClusterA,12,0.0,0,720
1,T0,10,SF,ClusterA,2,0.0,0,672
1,T0,10,SF,ClusterA,3,0.0,0,744
1,T0,10,SF,ClusterA,4,0.0,0,720
1,T0,10,SF,ClusterA,5,0.0,0,744
1,T0,10,SF,ClusterA,6,0.0,0,720
1,T0,10,SF,ClusterA,7,0.0,0,744
1,T0,10,SF,ClusterA,8,0.0,0,744
1,T0,10,SF,ClusterA,9,0.0,0,720
1,T0,10,SF,ClusterB,1,155.01012420909018,0,744
1,T0,10,SF,ClusterB,10,160.5046301144257,0,744
1,T0,10,SF,ClusterB,11,153.6616048209001,0,720
1,T0,10,SF,ClusterB,12,125.53520691460213,0,720
1,T0,10,SF,ClusterB,2,152.46041717183664,0,672
1,T0,10,SF,ClusterB,3,182.25412838305746,0,744
1,T0,10,SF,ClusterB,4,194.89864077887339,0,720
1,T0,10,SF,ClusterB,5,249.21823011267213,0,744
1,T0,10,SF,ClusterB,6,159.63016406574428,0,720
1,T0,10,SF,ClusterB,7,160.7824089806259,0,744
1,T0,10,SF,ClusterB,8,172.73348229063777,0,744
1,T0,10,SF,ClusterB,9,186.73902019273604,0,720
1,T0,10,SF,ClusterC,1,149.85579479034772,0,744
1,T0,10,SF,ClusterC,10,154.70012662853497,0,744
1,T0,10,SF,ClusterC,11,144.054481985191,0,720
1,T0,10,SF,ClusterC,12,125.49168523740144,0,720
1,T0,10,SF,ClusterC,2,157.27372062270254,0,672
1,T0,10,SF,ClusterC,3,169.5039537915439,0,744
1,T0,10,SF,ClusterC,4,186.57383018708043,0,720
1,T0,10,SF,ClusterC,5,223.8287188537751,0,744
1,T0,10,SF,ClusterC,6,154.47725585826447,0,720
1,T0,10,SF,ClusterC,7,136.58518671522603,0,744
1,T0,10,SF,ClusterC,8,168.55546365560454,0,744
1,T0,10,SF,ClusterC,9,175.46765836624655,0,720
1,T0,10,SF,ClusterD,1,118.79866500427902,154,744
1,T0,10,SF,ClusterD,10,149.64785862751927,77,744
1,T0,10,SF,ClusterD,11,99.39225533525712,146,720
1,T0,10,SF,ClusterD,12,88.84670698755623,130,720
1,T0,10,SF,ClusterD,2,108.77928943745513,137,672
1,T0,10,SF,ClusterD,3,123.70669265004268,150,744
1,T0,10,SF,ClusterD,4,137.56575665579112,127,720
1,T0,10,SF,ClusterD,5,178.2022003055813,142,744
1,T0,10,SF,ClusterD,6,106.58940334267827,159,720
1,T0,10,SF,ClusterD,7,103.8204959150296,150,744
1,T0,10,SF,ClusterD,8,144.193235284244,108,744
1,T0,10,SF,ClusterD,9,127.47643079440061,109,720
1,T0,10,SF,ClusterE,1,0.0,0,744
1,T0,10,SF,ClusterE,10,0.0,0,744
1,T0,10,SF,ClusterE,11,0.0,0,720
1,T0,10,SF,ClusterE,12,0.0,0,720
1,T0,10,SF,ClusterE,2,0.0,0,672
1,T0,10,SF,ClusterE,3,0.0,0,744
1,T0,10,SF,ClusterE,4,0.0,0,720
1,T0,10,SF,ClusterE,5,0.0,0,744
1,T0,10,SF,ClusterE,6,0.0,0,720
1,T0,10,SF,ClusterE,7,0.0,0,744
1,T0,10,SF,ClusterE,8,0.0,0,744
1,T0,10,SF,ClusterE,9,0.0,0,720
1,T0,1,Apt,ClusterA,1,0.0,0,744
1,T0,1,Apt,ClusterA,10,0.0,0,744
1,T0,1,Apt,ClusterA,11,0.0,0,720
1,T0,1,Apt,ClusterA,12,0.0,0,720
1,T0,1,Apt,ClusterA,2,0.0,0,672
1,T0,1,Apt,ClusterA,3,0.0,0,744
1,T0,1,Apt,ClusterA,4,0.0,0,720
1,T0,1,Apt,ClusterA,5,0.0,0,744
1,T0,1,Apt,ClusterA,6,0.0,0,720
1,T0,1,Apt,ClusterA,7,0.0,0,744
1,T0,1,Apt,ClusterA,8,0.0,0,744
1,T0,1,Apt,ClusterA,9,0.0,0,720
1,T0,1,Apt,ClusterB,1,92.33005661239062,0,744
1,T0,1,Apt,ClusterB,10,112.68592465712112,0,744
1,T0,1,Apt,ClusterB,11,95.30506418108685,0,720
1,T0,1,Apt,ClusterB,12,79.21522621588156,0,720
1,T0,1,Apt,ClusterB,2,114.92521298844107,0,672
1,T0,1,Apt,ClusterB,3,118.56055681370918,0,744
1,T0,1,Apt,ClusterB,4,103.36370704234025,0,720
1,T0,1,Apt,ClusterB,5,192.53665186295893,0,744
1,T0,1,Apt,ClusterB,6,89.25973421296209,0,720
1,T0,1,Apt,ClusterB,7,87.8478021524141,0,744
1,T0,1,Apt,ClusterB,8,115.37753362369995,0,744
1,T0,1,Apt,ClusterB,9,133.28048075480058,0,720
1,T0,1,Apt,ClusterC,1,93.76098432279508,0,744
1,T0,1,Apt,ClusterC,10,91.27488836782564,0,744
1,T0,1,Apt,ClusterC,11,94.06546358634176,0,720
1,T0,1,Apt,ClusterC,12,78.25471051097011,0,720
1,T0,1,Apt,ClusterC,2,119.47901080963723,0,672
1,T0,1,Apt,ClusterC,3,115.40268851994176,0,744
1,T0,1,Apt,ClusterC,4,105.3549296855419,0,720
1,T0,1,Apt,ClusterC,5,178.67353632013567,0,744
1,T0,1,Apt,ClusterC,6,80.29094422347208,0,720
1,T0,1,Apt,ClusterC,7,66.44674587389292,0,744
1,T0,1,Apt,ClusterC,8,112.50387802705802,0,744
1,T0,1,Apt,ClusterC,9,128.59161688128702,0,720
1,T0,1,Apt,ClusterD,1,81.511150544455,140,744
1,T0,1,Apt,ClusterD,10,85.70956992927147,66,744
1,T0,1,Apt,ClusterD,11,61.171607311802376,161,720
1,T0,1,Apt,ClusterD,12,57.00086568862362,131,720
1,T0,1,Apt,ClusterD,2,102.61146704372355,99,672
1,T0,1,Apt,ClusterD,3,95.15344121533906,96,744
1,T0,1,Apt,ClusterD,4,94.59820174004054,109,720
1,T0,1,Apt,ClusterD,5,140.53022339361252,107,744
1,T0,1,Apt,ClusterD,6,68.18275339277778,99,720
1,T0,1,Apt,ClusterD,7,54.931340630592715,99,744
1,T0,1,Apt,ClusterD,8,94.13859637376791,102,744
1,T0,1,Apt,ClusterD,9,113.8430722453937,77,720
1,T0,1,Apt,ClusterE,1,0.0,0,744
1,T0,1,Apt,ClusterE,10,0.0,0,744
1,T0,1,Apt,ClusterE,11,0.0,0,720
1,T0,1,Apt,ClusterE,12,0.0,0,720
1,T0,1,Apt,ClusterE,2,0.0,0,672
1,T0,1,Apt,ClusterE,3,0.0,0,744
1,T0,1,Apt,ClusterE,4,0.0,0,720
1,T0,1,Apt,ClusterE,5,0.0,0,744
1,T0,1,Apt,ClusterE,6,0.0,0,720
1,T0,1,Apt,ClusterE,7,0.0,0,744
1,T0,1,Apt,ClusterE,8,0.0,0,744
1,T0,1,Apt,ClusterE,9,0.0,0,720
1,T0,2,Apt,ClusterA,1,0.0,0,744
1,T0,2,Apt,ClusterA,10,0.0,0,744
1,T0,2,Apt,ClusterA,11,0.0,0,720
1,T0,2,Apt,ClusterA,12,0.0,0,720
1,T0,2,Apt,ClusterA,2,0.0,0,672
1,T0,2,Apt,ClusterA,3,0.0,0,744
1,T0,2,Apt,ClusterA,4,0.0,0,720
1,T0,2,Apt,ClusterA,5,0.0,0,744
1,T0,2,Apt,ClusterA,6,0.0,0,720
1,T0,2,Apt,ClusterA,7,0.0,0,744
1,T0,2,Apt,ClusterA,8,0.0,0,744
1,T0,2,Apt,ClusterA,9,0.0,0,720
1,T0,2,Apt,ClusterB,1,96.88538103272244,0,744
1,T0,2,Apt,ClusterB,10,122.79139831117591,0,744
1,T0,2,Apt,ClusterB,11,89.04592539590502,0,720
1,T0,2,Apt,ClusterB,12,72.73950224023582,0,720
1,T0,2,Apt,ClusterB,2,120.72663900785889,0,672
1,T0,2,Apt,ClusterB,3,128.98285247614382,0,744
1,T0,2,Apt,ClusterB,4,101.88864023586277,0,720
1,T0,2,Apt,ClusterB,5,178.07481724952345,0,744
1,T0,2,Apt,ClusterB,6,77.50420015072152,0,720
1,T0,2,Apt,ClusterB,7,94.64846451930029,0,744
1,T0,2,Apt,ClusterB,8,117.33634880159093,0,744
1,T0,2,Apt,ClusterB,9,118.96851749681124,0,720
1,T0,2,Apt,ClusterC,1,95.75699273925648,0,744
1,T0,2,Apt,ClusterC,10,116.10803261971219,0,744
1,T0,2,Apt,ClusterC,11,85.2928715583767,0,720
1,T0,2,Apt,ClusterC,12,72.08426592919386,0,720
1,T0,2,Apt,ClusterC,2,116.79961741808336,0,672
1,T0,2,Apt,ClusterC,3,127.415990815165,0,744
1,T0,2,Apt,ClusterC,4,98.97500749088621,0,720
1,T0,2,Apt,ClusterC,5,171.33205074515035,0,744
1,T0,2,Apt,ClusterC,6,77.08382931591863,0,720
1,T0,2,Apt,ClusterC,7,67.87412427919625,0,744
1,T0,2,Apt,ClusterC,8,123.08597472096136,0,744
1,T0,2,Apt,ClusterC,9,116.778736863922,0,720
1,T0,2,Apt,ClusterD,1,78.047238444285,180,744
1,T0,2,Apt,ClusterD,10,91.39873160004018,85,744
1,T0,2,Apt,ClusterD,11,58.77078979417468,161,720
1,T0,2,Apt,ClusterD,12,52.34539964295119,154,720
1,T0,2,Apt,ClusterD,2,89.505626880461,124,672
1,T0,2,Apt,ClusterD,3,108.88247759072388,154,744
1,T0,2,Apt,ClusterD,4,91.64098561414622,115,720
1,T0,2,Apt,ClusterD,5,128.3494760327451,64,744
1,T0,2,Apt,ClusterD,6,74.25671606074052,99,720
1,T0,2,Apt,ClusterD,7,58.05445027054622,99,744
1,T0,2,Apt,ClusterD,8,116.99915942624892,67,744
1,T0,2,Apt,ClusterD,9,103.2311109099583,63,720
1,T0,2,Apt,ClusterE,1,0.0,0,744
1,T0,2,Apt,ClusterE,10,0.0,0,744
1,T0,2,Apt,ClusterE,11,0.0,0,720
1,T0,2,Apt,ClusterE,12,0.0,0,720
1,T0,2,Apt,ClusterE,2,0.0,0,672
1,T0,2,Apt,ClusterE,3,0.0,0,744
1,T0,2,Apt,ClusterE,4,0.0,0,720
1,T0,2,Apt,ClusterE,5,0.0,0,744
1,T0,2,Apt,ClusterE,6,0.0,0,720
1,T0,2,Apt,ClusterE,7,0.0,0,744
1,T0,2,Apt,ClusterE,8,0.0,0,744
1,T0,2,Apt,ClusterE,9,0.0,0,720
1,T0,3,Apt,ClusterA,1,0.0,0,744
1,T0,3,Apt,ClusterA,10,0.0,0,744
1,T0,3,Apt,ClusterA,11,0.0,0,720
1,T0,3,Apt,ClusterA,12,0.0,0,720
1,T0,3,Apt,ClusterA,2,0.0,0,672
1,T0,3,Apt,ClusterA,3,0.0,0,744
1,T0,3,Apt,ClusterA,4,0.0,0,720
1,T0,3,Apt,ClusterA,5,0.0,0,744
1,T0,3,Apt,ClusterA,6,0.0,0,720
1,T0,3,Apt,ClusterA,7,0.0,0,744
