Scenario,Cluster,HType,BESS_kWh,V2G_rate
T0,ClusterA,Apt,0.0,0.0
T0,ClusterA,SF,0.0,0.0
T0,ClusterB,Apt,6593.20818472819,0.0
T0,ClusterB,SF,10183.521935236691,0.0
T0,ClusterC,Apt,6218.4576486611395,0.0
T0,ClusterC,SF,9655.342660528944,0.0
T0,ClusterD,Apt,5204.413028564015,14.7985347985348
T0,ClusterD,SF,7240.566948010628,18.669871794871796
T0,ClusterE,Apt,0.0,0.0
T0,ClusterE,SF,0.0,0.0
T3,ClusterA,Apt,0.0,0.0
T3,ClusterA,SF,0.0,0.0
T3,ClusterB,Apt,6221.932804067812,0.0
T3,ClusterB,SF,11088.298762742637,0.0
T3,ClusterC,Apt,5826.108874611546,0.0
T3,ClusterC,SF,10262.391992325003,0.0
T3,ClusterD,Apt,4759.452583914108,10.801282051282051
T3,ClusterD,SF,7140.315749363649,16.398809523809526
T3,ClusterE,Apt,0.0,0.0
T3,ClusterE,SF,0.0,0.0
T4,ClusterA,Apt,0.0,0.0
T4,ClusterA,SF,0.0,0.0
T4,ClusterB,Apt,6492.14980117405,0.0
T4,ClusterB,SF,10421.375665176545,0.0
T4,ClusterC,Apt,6141.726946791609,0.0
T4,ClusterC,SF,9938.569025120725,0.0
T4,ClusterD,Apt,5106.906327825844,13.717948717948719
T4,ClusterD,SF,7511.866237584079,17.699175824175825
T4,ClusterE,Apt,0.0,0.0
T4,ClusterE,SF,0.0,0.0
