Scenario,Cluster,DoD
T0,ClusterA,0.0
T0,ClusterB,818.8051038156389
T0,ClusterC,1441.6501681680952
T0,ClusterD,2238.5947799833716
T0,ClusterE,0.0
T1,ClusterA,0.0
T1,ClusterB,798.4999474614436
T1,ClusterC,1412.0494134071096
T1,ClusterD,2403.6086958827027
T1,ClusterE,0.0
T2,ClusterA,0.0
T2,ClusterB,813.0075150365601
T2,ClusterC,1436.4666475981267
T2,ClusterD,2289.7049084942046
T2,ClusterE,0.0
T3,ClusterA,0.0
T3,ClusterB,802.6006419061043
T3,ClusterC,1445.464366069918
T3,ClusterD,1926.4493030717545
T3,ClusterE,0.0
T4,ClusterA,0.0
T4,ClusterB,822.1910977566774
T4,ClusterC,1449.5908535749131
T4,ClusterD,2120.9704469090525
T4,ClusterE,0.0
