Cluster,Scenario,NetCost,CostChange,P95_kW
ClusterA,T0,8693.001930331424,0.0,9.059737689169626
ClusterA,T1,6323.98938647313,-2369.0125438582936,9.059737689169626
ClusterA,T2,7508.4956584022775,-1184.5062719291464,9.059737689169626
ClusterA,T3,12644.214240064723,3951.2123097332988,9.059737689169626
ClusterA,T4,12717.473323134675,4024.4713928032506,9.059737689169626
ClusterB,T0,4758.432862081171,0.0,8.726827069335366
ClusterB,T1,3577.4305015740756,-1181.0023605070955,10.526396640956056
ClusterB,T2,4198.455232087112,-559.9776299940595,8.726827069335366
ClusterB,T3,5918.860236806553,1160.427374725382,4.059737689169626
ClusterB,T4,6826.51378376375,2068.080921682579,8.754243026969338
ClusterC,T0,6156.463958916392,0.0,10.0
ClusterC,T1,4899.139822793855,-1257.3241361225364,19.94669854670129
ClusterC,T2,5581.425571743712,-575.0383871726799,10.0
ClusterC,T3,7464.336244723707,1307.8722858073152,4.059737689169626
ClusterC,T4,8242.001167207027,2085.537208290635,10.0
ClusterD,T0,3531.451770407207,0.0,10.000000000000002
ClusterD,T1,1789.8006330356795,-1741.6511373715273,20.05405152857157
ClusterD,T2,2851.000732306027,-680.4510381011796,11.051923242858116
ClusterD,T3,5591.3630952616995,2059.9113248544927,3.9033127326724504
ClusterD,T4,5620.515484984331,2089.0637145771243,10.0
ClusterE,T0,14887.792802675354,0.0,9.249803277060764
ClusterE,T1,12369.853451857382,-2517.939350817973,9.249803277060764
ClusterE,T2,13628.823127266369,-1258.9696754089855,9.249803277060764
ClusterE,T3,18949.04275381911,4061.2499511437563,9.249803277060764
ClusterE,T4,18995.345645743404,4107.55284306805,9.249803277060764
