,Node,Retailer,Flexible,MaximumPower,InitialPeriod,FinalPeriod,FlexPercent,ShiftedSteps
EleD_01,Node2,EleR_01,No, 100 , 2020 , 2050 , 0.3 , 2 
EleD_02,Node2,EleR_01,No, 100 , 2040 , 2050 , 0.3 , 2 
EleD_03,Node2,EleR_01,No, 100 , 2040 , 2050 , 0.3 , 2 
EleD_04,Node2,EleR_01,No, 100 , 2040 , 2050 , 0.3 , 2 
EleD_05,Node2,EleR_01,No, 100 , 2040 , 2050 , 0.3 , 2 
EleD_06,Node2,EleR_01,No, 100 , 2040 , 2050 , 0.3 , 2 
EleD_07,Node2,EleR_01,No, 100 , 2040 , 2050 , 0.3 , 2 
EleD_08,Node2,EleR_01,No, 100 , 2040 , 2050 , 0.3 , 2 
EleD_09,Node2,EleR_01,No, 100 , 2040 , 2050 , 0.3 , 2 
EleD_10,Node2,EleR_01,No, 100 , 2040 , 2050 , 0.3 , 2 
