,Node,Retailer,Technology,RES,ESS,EV,StorageType,OutflowsType,EnergyType,V2G,MustRun,NoDayAhead,NoFCRD,NoFCRN,BinaryCommitment,StorageInvestment,BinaryInvestment,BinaryRetirement,MaxCommitment,StandByStatus,FixedAvailability,InitialPeriod,FinalPeriod,MaximumPower,MinimumPower,StandByPower,MaximumCharge,MinimumCharge,InitialStorage,MaximumStorage,MinimumStorage,DoDS1,DoDS2,DoDS3,DoDC1,DoDC2,DoDC3,Efficiency,EnduranceFCRD,EnduranceFCRN,ProductionFunction,MaxCompressorConsumption,Availability,RampUp,RampDown,UpTime,DownTime,UpTimeZero,DownTimeZero,ReserveConsecutiveTime,CO2EmissionRate,FuelCost,OMVariableCost,LinearTerm,ConstantTerm,StartUpCost,ShutDownCost,FixedChargeRate,FixedInvestmentCost,FixedRetirementCost,InvestmentLo,InvestmentUp,RetirementLo,RetirementUp,MaxInflowsCons,MinInflowsCons,MaxOutflowsProd,MinOutflowsProd,OutflowsRampUp,OutflowsRampDown,Eficiency_AC_DC,Eficiency_DC_AC,Efficiency_ESO,Efficiency_charge,Efficiency_discharge,MaxPower_ACDC,MinSoCDepart,PPA,PPAPrice
EV_01,Node2,EleR_01,EV,,Yes,Yes,Hourly,Daily,,Yes,,No,Yes,Yes,,,,,,,Yes,2020,2050,11,,,11,,35,70,0,,,,,,,0.9,20,60,,,,11,11,,,,,,,1,,,,,,,,,,,,,,,,,,,1,0.9,1,0.96,0.96,30,56,,
EV_02,Node2,EleR_01,EV,,Yes,Yes,Hourly,Daily,,Yes,,No,Yes,Yes,,,,,,,Yes,2040,2050,11,,,11,,35,70,0,,,,,,,0.9,20,60,,,,11,11,,,,,,,1,,,,,,,,,,,,,,,,,,,1,0.9,1,0.96,0.96,30,56,,
EV_03,Node2,EleR_01,EV,,Yes,Yes,Hourly,Daily,,Yes,,No,Yes,Yes,,,,,,,Yes,2040,2050,11,,,11,,35,70,0,,,,,,,0.9,20,60,,,,11,11,,,,,,,1,,,,,,,,,,,,,,,,,,,1,0.9,1,0.96,0.96,30,56,,
EV_04,Node2,EleR_01,EV,,Yes,Yes,Hourly,Daily,,Yes,,No,Yes,Yes,,,,,,,Yes,2040,2050,11,,,11,,35,70,0,,,,,,,0.9,20,60,,,,11,11,,,,,,,1,,,,,,,,,,,,,,,,,,,1,0.9,1,0.96,0.96,30,56,,
EV_05,Node2,EleR_01,EV,,Yes,Yes,Hourly,Daily,,Yes,,No,Yes,Yes,,,,,,,Yes,2040,2050,11,,,11,,35,70,0,,,,,,,0.9,20,60,,,,11,11,,,,,,,1,,,,,,,,,,,,,,,,,,,1,0.9,1,0.96,0.96,30,56,,
EV_06,Node2,EleR_01,EV,,Yes,Yes,Hourly,Daily,,Yes,,No,Yes,Yes,,,,,,,Yes,2040,2050,11,,,11,,35,70,0,,,,,,,0.9,20,60,,,,11,11,,,,,,,1,,,,,,,,,,,,,,,,,,,1,0.9,1,0.96,0.96,30,56,,
EV_07,Node2,EleR_01,EV,,Yes,Yes,Hourly,Daily,,Yes,,No,Yes,Yes,,,,,,,Yes,2040,2050,11,,,11,,35,70,0,,,,,,,0.9,20,60,,,,11,11,,,,,,,1,,,,,,,,,,,,,,,,,,,1,0.9,1,0.96,0.96,30,56,,
EV_08,Node2,EleR_01,EV,,Yes,Yes,Hourly,Daily,,Yes,,No,Yes,Yes,,,,,,,Yes,2040,2050,11,,,11,,35,70,0,,,,,,,0.9,20,60,,,,11,11,,,,,,,1,,,,,,,,,,,,,,,,,,,1,0.9,1,0.96,0.96,30,56,,
EV_09,Node2,EleR_01,EV,,Yes,Yes,Hourly,Daily,,Yes,,No,Yes,Yes,,,,,,,Yes,2040,2050,11,,,11,,35,70,0,,,,,,,0.9,20,60,,,,11,11,,,,,,,1,,,,,,,,,,,,,,,,,,,1,0.9,1,0.96,0.96,30,56,,
EV_10,Node2,EleR_01,EV,,Yes,Yes,Hourly,Daily,,Yes,,No,Yes,Yes,,,,,,,Yes,2040,2050,11,,,11,,35,70,0,,,,,,,0.9,20,60,,,,11,11,,,,,,,1,,,,,,,,,,,,,,,,,,,1,0.9,1,0.96,0.96,30,56,,
BESS_01,Node2,EleR_01,BESS,,Yes,,Hourly,Daily,,Yes,,No,Yes,Yes,,,,,,,,2020,2050,5,,,5,,5,10,0,,,,,,,0.92,20,60,,,,5,5,,,,,,,1,,,,,,0.08,0.20,,0,1,,,,,,,,,1,0.92,1,0.96,0.96,30,,,
Solar_01,Node2,EleR_01,Solar,Yes,,,,,,,,No,Yes,Yes,,,,,,,,2020,2050,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0.08,0.30,,0,1,,,,,,,,,,,,,,,,,
Solar_02,Node2,EleR_01,Solar,Yes,,,,,,,,No,Yes,Yes,,,,,,,,2020,2050,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,35
Solar_03,Node2,EleR_01,Solar,Yes,,,,,,,,No,Yes,Yes,,,,,,,,2040,2050,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar_04,Node2,EleR_01,Solar,Yes,,,,,,,,No,Yes,Yes,,,,,,,,2040,2050,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar_05,Node2,EleR_01,Solar,Yes,,,,,,,,No,Yes,Yes,,,,,,,,2040,2050,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar_06,Node2,EleR_01,Solar,Yes,,,,,,,,No,Yes,Yes,,,,,,,,2040,2050,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar_07,Node2,EleR_01,Solar,Yes,,,,,,,,No,Yes,Yes,,,,,,,,2040,2050,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar_08,Node2,EleR_01,Solar,Yes,,,,,,,,No,Yes,Yes,,,,,,,,2040,2050,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar_09,Node2,EleR_01,Solar,Yes,,,,,,,,No,Yes,Yes,,,,,,,,2040,2050,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar_10,Node2,EleR_01,Solar,Yes,,,,,,,,No,Yes,Yes,,,,,,,,2040,2050,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
