,,,FCRD_Up,FCRD_Down,FCRN_Up,FCRN_Down
period1,sc01,t0001, 5.12250694444361E-04 , 0 , 0 , 8.38210305555412E-02 
period1,sc01,t0002, 0 , 0 , 0 , 0.125801616666652 
period1,sc01,t0003, 0 , 0 , 0.222622313888902 , 0 
period1,sc01,t0004, 0 , 0 , 0.348051919444458 , 0 
period1,sc01,t0005, 0 , 0 , 8.60261083333474E-02 , 0 
period1,sc01,t0006, 0 , 2.37916666666294E-06 , 0 , 0.428087208333319 
period1,sc01,t0007, 0 , 2.20694444444349E-05 , 0 , 4.95927416666523E-02 
period1,sc01,t0008, 9.10206249999844E-04 , 0 , 9.26125000014396E-04 , 0 
period1,sc01,t0009, 1.76450861111103E-02 , 0 , 0.136039900000014 , 0 
period1,sc01,t0010, 0 , 0 , 0.10782839166668 , 0 
period1,sc01,t0011, 0 , 0 , 2.59165805555701E-02 , 0 
period1,sc01,t0012, 3.55694444443709E-06 , 0 , 0.120313586111125 , 0 
period1,sc01,t0013, 0 , 4.77336805555464E-04 , 0 , 0.13201201944443 
period1,sc01,t0014, 0 , 2.24539228760327E-03 , 0 , 0.238127777777763 
period1,sc01,t0015, 0 , 0 , 0 , 0.13961206944443 
period1,sc01,t0016, 0 , 0 , 0 , 0.143419455555541 
period1,sc01,t0017, 5.58680555555104E-06 , 0 , 0 , 0.214168747222208 
period1,sc01,t0018, 1.15387347222215E-02 , 0 , 0 , 9.58797583333188E-02 
period1,sc01,t0019, 0 , 0 , 0 , 4.89493333333187E-02 
period1,sc01,t0020, 0 , 0 , 0.252563711111124 , 0 
period1,sc01,t0021, 0 , 0 , 0.183308722222235 , 0 
period1,sc01,t0022, 0 , 0 , 7.80662111111254E-02 , 0 
period1,sc01,t0023, 0 , 0 , 0 , 6.911916666525E-04 
period1,sc01,t0024, 0 , 0 , 3.87569222222363E-02 , 0 
period1,sc01,t0025, 0 , 1.03120277777769E-03 , 0.239460875000014 , 0 
period1,sc01,t0026, 0 , 1.37402257885226E-02 , 0.045698227777792 , 0 
period1,sc01,t0027, 0 , 0 , 0 , 0.171957097222208 
period1,sc01,t0028, 4.52452592798532E-03 , 0 , 0.255509775000014 , 0 
period1,sc01,t0029, 3.92672986111094E-03 , 0 , 0.398885077777792 , 0 
period1,sc01,t0030, 0 , 0 , 8.91946583333478E-02 , 0 
period1,sc01,t0031, 0 , 0 , 0 , 0.199570655555541 
period1,sc01,t0032, 0 , 0 , 0 , 0.252020358333319 
period1,sc01,t0033, 0 , 0 , 0 , 2.36122833333194E-02 
period1,sc01,t0034, 0 , 0 , 0 , 0.110039149999985 
period1,sc01,t0035, 0 , 9.21907638888749E-04 , 0 , 0.315454027777763 
period1,sc01,t0036, 0 , 3.60483333333263E-04 , 0 , 0.230329066666653 
period1,sc01,t0037, 0 , 0 , 0 , 1.78009777777636E-02 
period1,sc01,t0038, 2.37807419757893E-06 , 0 , 0.13784289166668 , 0 
period1,sc01,t0039, 0 , 0 , 0.209556783333347 , 0 
period1,sc01,t0040, 0 , 0 , 0 , 3.16147111110967E-02 
period1,sc01,t0041, 0 , 1.14123124999979E-03 , 0 , 6.32458249999857E-02 
period1,sc01,t0042, 0 , 0 , 1.59990972222366E-02 , 0 
period1,sc01,t0043, 0 , 0 , 0 , 0.045629830555541 
period1,sc01,t0044, 0 , 0 , 0.34033249166668 , 0 
period1,sc01,t0045, 0 , 0 , 0 , 8.26287749999853E-02 
period1,sc01,t0046, 0 , 0 , 0 , 0.205499208333319 
period1,sc01,t0047, 0 , 0 , 0 , 0.320023991666652 
period1,sc01,t0048, 0 , 1.15631944444372E-05 , 8.34418361111253E-02 , 0 
period1,sc01,t0049, 3.16974305555467E-04 , 0 , 0 , 0.142423838888875 
period1,sc01,t0050, 0 , 0 , 0.120534133333347 , 0 
period1,sc01,t0051, 0 , 0 , 0.297248316666681 , 0 
period1,sc01,t0052, 0 , 0 , 0 , 0.31328146944443 
period1,sc01,t0053, 0 , 0 , 0 , 5.89476722222079E-02 
period1,sc01,t0054, 0 , 0 , 0.076779225000014 , 0 
period1,sc01,t0055, 0 , 0 , 8.89011666666808E-02 , 0 
period1,sc01,t0056, 0 , 0 , 0 , 0.124160277777763 
period1,sc01,t0057, 1.5307638888881E-05 , 0 , 0 , 0.124304355555541 
period1,sc01,t0058, 0 , 0 , 0.11591010555557 , 0 
period1,sc01,t0059, 0 , 0 , 1.07144777777921E-02 , 0 
period1,sc01,t0060, 0 , 0 , 8.07980833333479E-02 , 0 
period1,sc01,t0061, 0 , 0 , 0.218518302777792 , 0 
period1,sc01,t0062, 0 , 0 , 0 , 0.218086252777763 
period1,sc01,t0063, 7.03915193953076E-06 , 0 , 0 , 3.14048777777642E-02 
period1,sc01,t0064, 7.8000833564816E-06 , 0 , 7.60266666668115E-03 , 0 
period1,sc01,t0065, 3.14987409722212E-02 , 0 , 5.18526388889031E-02 , 0 
period1,sc01,t0066, 0 , 2.21443749999968E-04 , 0 , 0.121209447222207 
period1,sc01,t0067, 0 , 0 , 0 , 0.113980377777763 
period1,sc01,t0068, 0 , 0 , 0 , 1.60386749999856E-02 
period1,sc01,t0069, 0 , 0 , 0.125291177777791 , 0 
period1,sc01,t0070, 0 , 0 , 0.272944113888903 , 0 
period1,sc01,t0071, 0 , 0 , 0 , 2.34001944444299E-02 
period1,sc01,t0072, 0 , 8.57083333333127E-05 , 0.093249313888903 , 0 
period1,sc01,t0073, 0 , 0 , 7.19308305555699E-02 , 0 
