,,,FCRD_Up,FCRD_Down,FCRN_Up,FCRN_Down
period1,sc01,t0001, 1.22772068059702E-02 , 5.99494265822784E-02 , 0.215628486956521 , 0.215628486956521 
period1,sc01,t0002, 1.20344204311774E-02 , 7.70674999200639E-02 , 0.215156901549407 , 0.215156901549407 
period1,sc01,t0003, 1.17457600497512E-02 , 8.78713284324324E-02 , 0.211606966758893 , 0.211606966758893 
period1,sc01,t0004, 1.28882394527363E-02 , 8.91621995121951E-02 , 0.221187868363637 , 0.221187868363637 
period1,sc01,t0005, 0.015014513457976 , 9.64445379081016E-02 , 0.214095607920949 , 0.214095607920949 
period1,sc01,t0006, 1.48852999656947E-02 , 0.097141909576923 , 0.216744493913044 , 0.216744493913044 
period1,sc01,t0007, 8.06959122852404E-02 , 0.211088223181258 , 0.181490631304348 , 0.181490631304348 
period1,sc01,t0008, 8.07724956517413E-02 , 0.168646544698898 , 0.184802418181818 , 0.184802418181818 
period1,sc01,t0009, 8.07894270303432E-02 , 0.10888653460652 , 0.183066991130435 , 0.183066991130435 
period1,sc01,t0010, 8.13549689536878E-02 , 0.108790389013158 , 0.183066991130435 , 0.183066991130435 
period1,sc01,t0011, 8.26990196949096E-02 , 0.10857831340681 , 0.183066991130435 , 0.183066991130435 
period1,sc01,t0012, 8.14839003647215E-02 , 0.114347412465198 , 0.183066991130435 , 0.183066991130435 
period1,sc01,t0013, 7.92315578703704E-02 , 0.122271043420264 , 0.183066991130435 , 0.183066991130435 
period1,sc01,t0014, 7.95524963237311E-02 , 0.123552452405286 , 0.183066991130435 , 0.183066991130435 
period1,sc01,t0015, 7.78250750994694E-02 , 0.122618932602644 , 0.179294987260869 , 0.179294987260869 
period1,sc01,t0016, 8.64627986207966E-02 , 0.122394558315419 , 0.181037706403162 , 0.181037706403162 
period1,sc01,t0017, 0.088768369987662 , 0.122230275629956 , 0.180252062869565 , 0.180252062869565 
period1,sc01,t0018, 8.89635251893061E-02 , 0.115419571023789 , 0.180390929644269 , 0.180390929644269 
period1,sc01,t0019, 2.95321409232597E-02 , 2.29075443732991E-02 , 0.201504023913044 , 0.201504023913044 
period1,sc01,t0020, 2.64927848463811E-02 , 2.63746273034826E-02 , 0.192785853660079 , 0.192785853660079 
period1,sc01,t0021, 0.017625194534712 , 2.78442279069767E-02 , 0.193279813557312 , 0.193279813557312 
period1,sc01,t0022, 1.32429998874472E-02 , 2.81396513591086E-02 , 0.200121244189724 , 0.200121244189724 
period1,sc01,t0023, 1.37322907694859E-02 , 2.77829026006295E-02 , 0.216837796442688 , 0.216837796442688 
period1,sc01,t0024, 1.52353391044776E-02 , 2.80193997326203E-02 , 0.216588687747036 , 0.216588687747036 
period1,sc01,t0025, 2.49897911445783E-02 , 8.14370677984629E-02 , 0.167958382666666 , 0.167958382666666 
period1,sc01,t0026, 2.37904159518716E-02 , 8.12958412502135E-02 , 0.176044139541666 , 0.176044139541666 
period1,sc01,t0027, 2.49897911445783E-02 , 8.78981628095645E-02 , 0.167884854083334 , 0.167884854083334 
period1,sc01,t0028, 2.78323923373494E-02 , 8.02457615182385E-02 , 0.162824750666666 , 0.162824750666666 
period1,sc01,t0029, 2.81195281069519E-02 , 8.77038197352689E-02 , 0.1595493865 , 0.1595493865 
period1,sc01,t0030, 3.11925827094474E-02 , 8.61379586387702E-02 , 0.166740386458334 , 0.166740386458334 
period1,sc01,t0031, 7.56738159518072E-02 , 8.33449649876543E-02 , 0.171885 , 0.171885 
period1,sc01,t0032, 7.73766904096385E-02 , 8.31626719012346E-02 , 0.169794145837958 , 0.169794145837958 
period1,sc01,t0033, 8.01719763855421E-02 , 9.30105809629629E-02 , 0.171885 , 0.171885 
period1,sc01,t0034, 7.89629272727273E-02 , 9.35361590123457E-02 , 0.171885 , 0.171885 
period1,sc01,t0035, 7.94739864171122E-02 , 8.29439201975308E-02 , 0.171885 , 0.171885 
period1,sc01,t0036, 7.80041939277109E-02 , 8.41835131851851E-02 , 0.165263583426517 , 0.165263583426517 
period1,sc01,t0037, 7.65405975903615E-02 , 8.40741373333333E-02 , 0.164475090734825 , 0.164475090734825 
period1,sc01,t0038, 7.71405679518073E-02 , 8.27599092716049E-02 , 0.171885 , 0.171885 
period1,sc01,t0039, 7.82777592260953E-02 , 0.084292889037037 , 0.164475090734825 , 0.164475090734825 
period1,sc01,t0040, 8.56013916259169E-02 , 8.29803788148149E-02 , 0.19117347160767 , 0.19117347160767 
period1,sc01,t0041, 8.70007517709924E-02 , 8.30686555555556E-02 , 0.190877700958702 , 0.190877700958702 
period1,sc01,t0042, 0.081095330642428 , 8.33631942962963E-02 , 0.191152345132743 , 0.191152345132743 
period1,sc01,t0043, 0.034377 , 8.33996529135803E-02 , 0.171885 , 0.171885 
period1,sc01,t0044, 4.29563795419848E-02 , 8.32538184444444E-02 , 0.171885 , 0.171885 
period1,sc01,t0045, 0.04283374900642 , 8.34725701481482E-02 , 0.171885 , 0.171885 
period1,sc01,t0046, 2.75311538170564E-02 , 8.33804939506173E-02 , 0.171219438592421 , 0.171219438592421 
period1,sc01,t0047, 3.07248267379679E-02 , 8.34725701481482E-02 , 0.171885 , 0.171885 
period1,sc01,t0048, 7.09443235080214E-02 , 0.082038921925926 , 0.180415939025 , 0.180415939025 
period1,sc01,t0049, 9.92681348484848E-03 , 3.21673232401367E-02 , 0.188834415458333 , 0.188834415458333 
period1,sc01,t0050, 1.00077828141136E-02 , 0.025816256047486 , 0.188057223129167 , 0.188057223129167 
period1,sc01,t0051, 9.98714010327022E-03 , 2.39668419134079E-02 , 0.179762667534783 , 0.179762667534783 
period1,sc01,t0052, 1.02438281212121E-02 , 2.47227227719637E-02 , 0.188441297966667 , 0.188441297966667 
period1,sc01,t0053, 1.01019146969697E-02 , 3.49058275566232E-02 , 0.194045839833333 , 0.194045839833333 
period1,sc01,t0054, 1.11038124612737E-02 , 2.47673443195069E-02 , 0.225383165524194 , 0.225383165524194 
period1,sc01,t0055, 1.13584025868819E-02 , 1.70225121307304E-02 , 0.254217564375 , 0.254217564375 
period1,sc01,t0056, 1.17214238042474E-02 , 0.018831053754745 , 0.250267352291667 , 0.250267352291667 
period1,sc01,t0057, 0.011879192 , 1.95319077821229E-02 , 0.245998267666667 , 0.245998267666667 
period1,sc01,t0058, 1.69265913586976E-02 , 1.93018085213962E-02 , 0.2459792305 , 0.2459792305 
period1,sc01,t0059, 0.0114223 , 1.82067325150906E-02 , 0.244422321347826 , 0.244422321347826 
period1,sc01,t0060, 0.0114223 , 0.018265829859655 , 0.245960193333333 , 0.245960193333333 
period1,sc01,t0061, 1.62859192719449E-02 , 1.88464172784391E-02 , 0.214952787347826 , 0.214952787347826 
period1,sc01,t0062, 1.57360367745267E-02 , 2.01135300704028E-02 , 0.214886778041667 , 0.214886778041667 
period1,sc01,t0063, 0.016193675844062 , 2.04333144281811E-02 , 0.212467195543478 , 0.212467195543478 
period1,sc01,t0064, 0.022766562148855 , 1.83481074098079E-02 , 0.212693158434783 , 0.212693158434783 
period1,sc01,t0065, 2.33701304317557E-02 , 1.79276053847736E-02 , 0.212725438847826 , 0.212725438847826 
period1,sc01,t0066, 2.31836243271755E-02 , 1.80317973978679E-02 , 0.212596317195652 , 0.212596317195652 
period1,sc01,t0067, 1.92876434641222E-02 , 1.80303512451989E-02 , 0.1989065044125 , 0.1989065044125 
period1,sc01,t0068, 1.92001631490465E-02 , 1.79966640778463E-02 , 0.209326063043478 , 0.209326063043478 
period1,sc01,t0069, 1.93247157204203E-02 , 1.83487968337051E-02 , 0.209060453183333 , 0.209060453183333 
period1,sc01,t0070, 0.011879192 , 1.83570865817809E-02 , 0.196369698491305 , 0.196369698491305 
period1,sc01,t0071, 1.13426605924477E-02 , 2.04494944104056E-02 , 0.208372549304348 , 0.208372549304348 
period1,sc01,t0072, 1.10310058690803E-02 , 2.00729384017645E-02 , 0.240820158333333 , 0.240820158333333 
period1,sc01,t0073, 0.011728366568792 , 7.24727632098766E-02 , 0.1371810540625 , 0.1371810540625 
period1,sc01,t0074, 1.16126280033557E-02 , 7.22338854673721E-02 , 0.137471809985572 , 0.137471809985572 
period1,sc01,t0075, 1.13781950285235E-02 , 7.08454085890653E-02 , 0.137387353754655 , 0.137387353754655 
period1,sc01,t0076, 1.15854727864584E-02 , 7.07558294356261E-02 , 0.139365631744716 , 0.139365631744716 
period1,sc01,t0077, 1.30014390515806E-02 , 7.03676531040564E-02 , 0.139192022833334 , 0.139192022833334 
period1,sc01,t0078, 0.013019765524957 , 7.05617412698413E-02 , 0.139148171416666 , 0.139148171416666 
period1,sc01,t0079, 3.06975006203208E-02 , 6.92390364726631E-02 , 0.137349615426854 , 0.137349615426854 
period1,sc01,t0080, 6.83969948039216E-02 , 6.80720864197531E-02 , 0.135464652416666 , 0.135464652416666 
period1,sc01,t0081, 6.96673425731497E-02 , 6.69987506172839E-02 , 0.136001355625 , 0.136001355625 
period1,sc01,t0082, 6.99799687522282E-02 , 6.69422592592592E-02 , 0.134871228354166 , 0.134871228354166 
period1,sc01,t0083, 7.25744719621342E-02 , 0.067083487654321 , 0.134328805395834 , 0.134328805395834 
period1,sc01,t0084, 7.36220527005348E-02 , 6.85574682380952E-02 , 0.134328805395834 , 0.134328805395834 
period1,sc01,t0085, 7.52793919449226E-02 , 6.76651872380953E-02 , 0.134372180166666 , 0.134372180166666 
period1,sc01,t0086, 7.50053164888124E-02 , 6.70703332380953E-02 , 0.134492928340918 , 0.134492928340918 
period1,sc01,t0087, 7.51470796557659E-02 , 6.78493087142858E-02 , 0.134458832723325 , 0.134458832723325 
period1,sc01,t0088, 0.075332767565872 , 0.06772184 , 0.130684476806784 , 0.130684476806784 
period1,sc01,t0089, 7.76953375114504E-02 , 6.76991627548501E-02 , 0.130963924043293 , 0.130963924043293 
period1,sc01,t0090, 0.10984619483604 , 4.79591454144621E-02 , 0.130583625757576 , 0.130583625757576 
period1,sc01,t0091, 2.76613052597403E-02 , 6.80014722222222E-02 , 0.129750927912255 , 0.129750927912255 
period1,sc01,t0092, 2.80529822319673E-02 , 6.79449808641976E-02 , 0.129784087854174 , 0.129784087854174 
period1,sc01,t0093, 0.028164049 , 6.81003320987655E-02 , 0.131854157245575 , 0.131854157245575 
period1,sc01,t0094, 3.53344267765321E-02 , 6.79167351851852E-02 , 0.129179811065111 , 0.129179811065111 
period1,sc01,t0095, 0.01715925 , 6.76907697530864E-02 , 0.136009210211267 , 0.136009210211267 
period1,sc01,t0096, 1.17475987483221E-02 , 6.75919098765432E-02 , 0.134611079742247 , 0.134611079742247 
period1,sc01,t0097, 1.55310074420677E-02 , 2.47103180369918E-02 , 0.167396690347826 , 0.167396690347826 
period1,sc01,t0098, 1.89362264491978E-02 , 0.024868811477433 , 0.17388611975 , 0.17388611975 
period1,sc01,t0099, 2.04893475846702E-02 , 2.60867735816165E-02 , 0.171047217166666 , 0.171047217166666 
period1,sc01,t0100, 1.91094706417112E-02 , 2.44457718949616E-02 , 0.162212586645834 , 0.162212586645834 
period1,sc01,t0101, 2.28108931729055E-02 , 3.47706541501976E-02 , 0.159578960108303 , 0.159578960108303 
period1,sc01,t0102, 2.58857940686274E-02 , 3.48701810196348E-02 , 0.168133379510891 , 0.168133379510891 
period1,sc01,t0103, 0.0114395 , 2.90830189103331E-02 , 0.162313573391304 , 0.162313573391304 
period1,sc01,t0104, 1.15629127125646E-02 , 2.36856264005124E-02 , 0.175770404347826 , 0.175770404347826 
period1,sc01,t0105, 1.20720393752151E-02 , 2.40225787779675E-02 , 0.199270121565218 , 0.199270121565218 
period1,sc01,t0106, 1.20976748812393E-02 , 0.023719036383433 , 0.202381665565218 , 0.202381665565218 
period1,sc01,t0107, 1.17405498364888E-02 , 2.40749210845431E-02 , 0.206462002583334 , 0.206462002583334 
period1,sc01,t0108, 1.17668941583476E-02 , 2.41483644329633E-02 , 0.185963371875 , 0.185963371875 
