,,,EV_01,EV_02,EV_03,EV_04,EV_05,EV_06,EV_07,EV_08,EV_09,EV_10,BESS_01,Solar_01,Solar_02,Solar_03,Solar_04,Solar_05,Solar_06,Solar_07,Solar_08,Solar_09,Solar_10
period1,sc01,t0001,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0002,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0003,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0004,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0005,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0006,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0007,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0008,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0009,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0010,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0011,,,,,,,,,,,, 0.06776 , 0.06776 , 0.06776 , 0.06776 , 0.06776 , 8.71199999999999E-02 , 8.71199999999999E-02 , 8.71199999999999E-02 , 8.71199999999999E-02 , 8.71199999999999E-02 
period1,sc01,t0012,,,,,,,,,,,, 0.03745 , 0.03745 , 0.03745 , 0.03745 , 0.03745 , 0.04815 , 0.04815 , 0.04815 , 0.04815 , 0.04815 
period1,sc01,t0013,,,,,,,,,,,, 0.06307 , 0.06307 , 0.06307 , 0.06307 , 0.06307 , 0.08109 , 0.08109 , 0.08109 , 0.08109 , 0.08109 
period1,sc01,t0014,,,,,,,,,,,, 0.09093 , 0.09093 , 0.09093 , 0.09093 , 0.09093 , 0.11691 , 0.11691 , 0.11691 , 0.11691 , 0.11691 
period1,sc01,t0015,,,,,,,,,,,, 0.00007 , 0.00007 , 0.00007 , 0.00007 , 0.00007 , 0.00009 , 0.00009 , 0.00009 , 0.00009 , 0.00009 
period1,sc01,t0016,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0017,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0018,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0019,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0020,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0021,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0022,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0023,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0024,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0025,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0026,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0027,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0028,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0029,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0030,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0031,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0032,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0033,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0034,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0035,,,,,,,,,,,, 0.04529 , 0.04529 , 0.04529 , 0.04529 , 0.04529 , 0.05823 , 0.05823 , 0.05823 , 0.05823 , 0.05823 
period1,sc01,t0036,,,,,,,,,,,, 0.58163 , 0.58163 , 0.58163 , 0.58163 , 0.58163 , 0.74781 , 0.74781 , 0.74781 , 0.74781 , 0.74781 
period1,sc01,t0037,,,,,,,,,,,, 0.163169999999999 , 0.163169999999999 , 0.163169999999999 , 0.163169999999999 , 0.163169999999999 , 0.209789999999999 , 0.209789999999999 , 0.209789999999999 , 0.209789999999999 , 0.209789999999999 
period1,sc01,t0038,,,,,,,,,,,, 3.30399999999999E-02 , 3.30399999999999E-02 , 3.30399999999999E-02 , 3.30399999999999E-02 , 3.30399999999999E-02 , 0.04248 , 0.04248 , 0.04248 , 0.04248 , 0.04248 
period1,sc01,t0039,,,,,,,,,,,, 0.07574 , 0.07574 , 0.07574 , 0.07574 , 0.07574 , 0.09738 , 0.09738 , 0.09738 , 0.09738 , 0.09738 
period1,sc01,t0040,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0041,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0042,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0043,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0044,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0045,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0046,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0047,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0048,,,,,,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
