,,,FCRD_Up,FCRD_Down,FCRN_Up,FCRN_Down
period1,sc01,t0001,0.0,0.0,0.10475000000000095,0.10475000000000095
period1,sc01,t0002,0.0,0.0,0.15300000000000044,0.15300000000000044
period1,sc01,t0003,0.0,0.0,0.08450000000000549,0.08450000000000549
period1,sc01,t0004,0.0,0.0,0.24950000000000291,0.24950000000000291
period1,sc01,t0005,0.0,0.0,0.0925000000000064,0.0925000000000064
period1,sc01,t0006,0.0,0.0012499999999997,0.16499999999999695,0.16499999999999695
period1,sc01,t0007,0.0,0.014874999999999,0.2660000000000003,0.2660000000000003
period1,sc01,t0008,0.0,0.0,0.0947499999999994,0.0947499999999994
period1,sc01,t0009,0.0,0.0,0.07300000000000036,0.07300000000000036
period1,sc01,t0010,0.0,0.0,0.18849999999999587,0.18849999999999587
period1,sc01,t0011,0.0,0.0,0.23550000000000004,0.23550000000000004
period1,sc01,t0012,0.0,0.0,0.1692500000000016,0.1692500000000016
period1,sc01,t0013,0.0,0.0,0.0657500000000048,0.0657500000000048
period1,sc01,t0014,0.0,0.0,0.1072499999999969,0.1072499999999969
period1,sc01,t0015,0.0,0.0,0.13799999999999985,0.13799999999999985
period1,sc01,t0016,0.0,0.0086249999999994,0.27174999999999977,0.27174999999999977
period1,sc01,t0017,0.0,0.0,0.07450000000000215,0.07450000000000215
period1,sc01,t0018,0.0,0.0,0.0867500000000003,0.0867500000000003
period1,sc01,t0019,0.0,0.0,0.09500000000000061,0.09500000000000061
period1,sc01,t0020,0.0,0.0,0.14774999999999672,0.14774999999999672
period1,sc01,t0021,0.0,0.0,0.1232500000000005,0.1232500000000005
period1,sc01,t0022,0.0,0.0,0.07525000000000044,0.07525000000000044
period1,sc01,t0023,0.0,0.0,0.07549999999999985,0.07549999999999985
period1,sc01,t0024,0.0141249999999999,0.0,0.22850000000000104,0.22850000000000104
period1,sc01,t0025,0.0,0.0,0.0704999999999973,0.0704999999999973
period1,sc01,t0026,0.0,0.0,0.14350000000000301,0.14350000000000301
period1,sc01,t0027,0.0,0.0054999999999996,0.18500000000000366,0.18500000000000366
period1,sc01,t0028,0.0,0.0,0.07575000000000459,0.07575000000000459
period1,sc01,t0029,0.0,0.0,0.12200000000000165,0.12200000000000165
period1,sc01,t0030,0.0,0.0,0.10925000000000294,0.10925000000000294
