,,,FCRD_Up,FCRD_Down,FCRN_Up,FCRN_Down
period1,sc01,t0001,0.01162284094195688,0.07443177662669864,0.20779849420869562,0.20779849420869562
period1,sc01,t0002,0.011344052800995026,0.08486611212972973,0.2043699678695652,0.2043699678695652
period1,sc01,t0003,0.012447459189054724,0.0861128351707317,0.2136232008,0.2136232008
period1,sc01,t0004,0.01450101421509434,0.09314611619537054,0.20677349702608697,0.20677349702608697
period1,sc01,t0005,0.014376219849056604,0.09381963761923078,0.20933179060869567,0.20933179060869567
period1,sc01,t0006,0.07793609659237148,0.20386896542187774,0.1752836168695652,0.1752836168695652
period1,sc01,t0007,0.07801006079303482,0.16287880049194228,0.17848214000000004,0.17848214000000004
period1,sc01,t0008,0.07802641311523793,0.10516259421797826,0.1768060648869565,0.1768060648869565
period1,sc01,t0009,0.07857261339622643,0.10506973682236842,0.1768060648869565,0.1768060648869565
period1,sc01,t0010,0.07987069734405572,0.10486491424247407,0.1768060648869565,0.1768060648869565
period1,sc01,t0011,0.07869713532824933,0.11043670900546254,0.1768060648869565,0.1768060648869565
period1,sc01,t0012,0.07652182337962964,0.11808935026061676,0.1768060648869565,0.1768060648869565
period1,sc01,t0013,0.07683178567626886,0.11932693481233479,0.1768060648869565,0.1768060648869565
period1,sc01,t0014,0.07516344258952255,0.1184253415661674,0.17316306427391304,0.17316306427391304
period1,sc01,t0015,0.08350575430807376,0.11820864092264316,0.17484618208695651,0.17484618208695651
period1,sc01,t0016,0.08573247469154843,0.11804997673656387,0.17408740771304348,0.17408740771304348
period1,sc01,t0017,0.08592095554782876,0.1114721995355066,0.1742215252173913,0.1742215252173913
period1,sc01,t0018,0.02852213603384296,0.022124101957739714,0.19461254760869562,0.19461254760869562
period1,sc01,t0019,0.025586726518316096,0.02547260998606965,0.1861925404521739,0.1861925404521739
period1,sc01,t0020,0.017022409497784344,0.026891949966777406,0.18666960682608696,0.18666960682608696
period1,sc01,t0021,0.012790086748788496,0.027177269880128318,0.1932770592173913,0.1932770592173913
period1,sc01,t0022,0.013262643788723053,0.02683272199768097,0.20942190217391302,0.20942190217391302
period1,sc01,t0023,0.01471428758208955,0.02706113088235294,0.20918131304347826,0.20918131304347826
period1,sc01,t0024,0.024135135489672978,0.07865190444474808,0.1622141737333333,0.1622141737333333
period1,sc01,t0025,0.02297677915882353,0.07851550787156276,0.1700233961708333,0.1700233961708333
period1,sc01,t0026,0.024135135489672978,0.08489202876601194,0.16214315984166663,0.16214315984166663
period1,sc01,t0027,0.026880519175903613,0.07750134106802498,0.1572561129333333,0.1572561129333333
period1,sc01,t0028,0.027157834847058825,0.08470433226216909,0.15409276685,0.15409276685
period1,sc01,t0029,0.030125790392156862,0.08319202391579847,0.16103783322916668,0.16103783322916668
period1,sc01,t0030,0.07308575691772806,0.08049455118377426,0.1660065,0.1660065
period1,sc01,t0031,0.07473039274216867,0.0803184925559083,0.16398715345172032,0.16398715345172032
period1,sc01,t0032,0.0774300794010327,0.08982960123703704,0.1660065,0.1660065
period1,sc01,t0033,0.07626238,0.09033720441622572,0.1660065,0.1660065
period1,sc01,t0034,0.07675596082352941,0.08010722220246914,0.1660065,0.1660065
period1,sc01,t0035,0.07533643551944923,0.08130442087195766,0.1596115371445687,0.1596115371445687
period1,sc01,t0036,0.07392289445783133,0.08119878569523808,0.15885001105431312,0.15885001105431312
period1,sc01,t0037,0.07450234571772806,0.07992950448553793,0.1660065,0.1660065
period1,sc01,t0038,0.07560064483210745,0.08141005604867725,0.15885001105431312,0.15885001105431312
period1,sc01,t0039,0.0826738075977995,0.08014243392804232,0.18463530217551619,0.18463530217551619
period1,sc01,t0040,0.0840253093572519,0.08022769158730159,0.184349646939528,0.184349646939528
period1,sc01,t0041,0.0783218547650593,0.08051215704656085,0.18461489823008848,0.18461489823008848
period1,sc01,t0042,0.0332013,0.08054736877213403,0.1660065,0.1660065
period1,sc01,t0043,0.04148726311450382,0.08040652186984128,0.1660065,0.1660065
period1,sc01,t0044,0.04136882656679914,0.08061779222328043,0.1660065,0.1660065
period1,sc01,t0045,0.026589583070839064,0.08052886504938271,0.16536370092034028,0.16536370092034028
period1,sc01,t0046,0.029674031764705882,0.08061779222328043,0.1660065,0.1660065
period1,sc01,t0047,0.06851801402352942,0.07923317504550265,0.1742456792725,0.1742456792725
period1,sc01,t0048,0.009618118725490196,0.031167013914090522,0.18296221945833333,0.18296221945833333
period1,sc01,t0049,0.009696570146299485,0.025013446267663494,0.18220919552916665,0.18220919552916665
period1,sc01,t0050,0.009676569363166953,0.02322154348422609,0.1741725762652174,0.1741725762652174
period1,sc01,t0051,0.009925275137254901,0.023953918666958347,0.18258132676666666,0.18258132676666666
period1,sc01,t0052,0.009787774803921567,0.03382035878517502,0.18801158383333336,0.18801158383333336
period1,sc01,t0053,0.010758516488812394,0.023997152615358987,0.21837441068548383,0.21837441068548383
period1,sc01,t0054,0.01100518960885989,0.016493161972808087,0.24631214437500001,0.24631214437500001
period1,sc01,t0055,0.011356921932008901,0.018245463261264236,0.2424847722916666,0.2424847722916666
period1,sc01,t0056,0.011509784000000002,0.01892452278573776,0.23834844366666666,0.23834844366666666
period1,sc01,t0057,0.016400224055211462,0.01870157893656654,0.23832999849999997,0.23832999849999997
period1,sc01,t0058,0.0110671,0.01764055657947686,0.23682150465217391,0.23682150465217391
period1,sc01,t0059,0.0110671,0.017697816170104835,0.23831155333333331,0.23831155333333331
period1,sc01,t0060,0.015779474989672977,0.0182603490244709,0.2082683866521739,0.2082683866521739
period1,sc01,t0061,0.015246692223752151,0.019488058328196146,0.2082044300416666,0.2082044300416666
period1,sc01,t0062,0.015690100061617897,0.01979789833116994,0.20586008945652173,0.20586008945652173
period1,sc01,t0063,0.022058588896946563,0.017777535129972565,0.2060790255652174,0.2060790255652174
period1,sc01,t0064,0.022643387978015263,0.0173701094835391,0.20611030215217388,0.20611030215217388
period1,sc01,t0065,0.022462681665801527,0.017471061430880334,0.2059851958043478,0.2059851958043478
period1,sc01,t0066,0.018687854370992366,0.017469660249314126,0.19272109601250004,0.19272109601250004
period1,sc01,t0067,0.01860309443691838,0.017437020653978053,0.20281663695652175,0.20281663695652175
period1,sc01,t0068,0.01872377378894472,0.017778203114810365,0.2025592867833333,0.2025592867833333
period1,sc01,t0069,0.011509784000000002,0.017786235076055375,0.1902631773086956,0.1902631773086956
period1,sc01,t0070,0.010989937144242217,0.019813575163443436,0.20189277469565214,0.20189277469565214
period1,sc01,t0071,0.01068797396791352,0.019448728941296234,0.23333135833333332,0.23333135833333332
period1,sc01,t0072,0.011346562843959731,0.07011349427160495,0.1327152798125,0.1327152798125
period1,sc01,t0073,0.011234592016778525,0.06988239292416225,0.13299657050494643,0.13299657050494643
period1,sc01,t0074,0.011007790742617448,0.06853911634215168,0.13291486365122054,0.13291486365122054
period1,sc01,t0075,0.011208320807291665,0.06845245333686067,0.13482874103605472,0.13482874103605472
period1,sc01,t0076,0.012578191890183027,0.06807691364726631,0.13466078376666665,0.13466078376666665
period1,sc01,t0077,0.012595921765920826,0.06826468349206348,0.13461835988333332,0.13461835988333332
period1,sc01,t0078,0.02969817816470588,0.06698503785537918,0.1328783538520514,0.1328783538520514
period1,sc01,t0079,0.06617040790196078,0.0658560765432099,0.13105475368333333,0.13105475368333333
period1,sc01,t0080,0.06739940093459552,0.06481768197530864,0.131573985125,0.131573985125
period1,sc01,t0081,0.06770184992156862,0.06476302962962963,0.13048064787083333,0.13048064787083333
period1,sc01,t0082,0.07021189201032701,0.06489966049382716,0.12995588287916668,0.12995588287916668
period1,sc01,t0083,0.07122536994117647,0.0663256573047619,0.12995588287916668,0.12995588287916668
period1,sc01,t0084,0.07282875637865749,0.0654624235047619,0.12999784563333333,0.12999784563333333
period1,sc01,t0085,0.0725636031394148,0.0648869343047619,0.1301146629871742,0.1301146629871742
period1,sc01,t0086,0.07270075136660929,0.0656405511142857,0.1300816773138958,0.1300816773138958
period1,sc01,t0087,0.0728803944165621,0.065517232,0.12643019129056046,0.12643019129056046
period1,sc01,t0088,0.07516605356641222,0.06549529298694885,0.12670054143795903,0.12670054143795903
period1,sc01,t0089,0.10627027604964757,0.04639788961199294,0.12633262333333334,0.12633262333333334
period1,sc01,t0090,0.02676082271428571,0.06578776111111112,0.1255270330257186,0.1255270330257186
period1,sc01,t0091,0.027139749085135334,0.0657331087654321,0.1255591134831885,0.1255591134831885
period1,sc01,t0092,0.027247200200000002,0.06588340271604938,0.1275617941039823,0.1275617941039823
period1,sc01,t0093,0.03418415442795217,0.06570578259259259,0.1249745082423786,0.1249745082423786
period1,sc01,t0094,0.01660065,0.06548717320987654,0.1315815840140845,0.1315815840140845
period1,sc01,t0095,0.011365168941610741,0.06539153160493827,0.13022896810310108,0.13022896810310108
period1,sc01,t0096,0.015025413039215688,0.023905901547024946,0.16194728019130433,0.16194728019130433
period1,sc01,t0097,0.018319778988235294,0.024059235412552893,0.16822545355000001,0.16822545355000001
period1,sc01,t0098,0.019822340019607844,0.0252375481362916,0.1654789682333333,0.1654789682333333
period1,sc01,t0099,0.018487383411764705,0.023649967405807003,0.15693193912916664,0.15693193912916664
period1,sc01,t0100,0.022068310313725487,0.0336387347826087,0.15438404732851985,0.15438404732851985
period1,sc01,t0101,0.025043111284313725,0.03373502166724079,0.16265998727085904,0.16265998727085904
period1,sc01,t0102,0.0110671,0.028136254083005977,0.15702963836521738,0.15702963836521738
period1,sc01,t0103,0.011186495151118758,0.022914567589239966,0.17004839739130437,0.17004839739130437
period1,sc01,t0104,0.01167904777039587,0.023240550862681467,0.19278310786086955,0.19278310786086955
period1,sc01,t0105,0.011703848741480205,0.02294688994790777,0.19579335906086953,0.19579335906086953
period1,sc01,t0106,0.011358349499139416,0.023291189224594364,0.19974086531666663,0.19974086531666663
period1,sc01,t0107,0.011383836211359723,0.023362241707771132,0.179909544375,0.179909544375
period1,sc01,t0108,0.014872582337349395,0.015637337183325044,0.20458929766956524,0.20458929766956524
period1,sc01,t0109,0.014960661976592082,0.015569023890732827,0.2081510642465753,0.2081510642465753
period1,sc01,t0110,0.014475614413080895,0.015613300440034512,0.2262183705575906,0.2262183705575906
period1,sc01,t0111,0.03961837289195255,0.015156689483539093,0.22620492621886487,0.22620492621886487
period1,sc01,t0112,0.03152628444796531,0.015163709569225496,0.2353241566680515,0.2353241566680515
period1,sc01,t0113,0.03640080198525923,0.011627281860863606,0.2354896329896907,0.2354896329896907
period1,sc01,t0114,0.11182748762259047,0.01380068887080192,0.24458616093159885,0.24458616093159885
period1,sc01,t0115,0.11236456197159285,0.013662145444863015,0.24562116371134013,0.24562116371134013
period1,sc01,t0116,0.08333821971592831,0.013658393243150687,0.24503481658333331,0.24503481658333331
period1,sc01,t0117,0.045119955149019605,0.014412696637296836,0.2350029515625,0.2350029515625
period1,sc01,t0118,0.04256394823529412,0.015519380146072953,0.23495683864583336,0.23495683864583336
period1,sc01,t0119,0.04260537588235295,0.019039537077568836,0.23705036506249996,0.23705036506249996
period1,sc01,t0120,0.06424915145098038,0.03779544005714286,0.12700292366513952,0.12700292366513952
period1,sc01,t0121,0.02741389244113597,0.0371801634500427,0.1254345114,0.1254345114
period1,sc01,t0122,0.02760211677058824,0.03722174777113578,0.12669616079999999,0.12669616079999999
period1,sc01,t0123,0.029745524047058824,0.05703069865079365,0.12739338809999998,0.12739338809999998
period1,sc01,t0124,0.026082471766666664,0.026667082834814428,0.13022088259459458,0.13022088259459458
period1,sc01,t0125,0.026148203633333332,0.025676742884060518,0.1351661813333333,0.1351661813333333
period1,sc01,t0126,0.1220951668627451,0.032534060666097354,0.1571684983916667,0.1571684983916667
period1,sc01,t0127,0.12429083215686272,0.036236457054673724,0.18744900625000002,0.18744900625000002
period1,sc01,t0128,0.12874134509803922,0.023976476490762913,0.22729056625,0.22729056625
period1,sc01,t0129,0.1292049401960784,0.035578091476190475,0.1876795708333333,0.1876795708333333
period1,sc01,t0130,0.12257848941176469,0.035525391,0.1810024205,0.1810024205
period1,sc01,t0131,0.13735176589999998,0.035588631571428574,0.1686795267593397,0.1686795267593397
period1,sc01,t0132,0.12125675019607843,0.035493770714285715,0.17235163733333334,0.17235163733333334
period1,sc01,t0133,0.12105158470588234,0.035442046172839504,0.16926760546666667,0.16926760546666667
period1,sc01,t0134,0.09728513541176469,0.035457622091358026,0.16032631092500002,0.16032631092500002
period1,sc01,t0135,0.10314746732013767,0.03490346809782608,0.1602834259125,0.1602834259125
period1,sc01,t0136,0.0885368,0.05133006862257495,0.1599786195333333,0.1599786195333333
period1,sc01,t0137,0.07887000905971435,0.03584608315696649,0.15976650011666668,0.15976650011666668
period1,sc01,t0138,0.030939965173403913,0.024238003009523806,0.15235707666666665,0.15235707666666665
period1,sc01,t0139,0.02744261324206755,0.023309778638586954,0.13557464954916668,0.13557464954916668
period1,sc01,t0140,0.06408130910963855,0.02508226463809524,0.13233063319634705,0.13233063319634705
period1,sc01,t0141,0.06450692577469878,0.036109585537918876,0.1344915493625,0.1344915493625
