,,,FCRD_Up,FCRD_Down,FCRN_Up,FCRN_Down
period1,sc01,t0001,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0002,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0003,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0004,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0005,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0006,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0007,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0008,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0009,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0010,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0011,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0012,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0013,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0014,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0015,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0016,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0017,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0018,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0019,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0020,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0021,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0022,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0023,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0024,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0025,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0026,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0027,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0028,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0029,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0030,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0031,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0032,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0033,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0034,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0035,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0036,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0037,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0038,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0039,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0040,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0041,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0042,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0043,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0044,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0045,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0046,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0047,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0048,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0049,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0050,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0051,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0052,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0053,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0054,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0055,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0056,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0057,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0058,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0059,5000.0,5000.0,5000.0,5000.0
period1,sc01,t0060,5000.0,5000.0,5000.0,5000.0
