,,,EleR_01,HydR_01
period1,sc01,t0001,0.027335737000000006,132.8052
period1,sc01,t0002,0.027003724,132.8052
period1,sc01,t0003,0.021912858,132.8052
period1,sc01,t0004,0.019810109000000003,132.8052
period1,sc01,t0005,0.029991841,132.8052
period1,sc01,t0006,0.019699438,132.8052
period1,sc01,t0007,0.022466212999999995,132.8052
period1,sc01,t0008,0.032315932,132.8052
period1,sc01,t0009,0.036189417,132.8052
period1,sc01,t0010,0.047477859000000004,132.8052
period1,sc01,t0011,0.049027253,132.8052
period1,sc01,t0012,0.049137924000000006,132.8052
period1,sc01,t0013,0.04980195,132.8052
period1,sc01,t0014,0.066291929,132.8052
period1,sc01,t0015,0.135682646,132.8052
period1,sc01,t0016,0.208504164,132.8052
period1,sc01,t0017,0.228978299,132.8052
period1,sc01,t0018,0.18050440099999998,132.8052
period1,sc01,t0019,0.110671,132.8052
period1,sc01,t0020,0.089311497,132.8052
period1,sc01,t0021,0.07614164799999999,132.8052
period1,sc01,t0022,0.10668684400000002,132.8052
period1,sc01,t0023,0.077912384,132.8052
period1,sc01,t0024,0.03762814,132.8052
period1,sc01,t0025,0.035968074999999995,132.8052
period1,sc01,t0026,0.0442684,132.8052
period1,sc01,t0027,0.074038899,132.8052
period1,sc01,t0028,0.118528641,132.8052
period1,sc01,t0029,0.196662367,132.8052
period1,sc01,t0030,0.444676078,132.8052
period1,sc01,t0031,1.040086058,132.8052
period1,sc01,t0032,1.313111415,132.8052
period1,sc01,t0033,1.380731396,132.8052
period1,sc01,t0034,1.365126785,132.8052
period1,sc01,t0035,1.22291455,132.8052
period1,sc01,t0036,1.116006364,132.8052
period1,sc01,t0037,1.17421931,132.8052
period1,sc01,t0038,1.245712776,132.8052
period1,sc01,t0039,1.414596722,132.8052
period1,sc01,t0040,1.497599972,132.8052
period1,sc01,t0041,1.660175671,132.8052
period1,sc01,t0042,1.627085042,132.8052
period1,sc01,t0043,1.1988989429999999,132.8052
period1,sc01,t0044,1.145887534,132.8052
period1,sc01,t0045,0.844973085,132.8052
period1,sc01,t0046,0.684610806,132.8052
period1,sc01,t0047,0.5440586359999999,132.8052
period1,sc01,t0048,0.475995971,132.8052
period1,sc01,t0049,0.42220986499999996,132.8052
period1,sc01,t0050,0.389783262,132.8052
period1,sc01,t0051,0.369973153,132.8052
period1,sc01,t0052,0.329024883,132.8052
period1,sc01,t0053,0.338431918,132.8052
period1,sc01,t0054,0.424533956,132.8052
period1,sc01,t0055,0.579030672,132.8052
period1,sc01,t0056,0.89532839,132.8052
period1,sc01,t0057,0.8872494070000001,132.8052
period1,sc01,t0058,0.8425383229999999,132.8052
period1,sc01,t0059,0.7588710469999999,132.8052
period1,sc01,t0060,0.6091331839999999,132.8052
period1,sc01,t0061,0.5919791790000001,132.8052
period1,sc01,t0062,0.597180716,132.8052
period1,sc01,t0063,0.816198625,132.8052
period1,sc01,t0064,1.114899654,132.8052
period1,sc01,t0065,1.177428769,132.8052
period1,sc01,t0066,1.2087486619999999,132.8052
period1,sc01,t0067,1.120765217,132.8052
period1,sc01,t0068,0.935059279,132.8052
period1,sc01,t0069,0.903296702,132.8052
period1,sc01,t0070,0.753780181,132.8052
period1,sc01,t0071,0.7592030599999999,132.8052
period1,sc01,t0072,0.56552881,132.8052
period1,sc01,t0073,0.5291180510000001,132.8052
period1,sc01,t0074,0.488612465,132.8052
period1,sc01,t0075,0.488833807,132.8052
period1,sc01,t0076,0.475553287,132.8052
period1,sc01,t0077,0.478762746,132.8052
period1,sc01,t0078,0.643330523,132.8052
period1,sc01,t0079,0.932292504,132.8052
period1,sc01,t0080,1.10892342,132.8052
period1,sc01,t0081,1.171452535,132.8052
period1,sc01,t0082,1.177871453,132.8052
period1,sc01,t0083,1.168353747,132.8052
period1,sc01,t0084,1.144227469,132.8052
period1,sc01,t0085,0.8638978260000001,132.8052
period1,sc01,t0086,1.240953923,132.8052
period1,sc01,t0087,1.511101834,132.8052
period1,sc01,t0088,1.6031801060000002,132.8052
period1,sc01,t0089,1.6492192420000003,132.8052
period1,sc01,t0090,1.582484629,132.8052
period1,sc01,t0091,1.50623231,132.8052
period1,sc01,t0092,1.327830658,132.8052
period1,sc01,t0093,1.289206479,132.8052
period1,sc01,t0094,0.830364513,132.8052
period1,sc01,t0095,0.6926897890000001,132.8052
period1,sc01,t0096,0.611457275,132.8052
period1,sc01,t0097,0.6196469290000001,132.8052
period1,sc01,t0098,0.6304926869999999,132.8052
period1,sc01,t0099,0.652294874,132.8052
period1,sc01,t0100,0.750017367,132.8052
period1,sc01,t0101,0.764957952,132.8052
period1,sc01,t0102,0.9180159449999999,132.8052
period1,sc01,t0103,0.921336075,132.8052
period1,sc01,t0104,0.9616203189999999,132.8052
period1,sc01,t0105,1.007770126,132.8052
period1,sc01,t0106,0.948118457,132.8052
period1,sc01,t0107,1.017509174,132.8052
period1,sc01,t0108,0.9347272659999999,132.8052
period1,sc01,t0109,0.884593303,132.8052
period1,sc01,t0110,0.766618017,132.8052
period1,sc01,t0111,0.582572144,132.8052
period1,sc01,t0112,0.5711730309999999,132.8052
period1,sc01,t0113,0.7449265010000001,132.8052
period1,sc01,t0114,0.716262712,132.8052
period1,sc01,t0115,0.5747145029999999,132.8052
period1,sc01,t0116,0.409593371,132.8052
period1,sc01,t0117,0.411806791,132.8052
period1,sc01,t0118,0.385799106,132.8052
period1,sc01,t0119,0.307222696,132.8052
period1,sc01,t0120,0.299365055,132.8052
period1,sc01,t0121,0.25841678500000004,132.8052
period1,sc01,t0122,0.21525509499999998,132.8052
period1,sc01,t0123,0.185263254,132.8052
period1,sc01,t0124,0.17231474700000002,132.8052
period1,sc01,t0125,0.165895829,132.8052
period1,sc01,t0126,0.271697305,132.8052
period1,sc01,t0127,0.332013,132.8052
period1,sc01,t0128,0.41678698599999997,132.8052
period1,sc01,t0129,0.389229907,132.8052
period1,sc01,t0130,0.378937504,132.8052
period1,sc01,t0131,0.35879538200000005,132.8052
period1,sc01,t0132,0.33754655,132.8052
period1,sc01,t0133,0.31120685200000003,132.8052
period1,sc01,t0134,0.273689383,132.8052
period1,sc01,t0135,0.282100379,132.8052
period1,sc01,t0136,0.288629968,132.8052
period1,sc01,t0137,0.344076139,132.8052
period1,sc01,t0138,0.34363345500000003,132.8052
period1,sc01,t0139,0.299254384,132.8052
period1,sc01,t0140,0.24159479299999997,132.8052
period1,sc01,t0141,0.141880222,132.8052
period1,sc01,t0142,0.159587582,132.8052
period1,sc01,t0143,0.08975418099999999,132.8052
period1,sc01,t0144,0.110671,132.8052
period1,sc01,t0145,0.077027016,132.8052
period1,sc01,t0146,0.059983682,132.8052
period1,sc01,t0147,0.048141884999999995,132.8052
period1,sc01,t0148,0.056220868,132.8052
period1,sc01,t0149,0.06308247,132.8052
period1,sc01,t0150,0.308218735,132.8052
period1,sc01,t0151,0.39919029699999997,132.8052
period1,sc01,t0152,0.41302417199999997,132.8052
period1,sc01,t0153,0.38734850000000004,132.8052
period1,sc01,t0154,0.379158846,132.8052
period1,sc01,t0155,0.38336434399999997,132.8052
period1,sc01,t0156,0.368202417,132.8052
period1,sc01,t0157,0.368202417,132.8052
period1,sc01,t0158,0.34905633399999997,132.8052
period1,sc01,t0159,0.35901672399999995,132.8052
period1,sc01,t0160,0.321167242,132.8052
period1,sc01,t0161,0.326368779,132.8052
period1,sc01,t0162,0.29737297700000004,132.8052
period1,sc01,t0163,0.22742890500000001,132.8052
period1,sc01,t0164,0.163571738,132.8052
period1,sc01,t0165,0.068062665,132.8052
period1,sc01,t0166,0.054450132,132.8052
period1,sc01,t0167,0.044600413000000005,132.8052
period1,sc01,t0168,0.110781671,132.8052
period1,sc01,t0169,0.11487649800000001,132.8052
period1,sc01,t0170,0.15471805800000002,132.8052
period1,sc01,t0171,0.148409811,132.8052
period1,sc01,t0172,0.17729494199999998,132.8052
period1,sc01,t0173,0.204409337,132.8052
period1,sc01,t0174,0.22831427299999998,132.8052
period1,sc01,t0175,0.45552183599999996,132.8052
period1,sc01,t0176,0.608137145,132.8052
