,,,BESS_01,Wind_01,FC_01
period1,sc01,t0001,1,0.9,1.0
period1,sc01,t0002,1,0.9,1.0
period1,sc01,t0003,1,0.9,1.0
period1,sc01,t0004,1,0.9,1.0
period1,sc01,t0005,1,0.8993936528221529,1.0
period1,sc01,t0006,1,0.9,1.0
period1,sc01,t0007,1,0.9,1.0
period1,sc01,t0008,1,0.8980045233216611,1.0
period1,sc01,t0009,1,0.8977562031459257,1.0
period1,sc01,t0010,1,0.8971626954718921,1.0
period1,sc01,t0011,1,0.8885570235888963,1.0
period1,sc01,t0012,1,0.8881833422879516,1.0
period1,sc01,t0013,1,0.8941469753376389,1.0
period1,sc01,t0014,1,0.8766925274580188,1.0
period1,sc01,t0015,1,0.7956351953061336,1.0
period1,sc01,t0016,1,0.5149175927426992,1.0
period1,sc01,t0017,1,0.1798545523983716,1.0
period1,sc01,t0018,1,0.09925870929149791,1.0
period1,sc01,t0019,1,0.17610300953286157,1.0
period1,sc01,t0020,1,0.16143654576534713,1.0
period1,sc01,t0021,1,0.1430000914785149,1.0
period1,sc01,t0022,1,0.142112857667363,1.0
period1,sc01,t0023,1,0.177519998775933,1.0
period1,sc01,t0024,1,0.19694428175491274,1.0
period1,sc01,t0025,1,0.16311360199775815,1.0
period1,sc01,t0026,1,0.16109183051527887,1.0
period1,sc01,t0027,1,0.2131530564811009,1.0
period1,sc01,t0028,1,0.1770470535657672,1.0
period1,sc01,t0029,1,0.17322412062744702,1.0
period1,sc01,t0030,1,0.21749175148015232,1.0
period1,sc01,t0031,1,0.2378883468509548,1.0
period1,sc01,t0032,1,0.22304440776871098,1.0
period1,sc01,t0033,1,0.2189701984773428,1.0
period1,sc01,t0034,1,0.20588931723047418,1.0
period1,sc01,t0035,1,0.10073404033867439,1.0
period1,sc01,t0036,1,0.19028998869195538,1.0
period1,sc01,t0037,1,0.4020262476881907,1.0
period1,sc01,t0038,1,0.505052489153164,1.0
period1,sc01,t0039,1,0.533787708214726,1.0
period1,sc01,t0040,1,0.532060195002503,1.0
period1,sc01,t0041,1,0.4712465121686399,1.0
period1,sc01,t0042,1,0.36989501533439323,1.0
period1,sc01,t0043,1,0.35589321440785254,1.0
period1,sc01,t0044,1,0.34347798513744054,1.0
period1,sc01,t0045,1,0.33603814640202934,1.0
period1,sc01,t0046,1,0.31856098849383896,1.0
period1,sc01,t0047,1,0.16437605737979827,1.0
period1,sc01,t0048,1,0.11848232810156904,1.0
period1,sc01,t0049,1,0.1394939177853004,1.0
period1,sc01,t0050,1,0.38164656988245393,1.0
period1,sc01,t0051,1,0.5126132617032068,1.0
period1,sc01,t0052,1,0.7916902508850636,1.0
period1,sc01,t0053,1,0.9,1.0
period1,sc01,t0054,1,0.9,1.0
period1,sc01,t0055,1,0.8984865268537492,1.0
period1,sc01,t0056,1,0.6389116274520116,1.0
period1,sc01,t0057,1,0.8431575938149976,1.0
period1,sc01,t0058,1,0.8930847133377878,1.0
period1,sc01,t0059,1,0.7195228651566817,1.0
period1,sc01,t0060,1,0.3874047598182738,1.0
period1,sc01,t0061,1,0.7323898287970045,1.0
period1,sc01,t0062,1,0.9,1.0
period1,sc01,t0063,1,0.9,1.0
period1,sc01,t0064,1,0.8866982221091925,1.0
period1,sc01,t0065,1,0.815834138782156,1.0
period1,sc01,t0066,1,0.7361243966870117,1.0
period1,sc01,t0067,1,0.5713117710416534,1.0
period1,sc01,t0068,1,0.38001924301562323,1.0
period1,sc01,t0069,1,0.21655311817545655,1.0
period1,sc01,t0070,1,0.1401518918459846,1.0
period1,sc01,t0071,1,0.07978827030914179,1.0
period1,sc01,t0072,1,0.05060128697623341,1.0
period1,sc01,t0073,1,0.05390036809988409,1.0
period1,sc01,t0074,1,0.07468302404089916,1.0
period1,sc01,t0075,1,0.13567428007089588,1.0
period1,sc01,t0076,1,0.23083718963133196,1.0
period1,sc01,t0077,1,0.3296324407559884,1.0
period1,sc01,t0078,1,0.4209803769317288,1.0
period1,sc01,t0079,1,0.4856945451724785,1.0
period1,sc01,t0080,1,0.4781359623075642,1.0
period1,sc01,t0081,1,0.4779005539846091,1.0
period1,sc01,t0082,1,0.49868517905020177,1.0
period1,sc01,t0083,1,0.49426704272508143,1.0
period1,sc01,t0084,1,0.49312193158567363,1.0
period1,sc01,t0085,1,0.44350102716344686,1.0
period1,sc01,t0086,1,0.4514581985115599,1.0
period1,sc01,t0087,1,0.38110713113959604,1.0
period1,sc01,t0088,1,0.3345309072885076,1.0
period1,sc01,t0089,1,0.2846174443539723,1.0
period1,sc01,t0090,1,0.22328577799155566,1.0
period1,sc01,t0091,1,0.24283929583826686,1.0
period1,sc01,t0092,1,0.24347896221579823,1.0
period1,sc01,t0093,1,0.22045678365129248,1.0
period1,sc01,t0094,1,0.22012060670567712,1.0
period1,sc01,t0095,1,0.29137305722378903,1.0
period1,sc01,t0096,1,0.21865333160209752,1.0
period1,sc01,t0097,1,0.13153805038320587,1.0
period1,sc01,t0098,1,0.10612280477226835,1.0
period1,sc01,t0099,1,0.0835158557833192,1.0
period1,sc01,t0100,1,0.04400625142193949,1.0
period1,sc01,t0101,1,0.00089629571461401,1.0
period1,sc01,t0102,1,0.0,1.0
period1,sc01,t0103,1,0.0,1.0
period1,sc01,t0104,1,0.0055589405096196,1.0
period1,sc01,t0105,1,0.11128768949355067,1.0
period1,sc01,t0106,1,0.15185352084259024,1.0
period1,sc01,t0107,1,0.18071592351718943,1.0
period1,sc01,t0108,1,0.20032994625255918,1.0
period1,sc01,t0109,1,0.19635482527224993,1.0
period1,sc01,t0110,1,0.2583429238804343,1.0
period1,sc01,t0111,1,0.2962339150688287,1.0
period1,sc01,t0112,1,0.33553013187279235,1.0
period1,sc01,t0113,1,0.3268161783759916,1.0
period1,sc01,t0114,1,0.319694289039911,1.0
period1,sc01,t0115,1,0.2980398802153985,1.0
period1,sc01,t0116,1,0.3190122100156843,1.0
period1,sc01,t0117,1,0.37325883020981626,1.0
period1,sc01,t0118,1,0.44793097843062185,1.0
period1,sc01,t0119,1,0.5358387239255532,1.0
period1,sc01,t0120,1,0.5475591756845811,1.0
period1,sc01,t0121,1,0.6375936210890117,1.0
period1,sc01,t0122,1,0.6413036036424696,1.0
period1,sc01,t0123,1,0.7508398177395119,1.0
period1,sc01,t0124,1,0.8121296980305752,1.0
period1,sc01,t0125,1,0.8710829451861288,1.0
period1,sc01,t0126,1,0.8818805821692165,1.0
period1,sc01,t0127,1,0.8971929633106976,1.0
period1,sc01,t0128,1,0.8973397168941807,1.0
period1,sc01,t0129,1,0.8982864649069419,1.0
period1,sc01,t0130,1,0.8983213645466578,1.0
period1,sc01,t0131,1,0.8985072668695898,1.0
period1,sc01,t0132,1,0.897302481953221,1.0
period1,sc01,t0133,1,0.8970829564751268,1.0
period1,sc01,t0134,1,0.8861018546270979,1.0
