,,,BESS_01,Wind_01,FC_01
period1,sc01,t0001,,27000.0,0.0
period1,sc01,t0002,,27000.0,0.0
period1,sc01,t0003,,27000.0,0.0
period1,sc01,t0004,,27000.0,0.0
period1,sc01,t0005,,26981.80958466459,0.0
period1,sc01,t0006,,27000.0,0.0
period1,sc01,t0007,,27000.0,0.0
period1,sc01,t0008,,26940.135699649836,0.0
period1,sc01,t0009,,26932.686094377772,0.0
period1,sc01,t0010,,26914.880864156763,0.0
period1,sc01,t0011,,26656.710707666887,0.0
period1,sc01,t0012,,26645.50026863855,0.0
period1,sc01,t0013,,26824.409260129167,0.0
period1,sc01,t0014,,26300.77582374057,0.0
period1,sc01,t0015,,23869.05585918401,0.0
period1,sc01,t0016,,15447.527782280975,0.0
period1,sc01,t0017,,5395.636571951148,0.0
period1,sc01,t0018,,2977.7612787449375,0.0
period1,sc01,t0019,,5283.090285985847,0.0
period1,sc01,t0020,,4843.096372960414,0.0
period1,sc01,t0021,,4290.002744355447,0.0
period1,sc01,t0022,,4263.38573002089,0.0
period1,sc01,t0023,,5325.599963277989,0.0
period1,sc01,t0024,,5908.328452647382,0.0
period1,sc01,t0025,,4893.408059932744,0.0
period1,sc01,t0026,,4832.754915458366,0.0
period1,sc01,t0027,,6394.5916944330265,0.0
period1,sc01,t0028,,5311.411606973015,0.0
period1,sc01,t0029,,5196.723618823411,0.0
period1,sc01,t0030,,6524.75254440457,0.0
period1,sc01,t0031,,7136.650405528644,0.0
period1,sc01,t0032,,6691.332233061329,0.0
period1,sc01,t0033,,6569.105954320285,0.0
period1,sc01,t0034,,6176.679516914226,0.0
period1,sc01,t0035,,3022.021210160232,0.0
period1,sc01,t0036,,5708.699660758662,0.0
period1,sc01,t0037,,12060.78743064572,0.0
period1,sc01,t0038,,15151.574674594922,0.0
period1,sc01,t0039,,16013.631246441779,0.0
period1,sc01,t0040,,15961.805850075089,0.0
period1,sc01,t0041,,14137.395365059198,0.0
period1,sc01,t0042,,11096.850460031797,0.0
period1,sc01,t0043,,10676.796432235577,0.0
period1,sc01,t0044,,10304.339554123217,0.0
period1,sc01,t0045,,10081.144392060878,0.0
period1,sc01,t0046,,9556.82965481517,0.0
period1,sc01,t0047,,4931.281721393948,0.0
period1,sc01,t0048,,3554.4698430470708,0.0
period1,sc01,t0049,,4184.817533559011,0.0
period1,sc01,t0050,,11449.397096473616,0.0
period1,sc01,t0051,,15378.397851096204,0.0
period1,sc01,t0052,,23750.70752655191,0.0
period1,sc01,t0053,,27000.0,0.0
period1,sc01,t0054,,27000.0,0.0
period1,sc01,t0055,,26954.595805612476,0.0
period1,sc01,t0056,,19167.348823560347,0.0
period1,sc01,t0057,,25294.727814449925,0.0
period1,sc01,t0058,,26792.541400133636,0.0
period1,sc01,t0059,,21585.68595470045,0.0
period1,sc01,t0060,,11622.142794548216,0.0
period1,sc01,t0061,,21971.694863910136,0.0
period1,sc01,t0062,,27000.0,0.0
period1,sc01,t0063,,27000.0,0.0
period1,sc01,t0064,,26600.946663275772,0.0
period1,sc01,t0065,,24475.02416346468,0.0
period1,sc01,t0066,,22083.731900610353,0.0
period1,sc01,t0067,,17139.353131249605,0.0
period1,sc01,t0068,,11400.577290468698,0.0
period1,sc01,t0069,,6496.593545263697,0.0
period1,sc01,t0070,,4204.556755379537,0.0
period1,sc01,t0071,,2393.648109274254,0.0
period1,sc01,t0072,,1518.0386092870024,0.0
period1,sc01,t0073,,1617.0110429965227,0.0
period1,sc01,t0074,,2240.490721226975,0.0
period1,sc01,t0075,,4070.2284021268765,0.0
period1,sc01,t0076,,6925.115688939959,0.0
period1,sc01,t0077,,9888.973222679653,0.0
period1,sc01,t0078,,12629.411307951863,0.0
period1,sc01,t0079,,14570.836355174355,0.0
period1,sc01,t0080,,14344.078869226925,0.0
period1,sc01,t0081,,14337.016619538274,0.0
period1,sc01,t0082,,14960.555371506054,0.0
period1,sc01,t0083,,14828.011281752444,0.0
period1,sc01,t0084,,14793.65794757021,0.0
period1,sc01,t0085,,13305.030814903404,0.0
period1,sc01,t0086,,13543.745955346796,0.0
period1,sc01,t0087,,11433.213934187881,0.0
period1,sc01,t0088,,10035.927218655228,0.0
period1,sc01,t0089,,8538.52333061917,0.0
period1,sc01,t0090,,6698.57333974667,0.0
period1,sc01,t0091,,7285.178875148005,0.0
period1,sc01,t0092,,7304.3688664739475,0.0
period1,sc01,t0093,,6613.703509538775,0.0
period1,sc01,t0094,,6603.618201170314,0.0
period1,sc01,t0095,,8741.19171671367,0.0
period1,sc01,t0096,,6559.599948062925,0.0
period1,sc01,t0097,,3946.1415114961765,0.0
period1,sc01,t0098,,3183.6841431680505,0.0
period1,sc01,t0099,,2505.475673499576,0.0
period1,sc01,t0100,,1320.1875426581848,0.0
period1,sc01,t0101,,26.888871438420296,0.0
period1,sc01,t0102,,0.001,0.0
period1,sc01,t0103,,0.001,0.0
period1,sc01,t0104,,166.76821528858798,0.0
period1,sc01,t0105,,3338.63068480652,0.0
period1,sc01,t0106,,4555.605625277707,0.0
period1,sc01,t0107,,5421.477705515683,0.0
period1,sc01,t0108,,6009.898387576775,0.0
period1,sc01,t0109,,5890.6447581674975,0.0
period1,sc01,t0110,,7750.287716413029,0.0
period1,sc01,t0111,,8887.017452064862,0.0
period1,sc01,t0112,,10065.903956183769,0.0
period1,sc01,t0113,,9804.485351279747,0.0
period1,sc01,t0114,,9590.828671197329,0.0
period1,sc01,t0115,,8941.196406461955,0.0
period1,sc01,t0116,,9570.366300470529,0.0
period1,sc01,t0117,,11197.764906294487,0.0
period1,sc01,t0118,,13437.929352918656,0.0
period1,sc01,t0119,,16075.161717766596,0.0
period1,sc01,t0120,,16426.775270537433,0.0
period1,sc01,t0121,,19127.808632670352,0.0
period1,sc01,t0122,,19239.108109274086,0.0
period1,sc01,t0123,,22525.194532185356,0.0
period1,sc01,t0124,,24363.890940917256,0.0
period1,sc01,t0125,,26132.488355583864,0.0
period1,sc01,t0126,,26456.417465076494,0.0
period1,sc01,t0127,,26915.788899320927,0.0
period1,sc01,t0128,,26920.19150682542,0.0
period1,sc01,t0129,,26948.593947208254,0.0
period1,sc01,t0130,,26949.640936399734,0.0
period1,sc01,t0131,,26955.218006087696,0.0
period1,sc01,t0132,,26919.07445859663,0.0
period1,sc01,t0133,,26912.488694253803,0.0
period1,sc01,t0134,,26583.055638812937,0.0
period1,sc01,t0135,,26430.975445366956,0.0
period1,sc01,t0136,,26396.707524598078,0.0
period1,sc01,t0137,,26166.88462852918,0.0
period1,sc01,t0138,,24453.13308106901,0.0
period1,sc01,t0139,,24003.501944959364,0.0
period1,sc01,t0140,,26179.90076064872,0.0
period1,sc01,t0141,,26911.840672925166,0.0
period1,sc01,t0142,,27000.0,0.0
period1,sc01,t0143,,27000.0,0.0
period1,sc01,t0144,,27000.0,0.0
period1,sc01,t0145,,27000.0,0.0
period1,sc01,t0146,,27000.0,0.0
period1,sc01,t0147,,27000.0,0.0
period1,sc01,t0148,,27000.0,0.0
period1,sc01,t0149,,27000.0,0.0
period1,sc01,t0150,,27000.0,0.0
period1,sc01,t0151,,27000.0,0.0
period1,sc01,t0152,,27000.0,0.0
period1,sc01,t0153,,27000.0,0.0
period1,sc01,t0154,,27000.0,0.0
period1,sc01,t0155,,27000.0,0.0
period1,sc01,t0156,,27000.0,0.0
period1,sc01,t0157,,27000.0,0.0
period1,sc01,t0158,,27000.0,0.0
period1,sc01,t0159,,27000.0,0.0
period1,sc01,t0160,,27000.0,0.0
period1,sc01,t0161,,27000.0,0.0
period1,sc01,t0162,,27000.0,0.0
period1,sc01,t0163,,27000.0,0.0
period1,sc01,t0164,,27000.0,0.0
period1,sc01,t0165,,27000.0,0.0
period1,sc01,t0166,,27000.0,0.0
period1,sc01,t0167,,27000.0,0.0
period1,sc01,t0168,,27000.0,0.0
period1,sc01,t0169,,27000.0,0.0
period1,sc01,t0170,,27000.0,0.0
period1,sc01,t0171,,27000.0,0.0
period1,sc01,t0172,,27000.0,0.0
period1,sc01,t0173,,27000.0,0.0
period1,sc01,t0174,,26958.576456916486,0.0
period1,sc01,t0175,,26413.63458875189,0.0
period1,sc01,t0176,,23887.89017624476,0.0
period1,sc01,t0177,,14723.492110534053,0.0
period1,sc01,t0178,,11619.427990502869,0.0
period1,sc01,t0179,,6574.482305794904,0.0
period1,sc01,t0180,,7995.738279703157,0.0
period1,sc01,t0181,,7402.8863166749525,0.0
period1,sc01,t0182,,9441.84421645064,0.0
period1,sc01,t0183,,8782.16777307227,0.0
period1,sc01,t0184,,11072.359029931804,0.0
period1,sc01,t0185,,12283.526753865712,0.0
period1,sc01,t0186,,16047.924306113526,0.0
period1,sc01,t0187,,16208.742171476739,0.0
period1,sc01,t0188,,13233.100286722429,0.0
period1,sc01,t0189,,12769.000241475733,0.0
period1,sc01,t0190,,12366.332876468896,0.0
period1,sc01,t0191,,12200.931053229027,0.0
period1,sc01,t0192,,15818.800119295229,0.0
period1,sc01,t0193,,19560.49541386254,0.0
period1,sc01,t0194,,20161.596167310883,0.0
period1,sc01,t0195,,15075.500343795211,0.0
period1,sc01,t0196,,10611.010246500562,0.0
period1,sc01,t0197,,7480.555023106938,0.0
period1,sc01,t0198,,5364.996118007683,0.0
period1,sc01,t0199,,3205.829916151167,0.0
period1,sc01,t0200,,2044.193527341259,0.0
period1,sc01,t0201,,1165.177325511452,0.0
period1,sc01,t0202,,226.41604446924362,0.0
period1,sc01,t0203,,39.3116229390195,0.0
period1,sc01,t0204,,41.0493797968356,0.0
period1,sc01,t0205,,24.8281179608196,0.0
period1,sc01,t0206,,7.6519192356720005,0.0
period1,sc01,t0207,,0.001,0.0
period1,sc01,t0208,,8.493374361529801,0.0
period1,sc01,t0209,,33.63428397310741,0.0
period1,sc01,t0210,,121.66981962681061,0.0
period1,sc01,t0211,,39.0471084992331,0.0
period1,sc01,t0212,,33.30432803408671,0.0
period1,sc01,t0213,,90.18543075608879,0.0
period1,sc01,t0214,,826.4397687464043,0.0
period1,sc01,t0215,,1591.770559253812,0.0
period1,sc01,t0216,,1122.6122380215236,0.0
period1,sc01,t0217,,914.2132939716654,0.0
period1,sc01,t0218,,1223.311388960666,0.0
period1,sc01,t0219,,1945.9903645966845,0.0
period1,sc01,t0220,,2270.831068295659,0.0
period1,sc01,t0221,,3713.8688201210675,0.0
period1,sc01,t0222,,4962.3419167647935,0.0
period1,sc01,t0223,,6367.504955460421,0.0
period1,sc01,t0224,,7260.268898158391,0.0
period1,sc01,t0225,,8548.13885716916,0.0
period1,sc01,t0226,,10697.860581758694,0.0
period1,sc01,t0227,,12950.098707353629,0.0
period1,sc01,t0228,,11146.537756745238,0.0
period1,sc01,t0229,,9877.216824698826,0.0
period1,sc01,t0230,,8557.237461728004,0.0
period1,sc01,t0231,,10989.716894228774,0.0
period1,sc01,t0232,,11929.493316798527,0.0
period1,sc01,t0233,,11321.011462626548,0.0
period1,sc01,t0234,,12938.147250034384,0.0
period1,sc01,t0235,,15029.654978554281,0.0
period1,sc01,t0236,,15696.788500615652,0.0
period1,sc01,t0237,,15924.710141521473,0.0
period1,sc01,t0238,,16440.04053886919,0.0
period1,sc01,t0239,,17597.066614994477,0.0
period1,sc01,t0240,,18794.91412202344,0.0
period1,sc01,t0241,,17992.103055485422,0.0
period1,sc01,t0242,,19503.667579197805,0.0
period1,sc01,t0243,,22657.183757041388,0.0
period1,sc01,t0244,,23439.94739143994,0.0
period1,sc01,t0245,,23601.019507262874,0.0
period1,sc01,t0246,,23902.027287043704,0.0
period1,sc01,t0247,,23872.281986201335,0.0
period1,sc01,t0248,,24059.510831381263,0.0
period1,sc01,t0249,,24519.98858269285,0.0
period1,sc01,t0250,,24067.47180458209,0.0
period1,sc01,t0251,,25726.082901030495,0.0
period1,sc01,t0252,,19914.054415537685,0.0
period1,sc01,t0253,,18042.04335589844,0.0
period1,sc01,t0254,,22499.373319962942,0.0
period1,sc01,t0255,,20357.72233137619,0.0
period1,sc01,t0256,,17604.61507146901,0.0
period1,sc01,t0257,,15836.181151591478,0.0
period1,sc01,t0258,,14257.712704516918,0.0
period1,sc01,t0259,,12443.215216701046,0.0
period1,sc01,t0260,,10882.47024543808,0.0
period1,sc01,t0261,,9101.327916398859,0.0
period1,sc01,t0262,,8026.882309566808,0.0
period1,sc01,t0263,,7671.690180580883,0.0
period1,sc01,t0264,,6329.305772350744,0.0
period1,sc01,t0265,,6030.349384545206,0.0
period1,sc01,t0266,,5632.988667566924,0.0
period1,sc01,t0267,,5501.493857696955,0.0
period1,sc01,t0268,,5486.124562220806,0.0
