,,,EleD_01,HydD1,EleD_02,EleD_03,EleD_04,EleD_05,EleD_06,EleD_07,EleD_08,EleD_09,EleD_10,EleD_11,EleD_12,EleD_13,EleD_14,EleD_15,EleD_16,EleD_17,EleD_18,EleD_19,EleD_20
period1,sc01,t0001, 7.35 ,, 1.95 , 3.09 , 4.97 , 4.77 , 2.76 , 1.21 , 2.47 , 3 , 11.42 , 5.49 , 6.19 , 3.99 , 8.27 , 1.38 , 6.23 , 0.89 , 5.51 , 10.61 , 5.47 
period1,sc01,t0002, 7.28 ,, 1.7 , 3.12 , 4.92 , 5.4 , 3.3 , 1.2 , 2.64 , 3.09 , 10.94 , 5.74 , 7.12 , 4.92 , 8.01 , 0.71 , 5.96 , 0.69 , 5.31 , 8.39 , 5.37 
period1,sc01,t0003, 7.35 ,, 1.68 , 2.93 , 4.98 , 5.84 , 3.38 , 0.89 , 2.63 , 2.55 , 10.86 , 5.25 , 8.19 , 3.72 , 7.61 , 0.93 , 6.58 , 0.69 , 5.38 , 7.91 , 5.57 
period1,sc01,t0004, 7.63 ,, 1.99 , 3.09 , 4.92 , 5.62 , 2.29 , 0.97 , 2.69 , 2.48 , 10.83 , 5.27 , 7.98 , 5.08 , 7.74 , 0.98 , 8.84 , 0.7 , 5.53 , 7.92 , 4.98 
period1,sc01,t0005, 7.22 ,, 1.74 , 3.12 , 4.86 , 5.93 , 3.69 , 1.13 , 2.56 , 2.66 , 10.99 , 5.76 , 7.96 , 5.48 , 7.46 , 1.31 , 6.16 , 0.67 , 5.3 , 7.92 , 4.62 
period1,sc01,t0006, 7.3 ,, 1.77 , 3.15 , 5.51 , 5.33 , 2.82 , 0.9 , 2.94 , 2.56 , 11.25 , 5.27 , 7.94 , 3.7 , 7.57 , 0.86 , 6.89 , 0.84 , 5.68 , 8.2 , 5.05 
period1,sc01,t0007, 7.19 ,, 2.28 , 2.92 , 4.29 , 5.36 , 3.59 , 0.97 , 2.68 , 2.76 , 9.01 , 5.75 , 7.92 , 5.36 , 7.78 , 1 , 7.45 , 1.18 , 6.07 , 9.11 , 4.66 
period1,sc01,t0008, 7.42 ,, 1.89 , 3.12 , 3.84 , 5.2 , 3.31 , 1.12 , 3.62 , 2.6 , 10.84 , 8.35 , 8.37 , 5.26 , 8.75 , 1.03 , 6.91 , 1.11 , 7.04 , 11.1 , 5.11 
period1,sc01,t0009, 7.08 ,, 2.18 , 3.17 , 3.77 , 4.13 , 2.73 , 1.07 , 2.98 , 2.66 , 10.37 , 6.18 , 8.4 , 4.22 , 7.92 , 1.56 , 6.78 , 0.76 , 7.06 , 11.35 , 5.39 
period1,sc01,t0010, 7.32 ,, 2.24 , 2.86 , 3.95 , 5.24 , 3.71 , 1.02 , 3.23 , 4.69 , 7.63 , 6.28 , 5.27 , 3.66 , 8.1 , 0.95 , 7.39 , 1.04 , 6.87 , 10.16 , 6.94 
period1,sc01,t0011, 4.96 ,, 2.48 , 3.13 , 3.96 , 4.34 , 2.4 , 1.17 , 2.95 , 7 , 10.91 , 6.14 , 8.03 , 3.52 , 8.12 , 1.03 , 7.14 , 0.83 , 7.67 , 9.02 , 5.83 
period1,sc01,t0012, 6.78 ,, 2.17 , 2.89 , 3.99 , 3.78 , 3.57 , 0.97 , 4.33 , 6.88 , 11.03 , 6.14 , 6.3 , 3.65 , 8.65 , 1.31 , 8.25 , 0.83 , 7.33 , 9.2 , 5.81 
period1,sc01,t0013, 5.45 ,, 3.7 , 3.65 , 3.86 , 2.49 , 2.4 , 1.1 , 3.98 , 4.02 , 12.26 , 6.52 , 6.42 , 3.26 , 8.61 , 1.16 , 6.46 , 0.71 , 7.78 , 10.97 , 5.31 
period1,sc01,t0014, 6.95 ,, 2.61 , 2.81 , 4.21 , 2.56 , 2.6 , 1.1 , 2.9 , 3.4 , 10.96 , 6.4 , 7.82 , 3.34 , 8.14 , 1.07 , 6.55 , 0.76 , 7.63 , 12.28 , 6.07 
period1,sc01,t0015, 7.07 ,, 2.06 , 3.15 , 4.52 , 3.4 , 3.28 , 1.29 , 2.81 , 5.33 , 8.46 , 6.21 , 7.79 , 3.83 , 8.15 , 0.87 , 6.79 , 0.93 , 8.89 , 9.5 , 6.52 
period1,sc01,t0016, 7.45 ,, 2.11 , 4.5 , 4.59 , 5.65 , 2.15 , 1.05 , 2.68 , 4.09 , 8.57 , 6.91 , 4.67 , 3.57 , 8.83 , 1.31 , 6.91 , 1.04 , 7.72 , 9.07 , 5.32 
period1,sc01,t0017, 5.95 ,, 2.13 , 3.99 , 5.59 , 7.69 , 3.89 , 1.15 , 2.46 , 3.88 , 7.42 , 6.64 , 7.82 , 3.9 , 8.51 , 1.43 , 7.31 , 2.01 , 8.81 , 9.58 , 4.81 
period1,sc01,t0018, 8.37 ,, 2.7 , 3.94 , 7.18 , 7.23 , 3.03 , 1.26 , 3.07 , 5.47 , 12.69 , 6.32 , 7.83 , 4.44 , 9.5 , 1.18 , 7.1 , 1.68 , 8.51 , 10.04 , 4.65 
period1,sc01,t0019, 9.23 ,, 2.41 , 3.09 , 6.39 , 5.05 , 3.03 , 1.05 , 3.22 , 5.91 , 14.93 , 6.73 , 7.97 , 3.55 , 9.65 , 1.23 , 7.5 , 1.96 , 7.18 , 9.64 , 4.82 
period1,sc01,t0020, 7.48 ,, 2.37 , 3.37 , 6 , 4.38 , 4.53 , 1.19 , 2.91 , 4.98 , 9.98 , 7.78 , 5.1 , 3.6 , 8.4 , 2.49 , 7.14 , 0.62 , 5.8 , 11.54 , 5.52 
period1,sc01,t0021, 7.37 ,, 2.62 , 3.1 , 5.9 , 4.51 , 3.67 , 1.25 , 3.42 , 4.11 , 12.74 , 6.62 , 7.84 , 3.84 , 9.15 , 2.23 , 6.65 , 0.52 , 5.42 , 10.02 , 5.52 
period1,sc01,t0022, 5.74 ,, 2.48 , 3.09 , 5.71 , 4.11 , 3.33 , 1.1 , 2.8 , 3.8 , 10.9 , 6.17 , 8.1 , 3.46 , 9 , 1.62 , 6.57 , 0.46 , 6.36 , 10.7 , 5.33 
period1,sc01,t0023, 6.94 ,, 1.81 , 3.32 , 5.69 , 3.88 , 4.01 , 1.07 , 2.38 , 3.83 , 12.25 , 6.27 , 8.09 , 3.98 , 8.9 , 1.16 , 6.5 , 1.28 , 5.45 , 8.89 , 5.02 
period1,sc01,t0024, 6.84 ,, 1.75 , 3.1 , 5.71 , 3.67 , 2.59 , 1.15 , 2.18 , 3.52 , 12 , 6.34 , 4.96 , 3.41 , 9.68 , 1.45 , 6.27 , 1.29 , 5.11 , 8.77 , 5.18 
period1,sc01,t0025, 5.89 ,, 2.24 , 3.39 , 5.53 , 4.67 , 2.68 , 1.16 , 2.57 , 2.55 , 11.8 , 6.34 , 8.02 , 3.4 , 8.1 , 0.99 , 6.35 , 1.05 , 4.78 , 8.22 , 5.32 
period1,sc01,t0026, 4.24 ,, 1.83 , 3.59 , 5.36 , 4.19 , 4.12 , 1.12 , 2.09 , 2.39 , 11.74 , 7.04 , 8.01 , 3.76 , 7.66 , 0.89 , 6.36 , 0.93 , 5.9 , 8.44 , 5.15 
period1,sc01,t0027, 8.73 ,, 1.72 , 3.1 , 5.39 , 3.58 , 2.25 , 0.89 , 2.07 , 2.54 , 11.89 , 6.62 , 7.97 , 3.41 , 7.76 , 0.96 , 6.33 , 0.7 , 5.69 , 8.22 , 5.14 
period1,sc01,t0028, 6.69 ,, 1.76 , 2.99 , 5.34 , 3.19 , 3.25 , 0.85 , 1.98 , 2.31 , 11.9 , 6.27 , 4.97 , 3.48 , 7.35 , 1.01 , 6.36 , 0.7 , 5.99 , 7.81 , 5.58 
period1,sc01,t0029, 6.82 ,, 2.06 , 3.01 , 5.42 , 3.58 , 2.8 , 0.81 , 2.51 , 2.54 , 11.78 , 5.97 , 8.06 , 3.79 , 7.46 , 0.99 , 6.51 , 0.68 , 5.71 , 7.66 , 5.1 
period1,sc01,t0030, 5.24 ,, 1.72 , 2.86 , 5.61 , 3.93 , 2.63 , 1.05 , 2.87 , 2.45 , 10.14 , 6.62 , 8.14 , 3.56 , 7.18 , 0.9 , 7.38 , 0.68 , 5.86 , 7.73 , 4.58 
period1,sc01,t0031, 4.2 ,, 1.72 , 3.16 , 5.49 , 4.16 , 3.45 , 0.74 , 2.32 , 2.44 , 13.62 , 6.46 , 6.92 , 3.92 , 7.49 , 1.22 , 7.17 , 0.69 , 5.9 , 7.67 , 4.56 
period1,sc01,t0032, 8.98 ,, 2.37 , 2.83 , 5.45 , 4.27 , 3.19 , 0.91 , 2.19 , 2.82 , 12.58 , 6.75 , 6.16 , 3.9 , 8.97 , 1.14 , 7.75 , 0.98 , 6.61 , 8.22 , 4.65 
period1,sc01,t0033, 7.5 ,, 1.99 , 2.86 , 5.32 , 4.65 , 2.8 , 1.09 , 2.72 , 3.25 , 10.2 , 7.83 , 8.11 , 3.66 , 8.65 , 0.95 , 7.29 , 1.07 , 5.85 , 8.43 , 5.25 
period1,sc01,t0034, 7.19 ,, 2.2 , 3.06 , 5.5 , 4.15 , 3.74 , 0.88 , 4.28 , 4.88 , 13.08 , 7.79 , 8.01 , 3.59 , 8.31 , 1.46 , 7.2 , 1.42 , 6.19 , 10.37 , 5.74 
period1,sc01,t0035, 7.23 ,, 3.46 , 2.84 , 5.21 , 3.65 , 2.8 , 1.82 , 4.09 , 5.17 , 12.51 , 6.29 , 5.78 , 3.92 , 8.02 , 1.37 , 6.32 , 1.19 , 6.35 , 11.14 , 6.47 
period1,sc01,t0036, 5.51 ,, 3.71 , 2.79 , 5.39 , 4.38 , 2.66 , 0.83 , 2.9 , 5.56 , 7.43 , 6.53 , 6.93 , 3.32 , 8.78 , 1.36 , 6.58 , 1.34 , 6.5 , 11.78 , 6.73 
period1,sc01,t0037, 5.05 ,, 2.06 , 3.07 , 5.44 , 3.54 , 3.52 , 1.05 , 2.55 , 4.4 , 8.22 , 6.77 , 8.21 , 3.47 , 8.02 , 1.99 , 6.66 , 1.12 , 6.85 , 11.86 , 5.13 
