Period,Scenario,LoadLevel,Demand,Type,KWh,Date
period1,sc01,t0001,EleD_01,BaseDemand,7.35,2025-01-01 01:27:00
period1,sc01,t0002,EleD_01,BaseDemand,7.28,2025-01-01 02:27:00
period1,sc01,t0003,EleD_01,BaseDemand,7.35,2025-01-01 03:27:00
period1,sc01,t0004,EleD_01,BaseDemand,7.63,2025-01-01 04:27:00
period1,sc01,t0005,EleD_01,BaseDemand,7.22,2025-01-01 05:27:00
period1,sc01,t0006,EleD_01,BaseDemand,7.3,2025-01-01 06:27:00
period1,sc01,t0007,EleD_01,BaseDemand,7.19,2025-01-01 07:27:00
period1,sc01,t0008,EleD_01,BaseDemand,7.42,2025-01-01 08:27:00
period1,sc01,t0009,EleD_01,BaseDemand,7.08,2025-01-01 09:27:00
period1,sc01,t0010,EleD_01,BaseDemand,7.32,2025-01-01 10:27:00
period1,sc01,t0011,EleD_01,BaseDemand,4.96,2025-01-01 11:27:00
period1,sc01,t0012,EleD_01,BaseDemand,6.78,2025-01-01 12:27:00
period1,sc01,t0013,EleD_01,BaseDemand,5.45,2025-01-01 13:27:00
period1,sc01,t0014,EleD_01,BaseDemand,6.95,2025-01-01 14:27:00
period1,sc01,t0015,EleD_01,BaseDemand,7.07,2025-01-01 15:27:00
period1,sc01,t0016,EleD_01,BaseDemand,7.45,2025-01-01 16:27:00
period1,sc01,t0017,EleD_01,BaseDemand,5.95,2025-01-01 17:27:00
period1,sc01,t0018,EleD_01,BaseDemand,8.37,2025-01-01 18:27:00
period1,sc01,t0019,EleD_01,BaseDemand,9.23,2025-01-01 19:27:00
period1,sc01,t0020,EleD_01,BaseDemand,7.48,2025-01-01 20:27:00
period1,sc01,t0021,EleD_01,BaseDemand,7.37,2025-01-01 21:27:00
period1,sc01,t0022,EleD_01,BaseDemand,5.74,2025-01-01 22:27:00
period1,sc01,t0023,EleD_01,BaseDemand,6.94,2025-01-01 23:27:00
period1,sc01,t0024,EleD_01,BaseDemand,6.84,2025-01-02 00:27:00
period1,sc01,t0025,EleD_01,BaseDemand,5.89,2025-01-02 01:27:00
period1,sc01,t0026,EleD_01,BaseDemand,4.24,2025-01-02 02:27:00
period1,sc01,t0027,EleD_01,BaseDemand,8.73,2025-01-02 03:27:00
period1,sc01,t0028,EleD_01,BaseDemand,6.69,2025-01-02 04:27:00
period1,sc01,t0029,EleD_01,BaseDemand,6.82,2025-01-02 05:27:00
period1,sc01,t0030,EleD_01,BaseDemand,5.24,2025-01-02 06:27:00
period1,sc01,t0031,EleD_01,BaseDemand,4.2,2025-01-02 07:27:00
period1,sc01,t0032,EleD_01,BaseDemand,8.98,2025-01-02 08:27:00
period1,sc01,t0033,EleD_01,BaseDemand,7.5,2025-01-02 09:27:00
period1,sc01,t0034,EleD_01,BaseDemand,7.19,2025-01-02 10:27:00
period1,sc01,t0035,EleD_01,BaseDemand,7.23,2025-01-02 11:27:00
period1,sc01,t0036,EleD_01,BaseDemand,5.51,2025-01-02 12:27:00
period1,sc01,t0037,EleD_01,BaseDemand,5.05,2025-01-02 13:27:00
period1,sc01,t0038,EleD_01,BaseDemand,6.95,2025-01-02 14:27:00
period1,sc01,t0039,EleD_01,BaseDemand,6.82,2025-01-02 15:27:00
period1,sc01,t0040,EleD_01,BaseDemand,6.82,2025-01-02 16:27:00
period1,sc01,t0041,EleD_01,BaseDemand,8.22,2025-01-02 17:27:00
period1,sc01,t0042,EleD_01,BaseDemand,8.34,2025-01-02 18:27:00
period1,sc01,t0043,EleD_01,BaseDemand,7.37,2025-01-02 19:27:00
period1,sc01,t0044,EleD_01,BaseDemand,6.93,2025-01-02 20:27:00
period1,sc01,t0045,EleD_01,BaseDemand,7.39,2025-01-02 21:27:00
period1,sc01,t0046,EleD_01,BaseDemand,7.51,2025-01-02 22:27:00
period1,sc01,t0047,EleD_01,BaseDemand,4.81,2025-01-02 23:27:00
period1,sc01,t0048,EleD_01,BaseDemand,3.98,2025-01-03 00:27:00
period1,sc01,t0049,EleD_01,BaseDemand,6.24,2025-01-03 01:27:00
period1,sc01,t0050,EleD_01,BaseDemand,6.2,2025-01-03 02:27:00
period1,sc01,t0051,EleD_01,BaseDemand,0.15,2025-01-03 03:27:00
period1,sc01,t0052,EleD_01,BaseDemand,0.16,2025-01-03 04:27:00
period1,sc01,t0053,EleD_01,BaseDemand,1.42,2025-01-03 05:27:00
period1,sc01,t0054,EleD_01,BaseDemand,6.77,2025-01-03 06:27:00
period1,sc01,t0055,EleD_01,BaseDemand,9.39,2025-01-03 07:27:00
period1,sc01,t0056,EleD_01,BaseDemand,6.57,2025-01-03 08:27:00
period1,sc01,t0057,EleD_01,BaseDemand,3.89,2025-01-03 09:27:00
period1,sc01,t0058,EleD_01,BaseDemand,6.56,2025-01-03 10:27:00
period1,sc01,t0059,EleD_01,BaseDemand,4.6,2025-01-03 11:27:00
period1,sc01,t0060,EleD_01,BaseDemand,5.54,2025-01-03 12:27:00
period1,sc01,t0061,EleD_01,BaseDemand,4.57,2025-01-03 13:27:00
period1,sc01,t0062,EleD_01,BaseDemand,4.32,2025-01-03 14:27:00
period1,sc01,t0063,EleD_01,BaseDemand,6.42,2025-01-03 15:27:00
period1,sc01,t0064,EleD_01,BaseDemand,5.35,2025-01-03 16:27:00
period1,sc01,t0065,EleD_01,BaseDemand,5.2,2025-01-03 17:27:00
period1,sc01,t0066,EleD_01,BaseDemand,5.1,2025-01-03 18:27:00
period1,sc01,t0067,EleD_01,BaseDemand,4.89,2025-01-03 19:27:00
period1,sc01,t0068,EleD_01,BaseDemand,8.87,2025-01-03 20:27:00
period1,sc01,t0069,EleD_01,BaseDemand,10.83,2025-01-03 21:27:00
period1,sc01,t0070,EleD_01,BaseDemand,9.49,2025-01-03 22:27:00
period1,sc01,t0071,EleD_01,BaseDemand,10.23,2025-01-03 23:27:00
period1,sc01,t0072,EleD_01,BaseDemand,6.0,2025-01-04 00:27:00
period1,sc01,t0073,EleD_01,BaseDemand,4.26,2025-01-04 01:27:00
period1,sc01,t0074,EleD_01,BaseDemand,4.28,2025-01-04 02:27:00
period1,sc01,t0075,EleD_01,BaseDemand,5.46,2025-01-04 03:27:00
period1,sc01,t0076,EleD_01,BaseDemand,2.93,2025-01-04 04:27:00
period1,sc01,t0077,EleD_01,BaseDemand,4.06,2025-01-04 05:27:00
period1,sc01,t0078,EleD_01,BaseDemand,4.13,2025-01-04 06:27:00
period1,sc01,t0079,EleD_01,BaseDemand,4.03,2025-01-04 07:27:00
period1,sc01,t0080,EleD_01,BaseDemand,4.39,2025-01-04 08:27:00
period1,sc01,t0081,EleD_01,BaseDemand,4.0,2025-01-04 09:27:00
period1,sc01,t0082,EleD_01,BaseDemand,4.12,2025-01-04 10:27:00
period1,sc01,t0083,EleD_01,BaseDemand,5.02,2025-01-04 11:27:00
period1,sc01,t0084,EleD_01,BaseDemand,4.05,2025-01-04 12:27:00
period1,sc01,t0085,EleD_01,BaseDemand,4.46,2025-01-04 13:27:00
period1,sc01,t0086,EleD_01,BaseDemand,4.17,2025-01-04 14:27:00
period1,sc01,t0087,EleD_01,BaseDemand,4.1,2025-01-04 15:27:00
period1,sc01,t0088,EleD_01,BaseDemand,3.45,2025-01-04 16:27:00
period1,sc01,t0089,EleD_01,BaseDemand,5.39,2025-01-04 17:27:00
period1,sc01,t0090,EleD_01,BaseDemand,5.19,2025-01-04 18:27:00
period1,sc01,t0091,EleD_01,BaseDemand,6.36,2025-01-04 19:27:00
period1,sc01,t0092,EleD_01,BaseDemand,5.08,2025-01-04 20:27:00
period1,sc01,t0093,EleD_01,BaseDemand,4.45,2025-01-04 21:27:00
period1,sc01,t0094,EleD_01,BaseDemand,4.26,2025-01-04 22:27:00
period1,sc01,t0095,EleD_01,BaseDemand,3.93,2025-01-04 23:27:00
period1,sc01,t0096,EleD_01,BaseDemand,8.27,2025-01-05 00:27:00
period1,sc01,t0097,EleD_01,BaseDemand,4.86,2025-01-05 01:27:00
period1,sc01,t0098,EleD_01,BaseDemand,4.1,2025-01-05 02:27:00
period1,sc01,t0099,EleD_01,BaseDemand,5.43,2025-01-05 03:27:00
period1,sc01,t0100,EleD_01,BaseDemand,4.65,2025-01-05 04:27:00
period1,sc01,t0101,EleD_01,BaseDemand,3.95,2025-01-05 05:27:00
period1,sc01,t0102,EleD_01,BaseDemand,6.82,2025-01-05 06:27:00
period1,sc01,t0103,EleD_01,BaseDemand,7.8,2025-01-05 07:27:00
period1,sc01,t0104,EleD_01,BaseDemand,7.87,2025-01-05 08:27:00
period1,sc01,t0105,EleD_01,BaseDemand,6.25,2025-01-05 09:27:00
period1,sc01,t0106,EleD_01,BaseDemand,9.2,2025-01-05 10:27:00
period1,sc01,t0107,EleD_01,BaseDemand,4.69,2025-01-05 11:27:00
period1,sc01,t0108,EleD_01,BaseDemand,4.42,2025-01-05 12:27:00
period1,sc01,t0109,EleD_01,BaseDemand,3.92,2025-01-05 13:27:00
period1,sc01,t0110,EleD_01,BaseDemand,4.03,2025-01-05 14:27:00
period1,sc01,t0111,EleD_01,BaseDemand,4.04,2025-01-05 15:27:00
period1,sc01,t0112,EleD_01,BaseDemand,3.08,2025-01-05 16:27:00
period1,sc01,t0113,EleD_01,BaseDemand,4.05,2025-01-05 17:27:00
period1,sc01,t0114,EleD_01,BaseDemand,4.01,2025-01-05 18:27:00
period1,sc01,t0115,EleD_01,BaseDemand,5.49,2025-01-05 19:27:00
period1,sc01,t0116,EleD_01,BaseDemand,8.89,2025-01-05 20:27:00
period1,sc01,t0117,EleD_01,BaseDemand,9.51,2025-01-05 21:27:00
period1,sc01,t0118,EleD_01,BaseDemand,10.0,2025-01-05 22:27:00
period1,sc01,t0119,EleD_01,BaseDemand,7.06,2025-01-05 23:27:00
period1,sc01,t0120,EleD_01,BaseDemand,5.74,2025-01-06 00:27:00
period1,sc01,t0121,EleD_01,BaseDemand,6.4,2025-01-06 01:27:00
period1,sc01,t0122,EleD_01,BaseDemand,5.86,2025-01-06 02:27:00
period1,sc01,t0123,EleD_01,BaseDemand,6.44,2025-01-06 03:27:00
period1,sc01,t0124,EleD_01,BaseDemand,7.67,2025-01-06 04:27:00
period1,sc01,t0125,EleD_01,BaseDemand,8.06,2025-01-06 05:27:00
period1,sc01,t0126,EleD_01,BaseDemand,7.75,2025-01-06 06:27:00
period1,sc01,t0127,EleD_01,BaseDemand,8.33,2025-01-06 07:27:00
period1,sc01,t0128,EleD_01,BaseDemand,8.55,2025-01-06 08:27:00
period1,sc01,t0129,EleD_01,BaseDemand,8.71,2025-01-06 09:27:00
period1,sc01,t0130,EleD_01,BaseDemand,7.51,2025-01-06 10:27:00
period1,sc01,t0131,EleD_01,BaseDemand,11.38,2025-01-06 11:27:00
period1,sc01,t0132,EleD_01,BaseDemand,5.55,2025-01-06 12:27:00
period1,sc01,t0133,EleD_01,BaseDemand,4.45,2025-01-06 13:27:00
period1,sc01,t0134,EleD_01,BaseDemand,6.19,2025-01-06 14:27:00
period1,sc01,t0135,EleD_01,BaseDemand,8.99,2025-01-06 15:27:00
period1,sc01,t0136,EleD_01,BaseDemand,12.6,2025-01-06 16:27:00
period1,sc01,t0137,EleD_01,BaseDemand,10.09,2025-01-06 17:27:00
period1,sc01,t0138,EleD_01,BaseDemand,11.86,2025-01-06 18:27:00
period1,sc01,t0139,EleD_01,BaseDemand,9.97,2025-01-06 19:27:00
period1,sc01,t0140,EleD_01,BaseDemand,10.16,2025-01-06 20:27:00
period1,sc01,t0141,EleD_01,BaseDemand,9.3,2025-01-06 21:27:00
period1,sc01,t0142,EleD_01,BaseDemand,9.45,2025-01-06 22:27:00
period1,sc01,t0143,EleD_01,BaseDemand,7.74,2025-01-06 23:27:00
period1,sc01,t0144,EleD_01,BaseDemand,8.75,2025-01-07 00:27:00
period1,sc01,t0145,EleD_01,BaseDemand,9.11,2025-01-07 01:27:00
period1,sc01,t0146,EleD_01,BaseDemand,8.12,2025-01-07 02:27:00
period1,sc01,t0147,EleD_01,BaseDemand,8.07,2025-01-07 03:27:00
period1,sc01,t0148,EleD_01,BaseDemand,9.05,2025-01-07 04:27:00
period1,sc01,t0149,EleD_01,BaseDemand,8.82,2025-01-07 05:27:00
period1,sc01,t0150,EleD_01,BaseDemand,7.07,2025-01-07 06:27:00
period1,sc01,t0151,EleD_01,BaseDemand,8.52,2025-01-07 07:27:00
period1,sc01,t0152,EleD_01,BaseDemand,13.44,2025-01-07 08:27:00
period1,sc01,t0153,EleD_01,BaseDemand,11.84,2025-01-07 09:27:00
period1,sc01,t0154,EleD_01,BaseDemand,8.66,2025-01-07 10:27:00
period1,sc01,t0155,EleD_01,BaseDemand,5.45,2025-01-07 11:27:00
period1,sc01,t0156,EleD_01,BaseDemand,4.69,2025-01-07 12:27:00
period1,sc01,t0157,EleD_01,BaseDemand,6.05,2025-01-07 13:27:00
period1,sc01,t0158,EleD_01,BaseDemand,5.76,2025-01-07 14:27:00
period1,sc01,t0159,EleD_01,BaseDemand,3.54,2025-01-07 15:27:00
period1,sc01,t0160,EleD_01,BaseDemand,4.84,2025-01-07 16:27:00
period1,sc01,t0161,EleD_01,BaseDemand,4.7,2025-01-07 17:27:00
period1,sc01,t0162,EleD_01,BaseDemand,5.08,2025-01-07 18:27:00
period1,sc01,t0163,EleD_01,BaseDemand,5.7,2025-01-07 19:27:00
period1,sc01,t0164,EleD_01,BaseDemand,5.42,2025-01-07 20:27:00
period1,sc01,t0165,EleD_01,BaseDemand,4.22,2025-01-07 21:27:00
period1,sc01,t0166,EleD_01,BaseDemand,4.54,2025-01-07 22:27:00
period1,sc01,t0167,EleD_01,BaseDemand,5.94,2025-01-07 23:27:00
period1,sc01,t0168,EleD_01,BaseDemand,7.32,2025-01-08 00:27:00
period1,sc01,t0169,EleD_01,BaseDemand,10.29,2025-01-08 01:27:00
period1,sc01,t0170,EleD_01,BaseDemand,4.14,2025-01-08 02:27:00
period1,sc01,t0171,EleD_01,BaseDemand,5.22,2025-01-08 03:27:00
period1,sc01,t0172,EleD_01,BaseDemand,6.12,2025-01-08 04:27:00
period1,sc01,t0173,EleD_01,BaseDemand,4.34,2025-01-08 05:27:00
period1,sc01,t0174,EleD_01,BaseDemand,3.08,2025-01-08 06:27:00
period1,sc01,t0175,EleD_01,BaseDemand,5.26,2025-01-08 07:27:00
period1,sc01,t0176,EleD_01,BaseDemand,5.31,2025-01-08 08:27:00
period1,sc01,t0177,EleD_01,BaseDemand,4.07,2025-01-08 09:27:00
period1,sc01,t0178,EleD_01,BaseDemand,4.16,2025-01-08 10:27:00
period1,sc01,t0179,EleD_01,BaseDemand,4.07,2025-01-08 11:27:00
period1,sc01,t0180,EleD_01,BaseDemand,3.19,2025-01-08 12:27:00
period1,sc01,t0181,EleD_01,BaseDemand,3.83,2025-01-08 13:27:00
period1,sc01,t0182,EleD_01,BaseDemand,3.93,2025-01-08 14:27:00
period1,sc01,t0183,EleD_01,BaseDemand,4.1,2025-01-08 15:27:00
period1,sc01,t0184,EleD_01,BaseDemand,4.33,2025-01-08 16:27:00
period1,sc01,t0185,EleD_01,BaseDemand,3.68,2025-01-08 17:27:00
period1,sc01,t0186,EleD_01,BaseDemand,3.34,2025-01-08 18:27:00
period1,sc01,t0187,EleD_01,BaseDemand,4.37,2025-01-08 19:27:00
period1,sc01,t0188,EleD_01,BaseDemand,5.07,2025-01-08 20:27:00
period1,sc01,t0189,EleD_01,BaseDemand,5.51,2025-01-08 21:27:00
period1,sc01,t0190,EleD_01,BaseDemand,5.1,2025-01-08 22:27:00
period1,sc01,t0191,EleD_01,BaseDemand,3.51,2025-01-08 23:27:00
period1,sc01,t0192,EleD_01,BaseDemand,3.9,2025-01-09 00:27:00
period1,sc01,t0193,EleD_01,BaseDemand,3.94,2025-01-09 01:27:00
period1,sc01,t0194,EleD_01,BaseDemand,3.93,2025-01-09 02:27:00
period1,sc01,t0195,EleD_01,BaseDemand,4.07,2025-01-09 03:27:00
period1,sc01,t0196,EleD_01,BaseDemand,4.06,2025-01-09 04:27:00
period1,sc01,t0197,EleD_01,BaseDemand,2.97,2025-01-09 05:27:00
period1,sc01,t0198,EleD_01,BaseDemand,3.93,2025-01-09 06:27:00
period1,sc01,t0199,EleD_01,BaseDemand,4.24,2025-01-09 07:27:00
period1,sc01,t0200,EleD_01,BaseDemand,3.96,2025-01-09 08:27:00
period1,sc01,t0201,EleD_01,BaseDemand,4.12,2025-01-09 09:27:00
period1,sc01,t0202,EleD_01,BaseDemand,4.43,2025-01-09 10:27:00
period1,sc01,t0203,EleD_01,BaseDemand,4.52,2025-01-09 11:27:00
period1,sc01,t0204,EleD_01,BaseDemand,4.16,2025-01-09 12:27:00
period1,sc01,t0205,EleD_01,BaseDemand,5.78,2025-01-09 13:27:00
period1,sc01,t0206,EleD_01,BaseDemand,6.44,2025-01-09 14:27:00
period1,sc01,t0207,EleD_01,BaseDemand,7.36,2025-01-09 15:27:00
period1,sc01,t0208,EleD_01,BaseDemand,10.28,2025-01-09 16:27:00
period1,sc01,t0209,EleD_01,BaseDemand,10.01,2025-01-09 17:27:00
period1,sc01,t0210,EleD_01,BaseDemand,5.11,2025-01-09 18:27:00
period1,sc01,t0211,EleD_01,BaseDemand,4.53,2025-01-09 19:27:00
period1,sc01,t0212,EleD_01,BaseDemand,5.39,2025-01-09 20:27:00
period1,sc01,t0213,EleD_01,BaseDemand,5.84,2025-01-09 21:27:00
period1,sc01,t0214,EleD_01,BaseDemand,4.13,2025-01-09 22:27:00
period1,sc01,t0215,EleD_01,BaseDemand,3.45,2025-01-09 23:27:00
period1,sc01,t0216,EleD_01,BaseDemand,3.82,2025-01-10 00:27:00
period1,sc01,t0217,EleD_01,BaseDemand,4.28,2025-01-10 01:27:00
period1,sc01,t0218,EleD_01,BaseDemand,3.01,2025-01-10 02:27:00
period1,sc01,t0219,EleD_01,BaseDemand,2.88,2025-01-10 03:27:00
period1,sc01,t0220,EleD_01,BaseDemand,3.95,2025-01-10 04:27:00
period1,sc01,t0221,EleD_01,BaseDemand,3.07,2025-01-10 05:27:00
period1,sc01,t0222,EleD_01,BaseDemand,4.26,2025-01-10 06:27:00
period1,sc01,t0223,EleD_01,BaseDemand,2.86,2025-01-10 07:27:00
period1,sc01,t0224,EleD_01,BaseDemand,4.11,2025-01-10 08:27:00
period1,sc01,t0225,EleD_01,BaseDemand,2.75,2025-01-10 09:27:00
period1,sc01,t0226,EleD_01,BaseDemand,5.0,2025-01-10 10:27:00
period1,sc01,t0227,EleD_01,BaseDemand,4.19,2025-01-10 11:27:00
period1,sc01,t0228,EleD_01,BaseDemand,3.77,2025-01-10 12:27:00
period1,sc01,t0229,EleD_01,BaseDemand,4.39,2025-01-10 13:27:00
period1,sc01,t0230,EleD_01,BaseDemand,2.7,2025-01-10 14:27:00
period1,sc01,t0231,EleD_01,BaseDemand,2.87,2025-01-10 15:27:00
period1,sc01,t0232,EleD_01,BaseDemand,3.93,2025-01-10 16:27:00
period1,sc01,t0233,EleD_01,BaseDemand,3.28,2025-01-10 17:27:00
period1,sc01,t0234,EleD_01,BaseDemand,3.41,2025-01-10 18:27:00
period1,sc01,t0235,EleD_01,BaseDemand,4.26,2025-01-10 19:27:00
period1,sc01,t0236,EleD_01,BaseDemand,4.95,2025-01-10 20:27:00
period1,sc01,t0237,EleD_01,BaseDemand,4.26,2025-01-10 21:27:00
period1,sc01,t0238,EleD_01,BaseDemand,4.88,2025-01-10 22:27:00
period1,sc01,t0239,EleD_01,BaseDemand,2.9,2025-01-10 23:27:00
period1,sc01,t0240,EleD_01,BaseDemand,2.65,2025-01-11 00:27:00
period1,sc01,t0241,EleD_01,BaseDemand,3.87,2025-01-11 01:27:00
period1,sc01,t0242,EleD_01,BaseDemand,2.92,2025-01-11 02:27:00
period1,sc01,t0243,EleD_01,BaseDemand,5.07,2025-01-11 03:27:00
period1,sc01,t0244,EleD_01,BaseDemand,4.8,2025-01-11 04:27:00
period1,sc01,t0245,EleD_01,BaseDemand,4.18,2025-01-11 05:27:00
period1,sc01,t0246,EleD_01,BaseDemand,4.39,2025-01-11 06:27:00
period1,sc01,t0247,EleD_01,BaseDemand,8.17,2025-01-11 07:27:00
period1,sc01,t0248,EleD_01,BaseDemand,4.3,2025-01-11 08:27:00
period1,sc01,t0249,EleD_01,BaseDemand,4.19,2025-01-11 09:27:00
