Period,Scenario,LoadLevel,Date,MWh,KWh,Type
period1,sc01,t0001,2025-01-01 01:27:00,-5.165999999999999,-5.165999999999999,NetDemand
period1,sc01,t0002,2025-01-01 02:27:00,-9.464,-9.464,NetDemand
period1,sc01,t0003,2025-01-01 03:27:00,-5.145,-5.145,NetDemand
period1,sc01,t0004,2025-01-01 04:27:00,-9.835,-9.835,NetDemand
period1,sc01,t0005,2025-01-01 05:27:00,-9.386,-9.386,NetDemand
period1,sc01,t0006,2025-01-01 06:27:00,-5.134,-5.134,NetDemand
period1,sc01,t0007,2025-01-01 07:27:00,-9.347000000000001,-9.347000000000001,NetDemand
period1,sc01,t0008,2025-01-01 08:27:00,-5.262999999999998,-5.262999999999998,NetDemand
period1,sc01,t0009,2025-01-01 09:27:00,-9.204,-9.204,NetDemand
period1,sc01,t0010,2025-01-01 10:27:00,-5.1431521149999995,-5.1431521149999995,NetDemand
period1,sc01,t0011,2025-01-01 11:27:00,-6.201386227,-6.201386227,NetDemand
period1,sc01,t0012,2025-01-01 12:27:00,-4.929127286,-4.929127286,NetDemand
period1,sc01,t0013,2025-01-01 13:27:00,-6.686899277,-6.686899277,NetDemand
period1,sc01,t0014,2025-01-01 14:27:00,-5.02259143,-5.02259143,NetDemand
period1,sc01,t0015,2025-01-01 15:27:00,-9.064173219,-9.064173219,NetDemand
period1,sc01,t0016,2025-01-01 16:27:00,-5.321954084999999,-5.321954084999999,NetDemand
period1,sc01,t0017,2025-01-01 17:27:00,-7.735,-7.735,NetDemand
period1,sc01,t0018,2025-01-01 18:27:00,-6.585,-6.585,NetDemand
period1,sc01,t0019,2025-01-01 19:27:00,-6.986000000000001,-6.986000000000001,NetDemand
period1,sc01,t0020,2025-01-01 20:27:00,-9.724,-9.724,NetDemand
period1,sc01,t0021,2025-01-01 21:27:00,-5.648,-5.648,NetDemand
period1,sc01,t0022,2025-01-01 22:27:00,-7.462,-7.462,NetDemand
period1,sc01,t0023,2025-01-01 23:27:00,-4.888000000000002,-4.888000000000002,NetDemand
period1,sc01,t0024,2025-01-02 00:27:00,-8.892,-8.892,NetDemand
period1,sc01,t0025,2025-01-02 01:27:00,-4.6179999999999986,-4.6179999999999986,NetDemand
period1,sc01,t0026,2025-01-02 02:27:00,-5.5120000000000005,-5.5120000000000005,NetDemand
period1,sc01,t0027,2025-01-02 03:27:00,-6.723000000000001,-6.723000000000001,NetDemand
period1,sc01,t0028,2025-01-02 04:27:00,-8.697000000000001,-8.697000000000001,NetDemand
period1,sc01,t0029,2025-01-02 05:27:00,-8.392,-8.392,NetDemand
period1,sc01,t0030,2025-01-02 06:27:00,-3.668,-3.668,NetDemand
period1,sc01,t0031,2025-01-02 07:27:00,-5.46,-5.46,NetDemand
