,,,,Production/Discharge [KWh],Production/Discharge [KWh],Production/Discharge [KWh],ENS [KWh],ENS [KWh],Load/Home [KWh],Load/Home [KWh],Electricity Buy [KWh],Electricity Buy [KWh],Electricity Sell [KWh],Electricity Sell [KWh],Spot Price [EUR/KWh],EleCost [EUR/KWh],ElePrice [EUR/KWh]
,,,,BESS,EV,Solar-PV,Node1,Node2,Node1,Node2,Node1,Node2,Node1,Node2,EleR_01,EleR_01,EleR_01
period1,sc01,t0001,2025-01-01 01:27:00,0.0,0.0,0.0,0.0,0.0,-5.165999999999999,0.0,5.165999999999999,0.0,0.0,0.0,0.15041,1.2442625,0.12032799999999999
period1,sc01,t0002,2025-01-01 02:27:00,0.0,0.0,0.0,0.0,0.0,-9.464,0.0,9.464,0.0,0.0,0.0,0.1472,1.24025,0.11776
period1,sc01,t0003,2025-01-01 03:27:00,0.0,0.0,0.0,0.0,0.0,-5.145,0.0,5.145,0.0,0.0,0.0,0.14445,1.2368125,0.11556
period1,sc01,t0004,2025-01-01 04:27:00,0.0,0.0,0.0,0.0,0.0,-9.835,0.0,9.835,0.0,0.0,0.0,0.14289,1.2348625,0.114312
period1,sc01,t0005,2025-01-01 05:27:00,0.0,0.0,0.0,0.0,0.0,-9.386,0.0,9.386,0.0,0.0,0.0,0.14197,1.2337125,0.11357600000000001
period1,sc01,t0006,2025-01-01 06:27:00,0.0,0.0,0.0,0.0,0.0,-5.134,0.0,5.134,0.0,0.0,0.0,0.14454,1.236925,0.11563200000000001
period1,sc01,t0007,2025-01-01 07:27:00,0.0,0.0,0.0,0.0,0.0,-9.347000000000001,0.0,9.347000000000001,0.0,0.0,0.0,0.14096,1.23245,0.11276800000000001
period1,sc01,t0008,2025-01-01 08:27:00,0.0,0.0,0.0,0.0,0.0,-5.262999999999998,0.0,5.262999999999998,0.0,0.0,0.0,0.14105,1.2325625,0.11284000000000001
period1,sc01,t0009,2025-01-01 09:27:00,0.0,0.0,0.0,0.0,0.0,-9.204,0.0,9.204,0.0,0.0,0.0,0.1394,1.2305,0.11152000000000001
period1,sc01,t0010,2025-01-01 10:27:00,0.0,0.0,0.052847885,0.0,0.0,-5.196,0.0,5.1431521149999995,0.0,0.0,0.0,0.14123,1.2327875,0.112984
period1,sc01,t0011,2025-01-01 11:27:00,0.0,0.0,0.246613773,0.0,0.0,-6.448,0.0,6.201386227,0.0,0.0,0.0,0.14481,1.2372625,0.115848
period1,sc01,t0012,2025-01-01 12:27:00,0.0,0.0,0.362872714,0.0,0.0,-5.292,0.0,4.929127286,0.0,0.0,0.0,0.14821,1.2415125,0.118568
period1,sc01,t0013,2025-01-01 13:27:00,0.0,0.0,0.398100723,0.0,0.0,-7.085,0.0,6.686899277,0.0,0.0,0.0,0.15142,1.245525,0.12113600000000001
period1,sc01,t0014,2025-01-01 14:27:00,0.0,0.0,0.29240857,0.0,0.0,-5.315,0.0,5.02259143,0.0,0.0,0.0,0.15344,1.24805,0.122752
period1,sc01,t0015,2025-01-01 15:27:00,0.0,0.0,0.126826781,0.0,0.0,-9.191,0.0,9.064173219,0.0,0.0,0.0,0.15757,1.2532125,0.126056
period1,sc01,t0016,2025-01-01 16:27:00,0.0,0.0,0.007045915,0.0,0.0,-5.328999999999999,0.0,5.321954084999999,0.0,0.0,0.0,0.16519,1.2627375,0.13215200000000002
period1,sc01,t0017,2025-01-01 17:27:00,0.0,0.0,0.0,0.0,0.0,-7.735,0.0,7.735,0.0,0.0,0.0,0.17005,1.2688125000000001,0.13604000000000002
period1,sc01,t0018,2025-01-01 18:27:00,0.0,0.0,0.0,0.0,0.0,-6.585,0.0,6.585,0.0,0.0,0.0,0.17537,1.2754625000000002,0.140296
period1,sc01,t0019,2025-01-01 19:27:00,0.0,0.0,0.0,0.0,0.0,-6.986000000000001,0.0,6.986000000000001,0.0,0.0,0.0,0.17143,1.2705375,0.13714400000000002
period1,sc01,t0020,2025-01-01 20:27:00,0.0,0.0,0.0,0.0,0.0,-9.724,0.0,9.724,0.0,0.0,0.0,0.16454,1.261925,0.131632
period1,sc01,t0021,2025-01-01 21:27:00,0.0,0.0,0.0,0.0,0.0,-5.648,0.0,5.648,0.0,0.0,0.0,0.16234,1.259175,0.12987200000000002
period1,sc01,t0022,2025-01-01 22:27:00,0.0,0.0,0.0,0.0,0.0,-7.462,0.0,7.462,0.0,0.0,0.0,0.15904,1.2550500000000002,0.12723199999999998
period1,sc01,t0023,2025-01-01 23:27:00,0.0,0.0,0.0,0.0,0.0,-4.888000000000002,0.0,4.888000000000002,0.0,0.0,0.0,0.15371,1.2483875,0.12296800000000002
period1,sc01,t0024,2025-01-02 00:27:00,0.0,0.0,0.0,0.0,0.0,-8.892,0.0,8.892,0.0,0.0,0.0,0.14913,1.2426625,0.11930400000000002
period1,sc01,t0025,2025-01-02 01:27:00,0.0,0.0,0.0,0.0,0.0,-4.6179999999999986,0.0,4.6179999999999986,0.0,0.0,0.0,0.15139,1.2454874999999999,0.121112
period1,sc01,t0026,2025-01-02 02:27:00,0.0,0.0,0.0,0.0,0.0,-5.5120000000000005,0.0,5.5120000000000005,0.0,0.0,0.0,0.14606,1.238825,0.11684800000000001
period1,sc01,t0027,2025-01-02 03:27:00,0.0,0.0,0.0,0.0,0.0,-6.723000000000001,0.0,6.723000000000001,0.0,0.0,0.0,0.13816,1.2289500000000002,0.11052800000000002
period1,sc01,t0028,2025-01-02 04:27:00,0.0,0.0,0.0,0.0,0.0,-8.697000000000001,0.0,8.697000000000001,0.0,0.0,0.0,0.12124,1.2078,0.09699200000000001
period1,sc01,t0029,2025-01-02 05:27:00,0.0,0.0,0.0,0.0,0.0,-8.392,0.0,8.392,0.0,0.0,0.0,0.11665,1.2020624999999998,0.09332000000000001
period1,sc01,t0030,2025-01-02 06:27:00,0.0,0.0,0.0,0.0,0.0,-3.668,0.0,3.668,0.0,0.0,0.0,0.11894,1.204925,0.09515200000000001
period1,sc01,t0031,2025-01-02 07:27:00,0.0,0.0,0.0,0.0,0.0,-5.46,0.0,5.46,0.0,0.0,0.0,0.12492,1.2124,0.09993600000000001
period1,sc01,t0032,2025-01-02 08:27:00,0.0,0.0,0.0,0.0,0.0,-7.72,0.0,7.72,0.0,0.0,0.0,0.13099,1.2199875,0.104792
period1,sc01,t0033,2025-01-02 09:27:00,0.0,0.0,0.0,0.0,0.0,-9.657,0.0,9.657,0.0,0.0,0.0,0.14431,1.2366375,0.115448
period1,sc01,t0034,2025-01-02 10:27:00,0.0,0.0,0.003527229,0.0,0.0,-5.033,0.0,5.029472771,0.0,0.0,0.0,0.1445,1.2368750000000002,0.1156
period1,sc01,t0035,2025-01-02 11:27:00,0.0,0.0,0.095124661,0.0,0.0,-8.883,0.0,8.787875339,0.0,0.0,0.0,0.1468,1.2397500000000001,0.11744000000000002
