Period,Scenario,LoadLevel,TotalOutput,Date
period1,sc01,t2724,10.49215417,2025-04-24 12:27:00
period1,sc01,t3036,10.36404389,2025-05-07 12:27:00
period1,sc01,t3012,10.31447663,2025-05-06 12:27:00
period1,sc01,t2676,10.30790393,2025-04-22 12:27:00
period1,sc01,t2963,10.27666645,2025-05-04 11:27:00
period1,sc01,t2964,10.27224452,2025-05-04 12:27:00
period1,sc01,t2484,10.2337242,2025-04-14 12:27:00
period1,sc01,t2220,10.20599232,2025-04-03 12:27:00
period1,sc01,t3037,10.19239789,2025-05-07 13:27:00
period1,sc01,t2677,10.17444834,2025-04-22 13:27:00
period1,sc01,t2723,10.16172619,2025-04-24 11:27:00
period1,sc01,t3035,10.16128198,2025-05-07 11:27:00
period1,sc01,t3011,10.13651085,2025-05-06 11:27:00
period1,sc01,t2221,10.12940152,2025-04-03 13:27:00
period1,sc01,t5772,10.09660431,2025-08-29 12:27:00
period1,sc01,t3013,10.08340125,2025-05-06 13:27:00
period1,sc01,t2941,10.06350088,2025-05-03 13:27:00
period1,sc01,t2965,10.0476827,2025-05-04 13:27:00
period1,sc01,t2485,10.03445302,2025-04-14 13:27:00
period1,sc01,t3180,10.02539467,2025-05-13 12:27:00
period1,sc01,t2940,10.0231953,2025-05-03 12:27:00
period1,sc01,t3324,10.01560269,2025-05-19 12:27:00
period1,sc01,t2675,9.99600297,2025-04-22 11:27:00
period1,sc01,t2460,9.95518273,2025-04-13 12:27:00
period1,sc01,t3325,9.932263283,2025-05-19 13:27:00
period1,sc01,t3229,9.929181801,2025-05-15 13:27:00
period1,sc01,t3060,9.91231197,2025-05-08 12:27:00
period1,sc01,t3084,9.880713632,2025-05-09 12:27:00
period1,sc01,t3804,9.849054405,2025-06-08 12:27:00
period1,sc01,t2483,9.841185328,2025-04-14 11:27:00
period1,sc01,t3228,9.840251454,2025-05-15 12:27:00
period1,sc01,t3323,9.823103988,2025-05-19 11:27:00
period1,sc01,t3781,9.807904697,2025-06-07 13:27:00
period1,sc01,t3828,9.790053269,2025-06-09 12:27:00
period1,sc01,t3179,9.766992197,2025-05-13 11:27:00
period1,sc01,t3181,9.762480499,2025-05-13 13:27:00
period1,sc01,t3636,9.761020035,2025-06-01 12:27:00
period1,sc01,t5509,9.749558724,2025-08-18 13:27:00
period1,sc01,t2459,9.738402918,2025-04-13 11:27:00
period1,sc01,t2219,9.71451542,2025-04-03 11:27:00
period1,sc01,t3829,9.696977895,2025-06-09 13:27:00
period1,sc01,t2461,9.689498568,2025-04-13 13:27:00
period1,sc01,t3083,9.675132426,2025-05-09 11:27:00
period1,sc01,t1908,9.670327734,2025-03-21 12:27:00
period1,sc01,t3780,9.653936586,2025-06-07 12:27:00
period1,sc01,t3803,9.650641862,2025-06-08 11:27:00
period1,sc01,t3227,9.650433856,2025-05-15 11:27:00
