Period,Scenario,LoadLevel,Sell,Date
period1,sc01,t3036,10.05204389,2025-05-07 12:27:00
period1,sc01,t2963,10.01066645,2025-05-04 11:27:00
period1,sc01,t3037,10.01039789,2025-05-07 13:27:00
period1,sc01,t5772,9.97060431,2025-08-29 12:27:00
period1,sc01,t2676,9.95690393,2025-04-22 12:27:00
period1,sc01,t3011,9.856510850000001,2025-05-06 11:27:00
period1,sc01,t3325,9.820263283,2025-05-19 13:27:00
period1,sc01,t3324,9.75560269,2025-05-19 12:27:00
period1,sc01,t2675,9.737002969999999,2025-04-22 11:27:00
period1,sc01,t2965,9.7306827,2025-05-04 13:27:00
period1,sc01,t3012,9.72447663,2025-05-06 12:27:00
period1,sc01,t3035,9.64328198,2025-05-07 11:27:00
period1,sc01,t3013,9.552401249999999,2025-05-06 13:27:00
period1,sc01,t3179,9.542992197,2025-05-13 11:27:00
period1,sc01,t2724,9.53015417,2025-04-24 12:27:00
period1,sc01,t3828,9.530053269,2025-06-09 12:27:00
period1,sc01,t2964,9.52824452,2025-05-04 12:27:00
period1,sc01,t3059,9.486179488,2025-05-08 11:27:00
period1,sc01,t3804,9.485054405,2025-06-08 12:27:00
period1,sc01,t5509,9.460558724,2025-08-18 13:27:00
period1,sc01,t2677,9.435448339999999,2025-04-22 13:27:00
period1,sc01,t3829,9.425977894999999,2025-06-09 13:27:00
period1,sc01,t3203,9.404311678000001,2025-05-14 11:27:00
period1,sc01,t3922,9.3737058895,2025-06-13 10:27:00
period1,sc01,t5771,9.356773345,2025-08-29 11:27:00
period1,sc01,t3323,9.353103987999999,2025-05-19 11:27:00
period1,sc01,t3757,9.337433989,2025-06-06 13:27:00
period1,sc01,t3805,9.334199455,2025-06-08 13:27:00
period1,sc01,t3061,9.319388139,2025-05-08 13:27:00
period1,sc01,t3083,9.297132426,2025-05-09 11:27:00
period1,sc01,t3827,9.293063089999999,2025-06-09 11:27:00
period1,sc01,t3781,9.287904697,2025-06-07 13:27:00
period1,sc01,t2723,9.27372619,2025-04-24 11:27:00
period1,sc01,t3637,9.216254998,2025-06-01 13:27:00
period1,sc01,t4451,9.207126267,2025-07-05 11:27:00
period1,sc01,t5964,9.187805133,2025-09-06 12:27:00
period1,sc01,t3636,9.186020035,2025-06-01 12:27:00
period1,sc01,t3034,9.154979888,2025-05-07 10:27:00
period1,sc01,t4835,9.119102366,2025-07-21 11:27:00
period1,sc01,t3107,9.113510127,2025-05-10 11:27:00
period1,sc01,t3038,9.080861777,2025-05-07 14:27:00
period1,sc01,t3635,9.062256770000001,2025-06-01 11:27:00
period1,sc01,t5484,9.056489069000001,2025-08-17 12:27:00
period1,sc01,t3326,9.053699211,2025-05-19 14:27:00
period1,sc01,t5773,9.049272466000001,2025-08-29 13:27:00
period1,sc01,t5507,9.048158169,2025-08-18 11:27:00
period1,sc01,t3060,9.02631197,2025-05-08 12:27:00
period1,sc01,t3205,9.020098161,2025-05-14 13:27:00
period1,sc01,t3204,9.00378781,2025-05-14 12:27:00
period1,sc01,t3131,8.985901949,2025-05-11 11:27:00
period1,sc01,t3180,8.96939467,2025-05-13 12:27:00
period1,sc01,t3779,8.954959059,2025-06-07 11:27:00
period1,sc01,t3803,8.944641862000001,2025-06-08 11:27:00
period1,sc01,t3708,8.944019001,2025-06-04 12:27:00
period1,sc01,t3014,8.926326504,2025-05-06 14:27:00
period1,sc01,t5483,8.918891954000001,2025-08-17 11:27:00
period1,sc01,t2966,8.912622211,2025-05-04 14:27:00
period1,sc01,t2485,8.9109891022,2025-04-14 13:27:00
period1,sc01,t4597,8.897142493999999,2025-07-11 13:27:00
period1,sc01,t5988,8.888808971000001,2025-09-07 12:27:00
