,,,FCRD_Up,FCRD_Down,FCRN_Up,FCRN_Down
period1,sc01,t0001, 0 , 1.64495744565331E-02 ,,
period1,sc01,t0002, 0 , 0 ,,
period1,sc01,t0003, 0 , 0.224881259345325 ,,
period1,sc01,t0004, 0 , 0 ,,
period1,sc01,t0005, 0 , 0 ,,
period1,sc01,t0006, 0 , 0 ,,
period1,sc01,t0007, 0 , 0 ,,
period1,sc01,t0008, 0 , 0 ,,
period1,sc01,t0009, 0 , 0 ,,
period1,sc01,t0010, 0 , 0.301966296423589 ,,
period1,sc01,t0011, 0 , 0 ,,
period1,sc01,t0012, 0 , 0 ,,
period1,sc01,t0013, 0 , 0 ,,
period1,sc01,t0014, 0 , 0 ,,
period1,sc01,t0015, 0 , 0.271689892507713 ,,
period1,sc01,t0016, 0 , 0 ,,
period1,sc01,t0017, 0 , 0 ,,
period1,sc01,t0018, 0.078392597102619 , 0 ,,
period1,sc01,t0019, 0 , 0 ,,
period1,sc01,t0020, 0 , 0 ,,
period1,sc01,t0021, 0 , 0.167806075128779 ,,
period1,sc01,t0022, 0 , 0 ,,
period1,sc01,t0023, 0 , 0 ,,
period1,sc01,t0024, 0 , 4.29961401526924E-02 ,,
period1,sc01,t0025, 0 , 0 ,,
period1,sc01,t0026, 0 , 0 ,,
period1,sc01,t0027, 0 , 0 ,,
period1,sc01,t0028, 0 , 0 ,,
period1,sc01,t0029, 0 , 0.112245178694842 ,,
period1,sc01,t0030, 0.176900597608288 , 0 ,,
period1,sc01,t0031, 0 , 0 ,,
period1,sc01,t0032, 0 , 0 ,,
period1,sc01,t0033, 0 , 0 ,,
period1,sc01,t0034, 0 , 0 ,,
period1,sc01,t0035, 0 , 0 ,,
period1,sc01,t0036, 0 , 0.230975398469983 ,,
period1,sc01,t0037, 0 , 0 ,,
period1,sc01,t0038, 0 , 0 ,,
period1,sc01,t0039, 0 , 0 ,,
period1,sc01,t0040, 0 , 0 ,,
period1,sc01,t0041, 0 , 0 ,,
period1,sc01,t0042, 0 , 0 ,,
period1,sc01,t0043, 0.088608642378649 , 0 ,,
period1,sc01,t0044, 0 , 0 ,,
period1,sc01,t0045, 0.407389012701966 , 0 ,,
period1,sc01,t0046, 0 , 0 ,,
period1,sc01,t0047, 0 , 0.357669885651728 ,,
period1,sc01,t0048, 0 , 0 ,,
period1,sc01,t0049, 0 , 0 ,,
period1,sc01,t0050, 0.249439129021759 , 0 ,,
period1,sc01,t0051, 0 , 0 ,,
period1,sc01,t0052, 0.324319892623536 , 0 ,,
period1,sc01,t0053, 0 , 0 ,,
period1,sc01,t0054, 0.122250316186446 , 0 ,,
period1,sc01,t0055, 0 , 0 ,,
period1,sc01,t0056, 0 , 0 ,,
period1,sc01,t0057, 0 , 0 ,,
period1,sc01,t0058, 0 , 0.285962105075261 ,,
period1,sc01,t0059, 0.119958173253623 , 0 ,,
period1,sc01,t0060, 0 , 0 ,,
period1,sc01,t0061, 0 , 0 ,,
period1,sc01,t0062, 0 , 0 ,,
period1,sc01,t0063, 0 , 0 ,,
period1,sc01,t0064, 0 , 0 ,,
period1,sc01,t0065, 0 , 0 ,,
period1,sc01,t0066, 0 , 0 ,,
period1,sc01,t0067, 0.034719554097939 , 0 ,,
period1,sc01,t0068, 0 , 0 ,,
period1,sc01,t0069, 0 , 0 ,,
period1,sc01,t0070, 0 , 0 ,,
period1,sc01,t0071, 0 , 0 ,,
period1,sc01,t0072, 0 , 0 ,,
period1,sc01,t0073, 0 , 0 ,,
period1,sc01,t0074, 0.193977171117353 , 0 ,,
period1,sc01,t0075, 0.166734538167194 , 0 ,,
period1,sc01,t0076, 0 , 0 ,,
period1,sc01,t0077, 0 , 0 ,,
period1,sc01,t0078, 0 , 0 ,,
period1,sc01,t0079, 0 , 0 ,,
period1,sc01,t0080, 0 , 0 ,,
period1,sc01,t0081, 0 , 0 ,,
period1,sc01,t0082, 0 , 0 ,,
period1,sc01,t0083, 0 , 0 ,,
period1,sc01,t0084, 0 , 0 ,,
period1,sc01,t0085, 0 , 0 ,,
period1,sc01,t0086, 0 , 0 ,,
period1,sc01,t0087, 3.60814552844588E-02 , 7.34875777731189E-03 ,,
period1,sc01,t0088, 0 , 0 ,,
period1,sc01,t0089, 0 , 0 ,,
period1,sc01,t0090, 0 , 0 ,,
period1,sc01,t0091, 0 , 0 ,,
period1,sc01,t0092, 0 , 0 ,,
period1,sc01,t0093, 0 , 0 ,,
period1,sc01,t0094, 0 , 0.479740649604598 ,,
period1,sc01,t0095, 0 , 0 ,,
period1,sc01,t0096, 0 , 0 ,,
period1,sc01,t0097, 0 , 0 ,,
period1,sc01,t0098, 0 , 0 ,,
period1,sc01,t0099, 0 , 0 ,,
period1,sc01,t0100, 0 , 0 ,,
period1,sc01,t0101, 0 , 0 ,,
period1,sc01,t0102, 0 , 0 ,,
period1,sc01,t0103, 0 , 6.32449662844493E-02 ,,
period1,sc01,t0104, 0 , 0 ,,
period1,sc01,t0105, 0 , 0 ,,
period1,sc01,t0106, 0 , 0 ,,
period1,sc01,t0107, 0 , 0 ,,
period1,sc01,t0108, 0.110117481516128 , 0 ,,
period1,sc01,t0109, 0 , 0 ,,
period1,sc01,t0110, 0.287684290205096 , 0 ,,
period1,sc01,t0111, 0 , 0 ,,
period1,sc01,t0112, 0 , 0 ,,
period1,sc01,t0113, 0 , 0 ,,
period1,sc01,t0114, 0 , 0 ,,
period1,sc01,t0115, 0 , 0.318380001011551 ,,
period1,sc01,t0116, 0 , 0 ,,
period1,sc01,t0117, 0 , 0 ,,
period1,sc01,t0118, 0 , 0.254013324322805 ,,
period1,sc01,t0119, 0 , 0 ,,
period1,sc01,t0120, 0.106042984337748 , 0 ,,
period1,sc01,t0121, 0 , 6.69653427265229E-02 ,,
period1,sc01,t0122, 0.460274565198694 , 0.442878413490519 ,,
period1,sc01,t0123, 0.114272862514175 , 0 ,,
period1,sc01,t0124, 0 , 0.417225076898338 ,,
period1,sc01,t0125, 0 , 0.12855311460867 ,,
period1,sc01,t0126, 0 , 0.237070659746139 ,,
period1,sc01,t0127, 0 , 0.243032664144715 ,,
period1,sc01,t0128, 0 , 0 ,,
period1,sc01,t0129, 0 , 0 ,,
period1,sc01,t0130, 0 , 0.297484931641663 ,,
period1,sc01,t0131, 0.161682704272218 , 0 ,,
period1,sc01,t0132, 0 , 0 ,,
period1,sc01,t0133, 0 , 0 ,,
period1,sc01,t0134, 0 , 0 ,,
period1,sc01,t0135, 0 , 0.083444544683347 ,,
period1,sc01,t0136, 0 , 5.38683759734952E-02 ,,
period1,sc01,t0137, 0 , 0 ,,
period1,sc01,t0138, 0 , 0 ,,
period1,sc01,t0139, 0 , 0.257728580835145 ,,
period1,sc01,t0140, 0 , 0 ,,
period1,sc01,t0141, 0 , 0 ,,
period1,sc01,t0142, 0 , 0 ,,
period1,sc01,t0143, 0 , 0 ,,
period1,sc01,t0144, 0.231069945738691 , 0 ,,
period1,sc01,t0145, 0 , 0 ,,
period1,sc01,t0146, 0 , 0 ,,
period1,sc01,t0147, 0 , 0.146033806863998 ,,
period1,sc01,t0148, 0.264240236476544 , 0.413409577151314 ,,
period1,sc01,t0149, 0 , 0.436094051233705 ,,
period1,sc01,t0150, 0.347795778701632 , 0 ,,
period1,sc01,t0151, 0.181476530877853 , 0 ,,
period1,sc01,t0152, 0 , 0.2443519095661 ,,
period1,sc01,t0153, 0 , 0 ,,
period1,sc01,t0154, 0 , 0 ,,
period1,sc01,t0155, 0 , 0.182624546705554 ,,
period1,sc01,t0156, 0.180056964124179 , 0 ,,
period1,sc01,t0157, 0 , 0.143589211487849 ,,
period1,sc01,t0158, 0 , 0 ,,
period1,sc01,t0159, 0 , 0 ,,
period1,sc01,t0160, 7.94540043680667E-02 , 0 ,,
period1,sc01,t0161, 0 , 0 ,,
period1,sc01,t0162, 0 , 0.379941002308973 ,,
period1,sc01,t0163, 0 , 0 ,,
period1,sc01,t0164, 0 , 0 ,,
period1,sc01,t0165, 0.546177954887433 , 0 ,,
period1,sc01,t0166, 0 , 0 ,,
period1,sc01,t0167, 0 , 0.146762996159353 ,,
period1,sc01,t0168, 0.428263875904862 , 0 ,,
period1,sc01,t0169, 0.255383153940412 , 0 ,,
period1,sc01,t0170, 0.206491607960015 , 0.106921111348204 ,,
period1,sc01,t0171, 0.158705498146164 , 0 ,,
period1,sc01,t0172, 0 , 0 ,,
period1,sc01,t0173, 0 , 0 ,,
period1,sc01,t0174, 0 , 0 ,,
period1,sc01,t0175, 0 , 0 ,,
period1,sc01,t0176, 0 , 0 ,,
period1,sc01,t0177, 0 , 0.236946909253054 ,,
period1,sc01,t0178, 0 , 0 ,,
period1,sc01,t0179, 0.55647016801073 , 0 ,,
period1,sc01,t0180, 0 , 0 ,,
period1,sc01,t0181, 4.97723925318856E-02 , 0 ,,
period1,sc01,t0182, 0 , 0 ,,
period1,sc01,t0183, 0 , 0.179669377779264 ,,
period1,sc01,t0184, 0 , 0 ,,
period1,sc01,t0185, 0 , 0 ,,
period1,sc01,t0186, 0 , 0 ,,
period1,sc01,t0187, 0 , 0 ,,
period1,sc01,t0188, 0 , 5.55380603272555E-02 ,,
period1,sc01,t0189, 0 , 0 ,,
period1,sc01,t0190, 0 , 0 ,,
period1,sc01,t0191, 7.45095347432379E-02 , 0 ,,
period1,sc01,t0192, 0 , 0 ,,
period1,sc01,t0193, 0 , 1.69586794547048E-02 ,,
period1,sc01,t0194, 0 , 0 ,,
period1,sc01,t0195, 2.41718164728144E-02 , 0 ,,
period1,sc01,t0196, 0 , 0 ,,
period1,sc01,t0197, 0 , 0 ,,
period1,sc01,t0198, 0.346889066628174 , 0 ,,
period1,sc01,t0199, 0.399899446731797 , 0 ,,
period1,sc01,t0200, 0 , 0 ,,
period1,sc01,t0201, 8.91294798411699E-02 , 0 ,,
period1,sc01,t0202, 0.18456323478679 , 0 ,,
period1,sc01,t0203, 0.1661889932557 , 0.421593832206112 ,,
period1,sc01,t0204, 0 , 0.501794177450709 ,,
period1,sc01,t0205, 8.67439612852072E-02 , 0 ,,
