,,,FCRD_Up,FCRD_Down,FCRN_Up,FCRN_Down
period1,sc01,t0001, 8.92594926468804E-02 , 8.92594926468804E-02 ,,
period1,sc01,t0002, 2.33206395406862E-02 , 2.33206395406862E-02 ,,
period1,sc01,t0003, 0 , 0 ,,
period1,sc01,t0004, 2.60820333939244E-03 , 2.60820333939244E-03 ,,
period1,sc01,t0005, 0 , 0 ,,
period1,sc01,t0006, 0 , 0 ,,
period1,sc01,t0007, 0 , 0 ,,
period1,sc01,t0008, 0 , 0 ,,
period1,sc01,t0009, 0 , 0 ,,
period1,sc01,t0010, 1.18032779246326E-02 , 1.18032779246326E-02 ,,
period1,sc01,t0011, 9.13075865258559E-02 , 9.13075865258559E-02 ,,
period1,sc01,t0012, 0.12855410397572 , 0.12855410397572 ,,
period1,sc01,t0013, 0.189276631888959 , 0.189276631888959 ,,
period1,sc01,t0014, 0.244286712997108 , 0.244286712997108 ,,
period1,sc01,t0015, 0.241506149227961 , 0.241506149227961 ,,
period1,sc01,t0016, 0.26027434373234 , 0.26027434373234 ,,
period1,sc01,t0017, 0.261273248372631 , 0.261273248372631 ,,
period1,sc01,t0018, 0.347846130858087 , 0.347846130858087 ,,
period1,sc01,t0019, 0.3543883799973 , 0.3543883799973 ,,
period1,sc01,t0020, 0.324378480169251 , 0.324378480169251 ,,
period1,sc01,t0021, 0.325796283726153 , 0.325796283726153 ,,
period1,sc01,t0022, 0.323948845151577 , 0.323948845151577 ,,
period1,sc01,t0023, 0.335904990091296 , 0.335904990091296 ,,
period1,sc01,t0024, 0.224441693634726 , 0.224441693634726 ,,
period1,sc01,t0025, 0.263880705391494 , 0.263880705391494 ,,
period1,sc01,t0026, 0.159011656075069 , 0.159011656075069 ,,
period1,sc01,t0027, 0.207743729550724 , 0.207743729550724 ,,
period1,sc01,t0028, 0.137999402472319 , 0.137999402472319 ,,
period1,sc01,t0029, 0.180913329853782 , 0.180913329853782 ,,
period1,sc01,t0030, 0.180702138428265 , 0.180702138428265 ,,
period1,sc01,t0031, 0.219109767527936 , 0.219109767527936 ,,
period1,sc01,t0032, 0.179743409260157 , 0.179743409260157 ,,
period1,sc01,t0033, 0.172113648415843 , 0.172113648415843 ,,
period1,sc01,t0034, 0.128558342577294 , 0.128558342577294 ,,
period1,sc01,t0035, 0.108803398923614 , 0.108803398923614 ,,
period1,sc01,t0036, 0.112638756275717 , 0.112638756275717 ,,
period1,sc01,t0037, 0.3083822308026 , 0.3083822308026 ,,
period1,sc01,t0038, 0.128946089730062 , 0.128946089730062 ,,
period1,sc01,t0039, 0.178585496189974 , 0.178585496189974 ,,
period1,sc01,t0040, 0.411646030646004 , 0.411646030646004 ,,
period1,sc01,t0041, 0.389442433953099 , 0.389442433953099 ,,
period1,sc01,t0042, 0.464418582899601 , 0.464418582899601 ,,
period1,sc01,t0043, 0.50534116319382 , 0.50534116319382 ,,
period1,sc01,t0044, 0.469118743627338 , 0.469118743627338 ,,
period1,sc01,t0045, 0.520052394759978 , 0.520052394759978 ,,
period1,sc01,t0046, 0.292155462343769 , 0.292155462343769 ,,
period1,sc01,t0047, 0.306923233157868 , 0.306923233157868 ,,
period1,sc01,t0048, 0.351350016674301 , 0.351350016674301 ,,
period1,sc01,t0049, 0.241490999454744 , 0.241490999454744 ,,
period1,sc01,t0050, 0.274460385350407 , 0.274460385350407 ,,
period1,sc01,t0051, 9.28202295768393E-02 , 9.28202295768393E-02 ,,
period1,sc01,t0052, 0.202622737454263 , 0.202622737454263 ,,
period1,sc01,t0053, 0.121132797332874 , 0.121132797332874 ,,
period1,sc01,t0054, 0.182646183109124 , 0.182646183109124 ,,
period1,sc01,t0055, 0.119965614526526 , 0.119965614526526 ,,
period1,sc01,t0056, 0.155947263610521 , 0.155947263610521 ,,
period1,sc01,t0057, 0.247939277122117 , 0.247939277122117 ,,
period1,sc01,t0058, 0.329721349989723 , 0.329721349989723 ,,
period1,sc01,t0059, 0.293967392477186 , 0.293967392477186 ,,
period1,sc01,t0060, 0.193602876895036 , 0.193602876895036 ,,
period1,sc01,t0061, 0.177817260463742 , 0.177817260463742 ,,
period1,sc01,t0062, 0.224271216583481 , 0.224271216583481 ,,
period1,sc01,t0063, 0.409198972924656 , 0.409198972924656 ,,
period1,sc01,t0064, 0.351250262598567 , 0.351250262598567 ,,
period1,sc01,t0065, 0.292276168857155 , 0.292276168857155 ,,
period1,sc01,t0066, 0.353352970759464 , 0.353352970759464 ,,
period1,sc01,t0067, 0.375316287581466 , 0.375316287581466 ,,
period1,sc01,t0068, 0.266496642319353 , 0.266496642319353 ,,
period1,sc01,t0069, 0.182550790209521 , 0.182550790209521 ,,
period1,sc01,t0070, 0.294834085649071 , 0.294834085649071 ,,
