,,,EleR_01,HydR_01
period1,sc01,t0001, 0.15041 ,
period1,sc01,t0002, 0.1472 ,
period1,sc01,t0003, 0.14445 ,
period1,sc01,t0004, 0.14289 ,
period1,sc01,t0005, 0.14197 ,
period1,sc01,t0006, 0.14454 ,
period1,sc01,t0007, 0.14096 ,
period1,sc01,t0008, 0.14105 ,
period1,sc01,t0009, 0.1394 ,
period1,sc01,t0010, 0.14123 ,
period1,sc01,t0011, 0.14481 ,
period1,sc01,t0012, 0.14821 ,
period1,sc01,t0013, 0.15142 ,
period1,sc01,t0014, 0.15344 ,
period1,sc01,t0015, 0.15757 ,
period1,sc01,t0016, 0.16519 ,
period1,sc01,t0017, 0.17005 ,
period1,sc01,t0018, 0.17537 ,
period1,sc01,t0019, 0.17143 ,
period1,sc01,t0020, 0.16454 ,
period1,sc01,t0021, 0.16234 ,
period1,sc01,t0022, 0.15904 ,
period1,sc01,t0023, 0.15371 ,
period1,sc01,t0024, 0.14913 ,
period1,sc01,t0025, 0.15139 ,
period1,sc01,t0026, 0.14606 ,
period1,sc01,t0027, 0.13816 ,
period1,sc01,t0028, 0.12124 ,
period1,sc01,t0029, 0.11665 ,
period1,sc01,t0030, 0.11894 ,
period1,sc01,t0031, 0.12492 ,
period1,sc01,t0032, 0.13099 ,
period1,sc01,t0033, 0.14431 ,
period1,sc01,t0034, 0.1445 ,
period1,sc01,t0035, 0.1468 ,
period1,sc01,t0036, 0.14836 ,
period1,sc01,t0037, 0.14588 ,
period1,sc01,t0038, 0.14689 ,
period1,sc01,t0039, 0.14818 ,
period1,sc01,t0040, 0.15231 ,
period1,sc01,t0041, 0.15893 ,
period1,sc01,t0042, 0.16104 ,
period1,sc01,t0043, 0.15967 ,
period1,sc01,t0044, 0.1558 ,
period1,sc01,t0045, 0.15222 ,
period1,sc01,t0046, 0.14551 ,
period1,sc01,t0047, 0.14542 ,
period1,sc01,t0048, 0.14073 ,
period1,sc01,t0049, 0.14698 ,
period1,sc01,t0050, 0.14588 ,
period1,sc01,t0051, 0.14487 ,
period1,sc01,t0052, 0.1433 ,
period1,sc01,t0053, 0.14422 ,
period1,sc01,t0054, 0.14551 ,
period1,sc01,t0055, 0.1377 ,
period1,sc01,t0056, 0.14275 ,
period1,sc01,t0057, 0.14514 ,
period1,sc01,t0058, 0.15038 ,
period1,sc01,t0059, 0.15764 ,
period1,sc01,t0060, 0.1649 ,
period1,sc01,t0061, 0.1649 ,
period1,sc01,t0062, 0.16233 ,
period1,sc01,t0063, 0.16233 ,
period1,sc01,t0064, 0.16178 ,
period1,sc01,t0065, 0.17106 ,
period1,sc01,t0066, 0.17566 ,
period1,sc01,t0067, 0.17336 ,
period1,sc01,t0068, 0.17014 ,
period1,sc01,t0069, 0.16619 ,
period1,sc01,t0070, 0.16288 ,
period1,sc01,t0071, 0.15654 ,
period1,sc01,t0072, 0.14468 ,
period1,sc01,t0073, 0.1467 ,
period1,sc01,t0074, 0.14533 ,
period1,sc01,t0075, 0.14303 ,
period1,sc01,t0076, 0.14312 ,
period1,sc01,t0077, 0.14634 ,
period1,sc01,t0078, 0.15406 ,
period1,sc01,t0079, 0.16555 ,
period1,sc01,t0080, 0.17961 ,
period1,sc01,t0081, 0.18834 ,
period1,sc01,t0082, 0.18834 ,
period1,sc01,t0083, 0.18816 ,
period1,sc01,t0084, 0.18513 ,
period1,sc01,t0085, 0.18246 ,
period1,sc01,t0086, 0.18228 ,
period1,sc01,t0087, 0.18274 ,
period1,sc01,t0088, 0.18467 ,
period1,sc01,t0089, 0.20278 ,
period1,sc01,t0090, 0.26179 ,
period1,sc01,t0091, 0.1888 ,
period1,sc01,t0092, 0.18173 ,
period1,sc01,t0093, 0.17511 ,
period1,sc01,t0094, 0.17005 ,
period1,sc01,t0095, 0.16279 ,
period1,sc01,t0096, 0.15654 ,
period1,sc01,t0097, 0.16213 ,
period1,sc01,t0098, 0.15892 ,
period1,sc01,t0099, 0.15809 ,
period1,sc01,t0100, 0.15883 ,
period1,sc01,t0101, 0.161979833 ,
period1,sc01,t0102, 0.1644645 ,
period1,sc01,t0103, 0.172661333 ,
period1,sc01,t0104, 0.188396333 ,
period1,sc01,t0105, 0.207144 ,
period1,sc01,t0106, 0.212112333 ,
period1,sc01,t0107, 0.212641333 ,
period1,sc01,t0108, 0.200825167 ,
period1,sc01,t0109, 0.195182667 ,
period1,sc01,t0110, 0.192397667 ,
period1,sc01,t0111, 0.193177 ,
period1,sc01,t0112, 0.213663667 ,
period1,sc01,t0113, 0.284647833 ,
period1,sc01,t0114, 0.315962833 ,
period1,sc01,t0115, 0.221218 ,
period1,sc01,t0116, 0.190866333 ,
period1,sc01,t0117, 0.182313667 ,
period1,sc01,t0118, 0.177709167 ,
period1,sc01,t0119, 0.171643833 ,
period1,sc01,t0120, 0.1651195 ,
period1,sc01,t0121, 0.184500167 ,
period1,sc01,t0122, 0.180923833 ,
period1,sc01,t0123, 0.178203167 ,
period1,sc01,t0124, 0.1784145 ,
period1,sc01,t0125, 0.179906167 ,
period1,sc01,t0126, 0.182736 ,
period1,sc01,t0127, 0.189229667 ,
period1,sc01,t0128, 0.203851 ,
period1,sc01,t0129, 0.2326985 ,
period1,sc01,t0130, 0.261374167 ,
period1,sc01,t0131, 0.322847833 ,
period1,sc01,t0132, 0.349770833 ,
period1,sc01,t0133, 0.344393333 ,
period1,sc01,t0134, 0.336456 ,
period1,sc01,t0135, 0.275236333 ,
period1,sc01,t0136, 0.333055167 ,
period1,sc01,t0137, 0.381123833 ,
period1,sc01,t0138, 0.414622 ,
period1,sc01,t0139, 0.4277615 ,
period1,sc01,t0140, 0.392631333 ,
period1,sc01,t0141, 0.228848167 ,
period1,sc01,t0142, 0.203125667 ,
period1,sc01,t0143, 0.188541 ,
period1,sc01,t0144, 0.1790735 ,
period1,sc01,t0145, 0.208647667 ,
period1,sc01,t0146, 0.2008015 ,
period1,sc01,t0147, 0.198533167 ,
period1,sc01,t0148, 0.198767667 ,
period1,sc01,t0149, 0.201944667 ,
period1,sc01,t0150, 0.223901667 ,
period1,sc01,t0151, 0.256914833 ,
period1,sc01,t0152, 0.671508333 ,
period1,sc01,t0153, 0.919621333 ,
period1,sc01,t0154, 0.734308167 ,
period1,sc01,t0155, 0.689636167 ,
period1,sc01,t0156, 0.566465333 ,
period1,sc01,t0157, 0.5535085 ,
period1,sc01,t0158, 0.570787667 ,
period1,sc01,t0159, 0.552061833 ,
period1,sc01,t0160, 0.609402667 ,
period1,sc01,t0161, 0.922488333 ,
period1,sc01,t0162, 0.896893 ,
period1,sc01,t0163, 0.640691333 ,
period1,sc01,t0164, 0.342602 ,
period1,sc01,t0165, 0.293995833 ,
period1,sc01,t0166, 0.238215167 ,
period1,sc01,t0167, 0.1987915 ,
period1,sc01,t0168, 0.187221 ,
period1,sc01,t0169, 0.195400833 ,
period1,sc01,t0170, 0.187131167 ,
period1,sc01,t0171, 0.183672333 ,
period1,sc01,t0172, 0.184448 ,
period1,sc01,t0173, 0.187366667 ,
period1,sc01,t0174, 0.192679667 ,
period1,sc01,t0175, 0.205681 ,
period1,sc01,t0176, 0.279770333 ,
period1,sc01,t0177, 0.400825167 ,
period1,sc01,t0178, 0.405806667 ,
period1,sc01,t0179, 0.402247167 ,
period1,sc01,t0180, 0.342355833 ,
period1,sc01,t0181, 0.298780333 ,
period1,sc01,t0182, 0.248777 ,
period1,sc01,t0183, 0.256963333 ,
period1,sc01,t0184, 0.298796833 ,
period1,sc01,t0185, 0.354732 ,
period1,sc01,t0186, 0.428725333 ,
period1,sc01,t0187, 0.435055333 ,
period1,sc01,t0188, 0.370457333 ,
period1,sc01,t0189, 0.264741333 ,
period1,sc01,t0190, 0.232840833 ,
period1,sc01,t0191, 0.225553167 ,
period1,sc01,t0192, 0.210675167 ,
period1,sc01,t0193, 0.226745 ,
period1,sc01,t0194, 0.216909667 ,
period1,sc01,t0195, 0.210943667 ,
period1,sc01,t0196, 0.208128333 ,
period1,sc01,t0197, 0.203354667 ,
period1,sc01,t0198, 0.206011667 ,
period1,sc01,t0199, 0.2073795 ,
period1,sc01,t0200, 0.212811167 ,
period1,sc01,t0201, 0.221845667 ,
period1,sc01,t0202, 0.228946167 ,
period1,sc01,t0203, 0.245308 ,
period1,sc01,t0204, 0.249225833 ,
period1,sc01,t0205, 0.243515667 ,
period1,sc01,t0206, 0.2343375 ,
period1,sc01,t0207, 0.2302575 ,
period1,sc01,t0208, 0.242471667 ,
period1,sc01,t0209, 0.276586667 ,
period1,sc01,t0210, 0.332940167 ,
period1,sc01,t0211, 0.25752 ,
period1,sc01,t0212, 0.227788667 ,
period1,sc01,t0213, 0.2140535 ,
period1,sc01,t0214, 0.208872833 ,
period1,sc01,t0215, 0.204195167 ,
period1,sc01,t0216, 0.196843833 ,
period1,sc01,t0217, 0.197445333 ,
period1,sc01,t0218, 0.184736667 ,
period1,sc01,t0219, 0.182146 ,
period1,sc01,t0220, 0.180112167 ,
period1,sc01,t0221, 0.178491667 ,
period1,sc01,t0222, 0.179760667 ,
period1,sc01,t0223, 0.179247167 ,
period1,sc01,t0224, 0.181427667 ,
period1,sc01,t0225, 0.180802 ,
period1,sc01,t0226, 0.1869435 ,
period1,sc01,t0227, 0.194329 ,
period1,sc01,t0228, 0.200207 ,
period1,sc01,t0229, 0.202312833 ,
period1,sc01,t0230, 0.197743 ,
period1,sc01,t0231, 0.196857333 ,
period1,sc01,t0232, 0.204079833 ,
period1,sc01,t0233, 0.222054333 ,
period1,sc01,t0234, 0.238700167 ,
period1,sc01,t0235, 0.230950333 ,
period1,sc01,t0236, 0.225575 ,
period1,sc01,t0237, 0.220444167 ,
period1,sc01,t0238, 0.213501833 ,
period1,sc01,t0239, 0.2070195 ,
period1,sc01,t0240, 0.201040667 ,
period1,sc01,t0241, 0.1979245 ,
period1,sc01,t0242, 0.185759833 ,
period1,sc01,t0243, 0.183325 ,
period1,sc01,t0244, 0.1795395 ,
period1,sc01,t0245, 0.1827505 ,
period1,sc01,t0246, 0.200304167 ,
period1,sc01,t0247, 0.2272185 ,
period1,sc01,t0248, 0.374323 ,
period1,sc01,t0249, 0.425531833 ,
period1,sc01,t0250, 0.407621667 ,
period1,sc01,t0251, 0.388636 ,
period1,sc01,t0252, 0.376706667 ,
period1,sc01,t0253, 0.382966 ,
period1,sc01,t0254, 0.380575167 ,
period1,sc01,t0255, 0.3577 ,
period1,sc01,t0256, 0.347739667 ,
period1,sc01,t0257, 0.352891333 ,
period1,sc01,t0258, 0.414050333 ,
period1,sc01,t0259, 0.396907167 ,
period1,sc01,t0260, 0.3573035 ,
period1,sc01,t0261, 0.258016 ,
period1,sc01,t0262, 0.235579167 ,
period1,sc01,t0263, 0.213488333 ,
period1,sc01,t0264, 0.200912833 ,
period1,sc01,t0265, 0.195569167 ,
period1,sc01,t0266, 0.183610167 ,
period1,sc01,t0267, 0.177023333 ,
period1,sc01,t0268, 0.170821333 ,
period1,sc01,t0269, 0.176505167 ,
period1,sc01,t0270, 0.194232167 ,
period1,sc01,t0271, 0.214480167 ,
period1,sc01,t0272, 0.323195667 ,
period1,sc01,t0273, 0.366827167 ,
period1,sc01,t0274, 0.379868333 ,
period1,sc01,t0275, 0.35819 ,
period1,sc01,t0276, 0.337904333 ,
period1,sc01,t0277, 0.324327167 ,
period1,sc01,t0278, 0.308651667 ,
period1,sc01,t0279, 0.298842 ,
period1,sc01,t0280, 0.308244167 ,
period1,sc01,t0281, 0.439636333 ,
period1,sc01,t0282, 0.5166525 ,
period1,sc01,t0283, 0.3723755 ,
period1,sc01,t0284, 0.274787333 ,
period1,sc01,t0285, 0.2413905 ,
period1,sc01,t0286, 0.229394333 ,
period1,sc01,t0287, 0.215803333 ,
period1,sc01,t0288, 0.199395 ,
period1,sc01,t0289, 0.194173167 ,
period1,sc01,t0290, 0.181825 ,
period1,sc01,t0291, 0.173260833 ,
period1,sc01,t0292, 0.172820167 ,
period1,sc01,t0293, 0.179043167 ,
period1,sc01,t0294, 0.197856333 ,
period1,sc01,t0295, 0.218314 ,
period1,sc01,t0296, 0.254979667 ,
period1,sc01,t0297, 0.280978667 ,
period1,sc01,t0298, 0.284551 ,
period1,sc01,t0299, 0.2914255 ,
period1,sc01,t0300, 0.310696333 ,
period1,sc01,t0301, 0.3146255 ,
period1,sc01,t0302, 0.315529167 ,
period1,sc01,t0303, 0.316360167 ,
period1,sc01,t0304, 0.409062333 ,
period1,sc01,t0305, 0.763575167 ,
period1,sc01,t0306, 0.918777833 ,
period1,sc01,t0307, 0.551371167 ,
period1,sc01,t0308, 0.3582645 ,
period1,sc01,t0309, 0.273751167 ,
period1,sc01,t0310, 0.249391 ,
period1,sc01,t0311, 0.234909 ,
period1,sc01,t0312, 0.212518833 ,
period1,sc01,t0313, 0.2176165 ,
period1,sc01,t0314, 0.209094333 ,
period1,sc01,t0315, 0.205780667 ,
period1,sc01,t0316, 0.204127167 ,
period1,sc01,t0317, 0.2088915 ,
period1,sc01,t0318, 0.222199 ,
period1,sc01,t0319, 0.277383833 ,
period1,sc01,t0320, 0.650426833 ,
period1,sc01,t0321, 0.817874 ,
period1,sc01,t0322, 0.645043833 ,
period1,sc01,t0323, 0.459491 ,
period1,sc01,t0324, 0.4650725 ,
period1,sc01,t0325, 0.548411 ,
period1,sc01,t0326, 0.617176 ,
period1,sc01,t0327, 0.5640805 ,
period1,sc01,t0328, 0.623309 ,
period1,sc01,t0329, 1.230290333 ,
period1,sc01,t0330, 1.429765 ,
period1,sc01,t0331, 1.109482833 ,
period1,sc01,t0332, 0.571588667 ,
period1,sc01,t0333, 0.362646 ,
period1,sc01,t0334, 0.292154 ,
period1,sc01,t0335, 0.2542625 ,
