,,,EleD_01,HydD1,EleD_02
period1,sc01,t0001, 7.35 ,, 1.95 
period1,sc01,t0002, 7.28 ,, 1.7 
period1,sc01,t0003, 7.35 ,, 1.68 
period1,sc01,t0004, 7.63 ,, 1.99 
period1,sc01,t0005, 7.22 ,, 1.74 
period1,sc01,t0006, 7.3 ,, 1.77 
period1,sc01,t0007, 7.19 ,, 2.28 
period1,sc01,t0008, 7.42 ,, 1.89 
period1,sc01,t0009, 7.08 ,, 2.18 
period1,sc01,t0010, 7.32 ,, 2.24 
period1,sc01,t0011, 4.96 ,, 2.48 
period1,sc01,t0012, 6.78 ,, 2.17 
period1,sc01,t0013, 5.45 ,, 3.7 
period1,sc01,t0014, 6.95 ,, 2.61 
period1,sc01,t0015, 7.07 ,, 2.06 
period1,sc01,t0016, 7.45 ,, 2.11 
period1,sc01,t0017, 5.95 ,, 2.13 
period1,sc01,t0018, 8.37 ,, 2.7 
period1,sc01,t0019, 9.23 ,, 2.41 
period1,sc01,t0020, 7.48 ,, 2.37 
period1,sc01,t0021, 7.37 ,, 2.62 
period1,sc01,t0022, 5.74 ,, 2.48 
period1,sc01,t0023, 6.94 ,, 1.81 
period1,sc01,t0024, 6.84 ,, 1.75 
period1,sc01,t0025, 5.89 ,, 2.24 
period1,sc01,t0026, 4.24 ,, 1.83 
period1,sc01,t0027, 8.73 ,, 1.72 
period1,sc01,t0028, 6.69 ,, 1.76 
period1,sc01,t0029, 6.82 ,, 2.06 
period1,sc01,t0030, 5.24 ,, 1.72 
period1,sc01,t0031, 4.2 ,, 1.72 
period1,sc01,t0032, 8.98 ,, 2.37 
period1,sc01,t0033, 7.5 ,, 1.99 
period1,sc01,t0034, 7.19 ,, 2.2 
period1,sc01,t0035, 7.23 ,, 3.46 
period1,sc01,t0036, 5.51 ,, 3.71 
period1,sc01,t0037, 5.05 ,, 2.06 
period1,sc01,t0038, 6.95 ,, 1.89 
period1,sc01,t0039, 6.82 ,, 1.66 
period1,sc01,t0040, 6.82 ,, 1.56 
period1,sc01,t0041, 8.22 ,, 1.58 
period1,sc01,t0042, 8.34 ,, 3.38 
period1,sc01,t0043, 7.37 ,, 2.72 
period1,sc01,t0044, 6.93 ,, 2.44 
period1,sc01,t0045, 7.39 ,, 2.12 
period1,sc01,t0046, 7.51 ,, 2.45 
period1,sc01,t0047, 4.81 ,, 2.82 
period1,sc01,t0048, 3.98 ,, 2 
period1,sc01,t0049, 6.24 ,, 1.81 
period1,sc01,t0050, 6.2 ,, 2.16 
period1,sc01,t0051, 0.15 ,, 1.76 
period1,sc01,t0052, 0.16 ,, 1.72 
period1,sc01,t0053, 1.42 ,, 2.06 
period1,sc01,t0054, 6.77 ,, 1.69 
period1,sc01,t0055, 9.39 ,, 1.93 
period1,sc01,t0056, 6.57 ,, 2.41 
period1,sc01,t0057, 3.89 ,, 2.13 
period1,sc01,t0058, 6.56 ,, 2.2 
period1,sc01,t0059, 4.6 ,, 2.09 
period1,sc01,t0060, 5.54 ,, 2.26 
period1,sc01,t0061, 4.57 ,, 2.02 
period1,sc01,t0062, 4.32 ,, 2.1 
period1,sc01,t0063, 6.42 ,, 2.16 
period1,sc01,t0064, 5.35 ,, 5.18 
period1,sc01,t0065, 5.2 ,, 5.06 
period1,sc01,t0066, 5.1 ,, 3.45 
period1,sc01,t0067, 4.89 ,, 1.57 
period1,sc01,t0068, 8.87 ,, 1.76 
period1,sc01,t0069, 10.83 ,, 2.09 
period1,sc01,t0070, 9.49 ,, 1.62 
period1,sc01,t0071, 10.23 ,, 1.52 
period1,sc01,t0072, 6 ,, 1.92 
period1,sc01,t0073, 4.26 ,, 1.49 
period1,sc01,t0074, 4.28 ,, 1.6 
period1,sc01,t0075, 5.46 ,, 1.89 
period1,sc01,t0076, 2.93 ,, 1.68 
period1,sc01,t0077, 4.06 ,, 2.49 
period1,sc01,t0078, 4.13 ,, 2.82 
period1,sc01,t0079, 4.03 ,, 2.98 
period1,sc01,t0080, 4.39 ,, 1.6 
period1,sc01,t0081, 4 ,, 1.58 
period1,sc01,t0082, 4.12 ,, 1.89 
period1,sc01,t0083, 5.02 ,, 1.4 
period1,sc01,t0084, 4.05 ,, 1.36 
period1,sc01,t0085, 4.46 ,, 1.74 
period1,sc01,t0086, 4.17 ,, 1.43 
period1,sc01,t0087, 4.1 ,, 1.4 
period1,sc01,t0088, 3.45 ,, 1.92 
period1,sc01,t0089, 5.39 ,, 1.46 
period1,sc01,t0090, 5.19 ,, 1.61 
period1,sc01,t0091, 6.36 ,, 2.78 
period1,sc01,t0092, 5.08 ,, 4.43 
period1,sc01,t0093, 4.45 ,, 4.19 
period1,sc01,t0094, 4.26 ,, 1.43 
period1,sc01,t0095, 3.93 ,, 1.65 
period1,sc01,t0096, 8.27 ,, 1.44 
period1,sc01,t0097, 4.86 ,, 1.41 
period1,sc01,t0098, 4.1 ,, 1.84 
period1,sc01,t0099, 5.43 ,, 1.48 
period1,sc01,t0100, 4.65 ,, 1.43 
period1,sc01,t0101, 3.95 ,, 1.75 
period1,sc01,t0102, 6.82 ,, 1.43 
period1,sc01,t0103, 7.8 ,, 2.1 
period1,sc01,t0104, 7.87 ,, 1.42 
period1,sc01,t0105, 6.25 ,, 1.84 
period1,sc01,t0106, 9.2 ,, 1.4 
period1,sc01,t0107, 4.69 ,, 1.36 
period1,sc01,t0108, 4.42 ,, 1.21 
period1,sc01,t0109, 3.92 ,, 1.54 
period1,sc01,t0110, 4.03 ,, 1.98 
period1,sc01,t0111, 4.04 ,, 1.51 
period1,sc01,t0112, 3.08 ,, 1.28 
period1,sc01,t0113, 4.05 ,, 1.62 
period1,sc01,t0114, 4.01 ,, 3.39 
period1,sc01,t0115, 5.49 ,, 4.34 
period1,sc01,t0116, 8.89 ,, 3.72 
period1,sc01,t0117, 9.51 ,, 1.94 
period1,sc01,t0118, 10 ,, 1.42 
period1,sc01,t0119, 7.06 ,, 1.68 
period1,sc01,t0120, 5.74 ,, 1.22 
period1,sc01,t0121, 6.4 ,, 1.41 
period1,sc01,t0122, 5.86 ,, 1.26 
period1,sc01,t0123, 6.44 ,, 1.2 
period1,sc01,t0124, 7.67 ,, 1.61 
period1,sc01,t0125, 8.06 ,, 1.74 
period1,sc01,t0126, 7.75 ,, 2.42 
period1,sc01,t0127, 8.33 ,, 2.28 
period1,sc01,t0128, 8.55 ,, 1.4 
period1,sc01,t0129, 8.71 ,, 1.26 
period1,sc01,t0130, 7.51 ,, 1.1 
period1,sc01,t0131, 11.38 ,, 1.24 
period1,sc01,t0132, 5.55 ,, 0.77 
period1,sc01,t0133, 4.45 ,, 0.74 
period1,sc01,t0134, 6.19 ,, 0.94 
period1,sc01,t0135, 8.99 ,, 0.77 
period1,sc01,t0136, 12.6 ,, 0.76 
period1,sc01,t0137, 10.09 ,, 0.88 
period1,sc01,t0138, 11.86 ,, 2.4 
period1,sc01,t0139, 9.97 ,, 4.02 
period1,sc01,t0140, 10.16 ,, 1.64 
period1,sc01,t0141, 9.3 ,, 1.08 
period1,sc01,t0142, 9.45 ,, 1.46 
period1,sc01,t0143, 7.74 ,, 1.11 
period1,sc01,t0144, 8.75 ,, 1.46 
period1,sc01,t0145, 9.11 ,, 1.14 
period1,sc01,t0146, 8.12 ,, 1.17 
period1,sc01,t0147, 8.07 ,, 1.46 
period1,sc01,t0148, 9.05 ,, 1.42 
period1,sc01,t0149, 8.82 ,, 2.23 
period1,sc01,t0150, 7.07 ,, 2.55 
period1,sc01,t0151, 8.52 ,, 3 
period1,sc01,t0152, 13.44 ,, 1.51 
period1,sc01,t0153, 11.84 ,, 1.68 
period1,sc01,t0154, 8.66 ,, 1.26 
period1,sc01,t0155, 5.45 ,, 1.5 
period1,sc01,t0156, 4.69 ,, 1.04 
period1,sc01,t0157, 6.05 ,, 0.97 
