,,,FCRD_Up,FCRD_Down,FCRN_Up,FCRN_Down
period1,sc01,t0001, 0 , 0 ,,
period1,sc01,t0002, 1.19248076442297E-04 , 0 ,,
period1,sc01,t0003, 1.04601636879903E-04 , 0 ,,
period1,sc01,t0004, 0 , 1.70481375517035E-06 ,,
period1,sc01,t0005, 0 , 0 ,,
period1,sc01,t0006, 3.4829999999994E-04 , 0 ,,
period1,sc01,t0007, 0 , 0 ,,
period1,sc01,t0008, 0 , 0 ,,
period1,sc01,t0009, 0 , 0 ,,
period1,sc01,t0010, 0 , 0 ,,
period1,sc01,t0011, 0 , 0 ,,
period1,sc01,t0012, 0 , 3.6272916666655E-05 ,,
period1,sc01,t0013, 0 , 0 ,,
period1,sc01,t0014, 7.63124999999925E-04 , 0 ,,
period1,sc01,t0015, 5.51184386120921E-05 , 0 ,,
period1,sc01,t0016, 0 , 3.01111111110715E-06 ,,
period1,sc01,t0017, 6.51539583333289E-04 , 0 ,,
period1,sc01,t0018, 0 , 0 ,,
period1,sc01,t0019, 0 , 0 ,,
period1,sc01,t0020, 0 , 2.36303472222169E-04 ,,
period1,sc01,t0021, 0 , 1.15220902777764E-03 ,,
period1,sc01,t0022, 4.19138888888786E-05 , 0 ,,
period1,sc01,t0023, 0 , 0 ,,
period1,sc01,t0024, 1.5663680555553E-04 , 0 ,,
period1,sc01,t0025, 0 , 5.90465277777626E-05 ,,
period1,sc01,t0026, 0 , 0 ,,
period1,sc01,t0027, 0 , 0 ,,
period1,sc01,t0028, 0 , 0 ,,
period1,sc01,t0029, 0 , 0 ,,
period1,sc01,t0030, 0 , 0 ,,
period1,sc01,t0031, 0 , 0 ,,
period1,sc01,t0032, 1.58862222222206E-03 , 0 ,,
period1,sc01,t0033, 0 , 3.32029166666653E-03 ,,
period1,sc01,t0034, 0 , 0 ,,
period1,sc01,t0035, 2.5372499999995E-04 , 0 ,,
period1,sc01,t0036, 6.47907499999963E-03 , 0 ,,
period1,sc01,t0037, 0 , 0 ,,
period1,sc01,t0038, 0 , 0 ,,
period1,sc01,t0039, 0 , 0 ,,
period1,sc01,t0040, 0 , 0 ,,
period1,sc01,t0041, 0 , 0 ,,
period1,sc01,t0042, 0 , 0 ,,
period1,sc01,t0043, 0 , 0 ,,
period1,sc01,t0044, 0 , 8.04522916666571E-04 ,,
period1,sc01,t0045, 0 , 0 ,,
period1,sc01,t0046, 1.64444444444041E-06 , 0 ,,
period1,sc01,t0047, 1.1395541666665E-03 , 0 ,,
period1,sc01,t0048, 0 , 1.1878958333329E-04 ,,
period1,sc01,t0049, 1.39983958333323E-03 , 0 ,,
period1,sc01,t0050, 0 , 6.97916666663683E-07 ,,
period1,sc01,t0051, 0 , 3.41041145398894E-05 ,,
period1,sc01,t0052, 5.17444444444369E-04 , 0 ,,
period1,sc01,t0053, 0 , 0 ,,
period1,sc01,t0054, 0 , 0 ,,
period1,sc01,t0055, 0 , 0 ,,
period1,sc01,t0056, 0 , 7.44131944444278E-05 ,,
period1,sc01,t0057, 1.10449999999985E-04 , 0 ,,
period1,sc01,t0058, 0 , 0 ,,
period1,sc01,t0059, 0 , 0 ,,
period1,sc01,t0060, 0 , 0 ,,
period1,sc01,t0061, 0 , 2.26527777777294E-06 ,,
period1,sc01,t0062, 7.96027777777672E-05 , 0 ,,
period1,sc01,t0063, 0 , 0 ,,
period1,sc01,t0064, 0 , 0 ,,
period1,sc01,t0065, 0 , 0 ,,
period1,sc01,t0066, 3.28355555555538E-04 , 0 ,,
period1,sc01,t0067, 0 , 0 ,,
period1,sc01,t0068, 0 , 0 ,,
period1,sc01,t0069, 0 , 0 ,,
period1,sc01,t0070, 0 , 0 ,,
period1,sc01,t0071, 0 , 0 ,,
period1,sc01,t0072, 0 , 2.22408333333305E-04 ,,
period1,sc01,t0073, 0 , 8.64236111111033E-06 ,,
period1,sc01,t0074, 0 , 0 ,,
period1,sc01,t0075, 0 , 0 ,,
period1,sc01,t0076, 0 , 0 ,,
period1,sc01,t0077, 0 , 0 ,,
period1,sc01,t0078, 0 , 4.7361111110749E-07 ,,
period1,sc01,t0079, 2.10624999999699E-06 , 0 ,,
period1,sc01,t0080, 1.83012499999994E-04 , 0 ,,
period1,sc01,t0081, 1.26594097222208E-03 , 0 ,,
period1,sc01,t0082, 0 , 0 ,,
period1,sc01,t0083, 0 , 0 ,,
period1,sc01,t0084, 0 , 0 ,,
period1,sc01,t0085, 0 , 0 ,,
period1,sc01,t0086, 0 , 0 ,,
period1,sc01,t0087, 0 , 0 ,,
period1,sc01,t0088, 0 , 0 ,,
period1,sc01,t0089, 0 , 0 ,,
period1,sc01,t0090, 0 , 0 ,,
period1,sc01,t0091, 0 , 0 ,,
period1,sc01,t0092, 0 , 0 ,,
period1,sc01,t0093, 0 , 0 ,,
period1,sc01,t0094, 0 , 0 ,,
period1,sc01,t0095, 0 , 0 ,,
period1,sc01,t0096, 0 , 0 ,,
period1,sc01,t0097, 0 , 0 ,,
period1,sc01,t0098, 4.056627376848E-04 , 0 ,,
period1,sc01,t0099, 0 , 2.0395833333326E-05 ,,
period1,sc01,t0100, 0 , 0 ,,
period1,sc01,t0101, 0 , 0 ,,
period1,sc01,t0102, 0 , 0 ,,
period1,sc01,t0103, 0 , 0 ,,
period1,sc01,t0104, 0 , 0 ,,
period1,sc01,t0105, 0 , 0 ,,
period1,sc01,t0106, 0 , 0 ,,
period1,sc01,t0107, 0 , 0 ,,
period1,sc01,t0108, 6.07263888888651E-05 , 0 ,,
period1,sc01,t0109, 0 , 0 ,,
period1,sc01,t0110, 0 , 6.02083333333183E-05 ,,
period1,sc01,t0111, 0 , 0 ,,
period1,sc01,t0112, 0 , 0 ,,
period1,sc01,t0113, 0 , 0 ,,
period1,sc01,t0114, 0 , 0 ,,
period1,sc01,t0115, 0 , 0 ,,
period1,sc01,t0116, 0 , 0 ,,
period1,sc01,t0117, 0 , 0 ,,
period1,sc01,t0118, 0 , 0 ,,
period1,sc01,t0119, 0 , 0 ,,
period1,sc01,t0120, 0 , 0 ,,
period1,sc01,t0121, 0 , 0 ,,
period1,sc01,t0122, 8.79689063020856E-04 , 0 ,,
period1,sc01,t0123, 0 , 0 ,,
period1,sc01,t0124, 0 , 0 ,,
period1,sc01,t0125, 0 , 0 ,,
period1,sc01,t0126, 0 , 0 ,,
period1,sc01,t0127, 0 , 0 ,,
period1,sc01,t0128, 0 , 0 ,,
period1,sc01,t0129, 0 , 0 ,,
period1,sc01,t0130, 0 , 0 ,,
period1,sc01,t0131, 0 , 0 ,,
period1,sc01,t0132, 0 , 0 ,,
period1,sc01,t0133, 2.93749999998501E-07 , 0 ,,
period1,sc01,t0134, 0 , 0 ,,
period1,sc01,t0135, 0 , 0 ,,
period1,sc01,t0136, 0 , 0 ,,
period1,sc01,t0137, 0 , 0 ,,
period1,sc01,t0138, 0 , 0 ,,
period1,sc01,t0139, 0 , 0 ,,
period1,sc01,t0140, 0 , 0 ,,
period1,sc01,t0141, 0 , 4.54022222222143E-04 ,,
period1,sc01,t0142, 0 , 0 ,,
period1,sc01,t0143, 0 , 0 ,,
period1,sc01,t0144, 0 , 0 ,,
period1,sc01,t0145, 0 , 0 ,,
period1,sc01,t0146, 1.8252083333331E-03 , 0 ,,
period1,sc01,t0147, 0 , 0 ,,
period1,sc01,t0148, 0 , 0 ,,
