,,,FCRD_Up,FCRD_Down,FCRN_Up,FCRN_Down
period1,sc01,t0001, 285 , 265 ,,
period1,sc01,t0002, 285.170370868554 , 265.170370868554 ,,
period1,sc01,t0003, 285.669872981077 , 265.669872981077 ,,
period1,sc01,t0004, 286.464466094067 , 266.464466094067 ,,
period1,sc01,t0005, 287.5 , 267.5 ,,
period1,sc01,t0006, 288.705904774487 , 268.705904774487 ,,
period1,sc01,t0007, 290 , 270 ,,
period1,sc01,t0008, 291.294095225512 , 271.294095225512 ,,
period1,sc01,t0009, 292.5 , 272.5 ,,
period1,sc01,t0010, 293.535533905932 , 273.535533905932 ,,
period1,sc01,t0011, 294.330127018922 , 274.330127018922 ,,
period1,sc01,t0012, 294.829629131445 , 274.829629131445 ,,
period1,sc01,t0013, 305 , 285 ,,
period1,sc01,t0014, 304.829629131445 , 284.829629131445 ,,
period1,sc01,t0015, 304.330127018922 , 284.330127018922 ,,
period1,sc01,t0016, 303.535533905932 , 283.535533905932 ,,
period1,sc01,t0017, 302.5 , 282.5 ,,
period1,sc01,t0018, 301.294095225512 , 281.294095225512 ,,
period1,sc01,t0019, 300 , 280 ,,
period1,sc01,t0020, 298.705904774487 , 278.705904774487 ,,
period1,sc01,t0021, 297.5 , 277.5 ,,
period1,sc01,t0022, 296.464466094067 , 276.464466094067 ,,
period1,sc01,t0023, 295.669872981077 , 275.669872981077 ,,
period1,sc01,t0024, 295.170370868554 , 275.170370868554 ,,
period1,sc01,t0025, 295 , 275 ,,
period1,sc01,t0026, 295.170370868554 , 275.170370868554 ,,
period1,sc01,t0027, 295.669872981077 , 275.669872981077 ,,
period1,sc01,t0028, 296.464466094067 , 276.464466094067 ,,
period1,sc01,t0029, 297.5 , 277.5 ,,
period1,sc01,t0030, 298.705904774487 , 278.705904774487 ,,
period1,sc01,t0031, 300 , 280 ,,
period1,sc01,t0032, 301.294095225512 , 281.294095225512 ,,
period1,sc01,t0033, 302.5 , 282.5 ,,
period1,sc01,t0034, 303.535533905932 , 283.535533905932 ,,
period1,sc01,t0035, 304.330127018922 , 284.330127018922 ,,
period1,sc01,t0036, 304.829629131445 , 284.829629131445 ,,
period1,sc01,t0037, 305 , 285 ,,
period1,sc01,t0038, 304.829629131445 , 284.829629131445 ,,
period1,sc01,t0039, 304.330127018922 , 284.330127018922 ,,
period1,sc01,t0040, 303.535533905932 , 283.535533905932 ,,
period1,sc01,t0041, 302.5 , 282.5 ,,
period1,sc01,t0042, 301.294095225512 , 281.294095225512 ,,
period1,sc01,t0043, 300 , 280 ,,
period1,sc01,t0044, 298.705904774487 , 278.705904774487 ,,
period1,sc01,t0045, 297.5 , 277.5 ,,
period1,sc01,t0046, 296.464466094067 , 276.464466094067 ,,
period1,sc01,t0047, 295.669872981077 , 275.669872981077 ,,
period1,sc01,t0048, 295.170370868554 , 275.170370868554 ,,
period1,sc01,t0049, 295 , 275 ,,
period1,sc01,t0050, 295.170370868554 , 275.170370868554 ,,
