,,,EleR_01,HydR_01
period1,sc01,t0001, 0.0346737083 ,
period1,sc01,t0002, 0.027102550475 ,
period1,sc01,t0003, 0.0267733697 ,
period1,sc01,t0004, 0.02172593115 ,
period1,sc01,t0005, 0.019641119575 ,
period1,sc01,t0006, 0.029735996675 ,
period1,sc01,t0007, 0.01953139265 ,
period1,sc01,t0008, 0.022274565775 ,
period1,sc01,t0009, 0.0320402621 ,
period1,sc01,t0010, 0.035880704475 ,
period1,sc01,t0011, 0.047072850825 ,
period1,sc01,t0012, 0.048609027775 ,
period1,sc01,t0013, 0.0487187547 ,
period1,sc01,t0014, 0.04937711625 ,
period1,sc01,t0015, 0.065726428075 ,
period1,sc01,t0016, 0.13452521005 ,
period1,sc01,t0017, 0.2067255267 ,
period1,sc01,t0018, 0.227025007825 ,
period1,sc01,t0019, 0.178964614675 ,
period1,sc01,t0020, 0.109726925 ,
period1,sc01,t0021, 0.088549628475 ,
period1,sc01,t0022, 0.0754921244 ,
period1,sc01,t0023, 0.1057767557 ,
period1,sc01,t0024, 0.0772477552 ,
period1,sc01,t0025, 0.0373071545 ,
period1,sc01,t0026, 0.035661250625 ,
period1,sc01,t0027, 0.04389077 ,
period1,sc01,t0028, 0.073407312825 ,
period1,sc01,t0029, 0.117517536675 ,
period1,sc01,t0030, 0.194984745725 ,
period1,sc01,t0031, 0.44088278465 ,
period1,sc01,t0032, 1.03121364115 ,
period1,sc01,t0033, 1.301909965125 ,
period1,sc01,t0034, 1.3689531163 ,
period1,sc01,t0035, 1.353481619875 ,
period1,sc01,t0036, 1.21248252125 ,
period1,sc01,t0037, 1.1064863117 ,
period1,sc01,t0038, 1.16420267425 ,
period1,sc01,t0039, 1.2350862678 ,
period1,sc01,t0040, 1.40252955535 ,
period1,sc01,t0041, 1.4848247491 ,
period1,sc01,t0042, 1.646013601925 ,
period1,sc01,t0043, 1.61320525135 ,
period1,sc01,t0044, 1.188671778525 ,
period1,sc01,t0045, 1.13611258145 ,
period1,sc01,t0046, 0.837765072375 ,
period1,sc01,t0047, 0.67877075805 ,
period1,sc01,t0048, 0.5394175633 ,
period1,sc01,t0049, 0.471935504425 ,
period1,sc01,t0050, 0.418608218875 ,
period1,sc01,t0051, 0.38645822985 ,
period1,sc01,t0052, 0.366817110275 ,
period1,sc01,t0053, 0.326218148025 ,
period1,sc01,t0054, 0.33554493665 ,
period1,sc01,t0055, 0.4209124843 ,
period1,sc01,t0056, 0.5740912716 ,
period1,sc01,t0057, 0.88769082325 ,
period1,sc01,t0058, 0.879680757725 ,
period1,sc01,t0059, 0.835351080025 ,
period1,sc01,t0060, 0.752397524725 ,
period1,sc01,t0061, 0.6039369952 ,
period1,sc01,t0062, 0.586929321825 ,
period1,sc01,t0063, 0.5920864873 ,
period1,sc01,t0064, 0.809236071875 ,
period1,sc01,t0065, 1.10538904245 ,
period1,sc01,t0066, 1.167384755075 ,
period1,sc01,t0067, 1.19843747485 ,
period1,sc01,t0068, 1.111204569475 ,
period1,sc01,t0069, 0.927082789325 ,
period1,sc01,t0070, 0.89559116185 ,
period1,sc01,t0071, 0.747350086175 ,
period1,sc01,t0072, 0.7527267055 ,
period1,sc01,t0073, 0.56070458675 ,
period1,sc01,t0074, 0.524604428425 ,
period1,sc01,t0075, 0.484444373875 ,
period1,sc01,t0076, 0.484663827725 ,
period1,sc01,t0077, 0.471496596725 ,
period1,sc01,t0078, 0.47467867755 ,
period1,sc01,t0079, 0.637842615025 ,
period1,sc01,t0080, 0.9243396162 ,
period1,sc01,t0081, 1.0994637885 ,
period1,sc01,t0082, 1.161459501125 ,
period1,sc01,t0083, 1.167823662775 ,
period1,sc01,t0084, 1.158387147225 ,
