,,,EV_01,AEL_01,PEMEL_01
period1,sc01,t0001, 0 ,,
period1,sc01,t0002, 0 ,,
period1,sc01,t0003, 0 ,,
period1,sc01,t0004, 0 ,,
period1,sc01,t0005, 0 ,,
period1,sc01,t0006, 0 ,,
period1,sc01,t0007, 0 ,,
period1,sc01,t0008, 0 ,,
period1,sc01,t0009, 0 ,,
period1,sc01,t0010, 2.9050504935 ,,
period1,sc01,t0011, 2.9050504935 ,,
period1,sc01,t0012, 2.9050504935 ,,
period1,sc01,t0013, 2.9050504935 ,,
period1,sc01,t0014, 2.9050504935 ,,
period1,sc01,t0015, 2.9050504935 ,,
period1,sc01,t0016, 2.9050504935 ,,
period1,sc01,t0017, 0 ,,
period1,sc01,t0018, 0 ,,
period1,sc01,t0019, 0 ,,
period1,sc01,t0020, 0 ,,
period1,sc01,t0021, 0 ,,
period1,sc01,t0022, 0 ,,
period1,sc01,t0023, 0 ,,
period1,sc01,t0024, 0 ,,
period1,sc01,t0025, 0 ,,
period1,sc01,t0026, 0 ,,
period1,sc01,t0027, 0 ,,
period1,sc01,t0028, 0 ,,
period1,sc01,t0029, 0 ,,
period1,sc01,t0030, 0 ,,
period1,sc01,t0031, 0 ,,
period1,sc01,t0032, 0 ,,
period1,sc01,t0033, 2.0272367325 ,,
period1,sc01,t0034, 2.0272367325 ,,
period1,sc01,t0035, 2.0272367325 ,,
period1,sc01,t0036, 2.0272367325 ,,
period1,sc01,t0037, 2.0272367325 ,,
period1,sc01,t0038, 2.0272367325 ,,
period1,sc01,t0039, 2.0272367325 ,,
period1,sc01,t0040, 2.0272367325 ,,
period1,sc01,t0041, 2.0272367325 ,,
period1,sc01,t0042, 0 ,,
period1,sc01,t0043, 0 ,,
period1,sc01,t0044, 0 ,,
period1,sc01,t0045, 0 ,,
period1,sc01,t0046, 0 ,,
period1,sc01,t0047, 0 ,,
period1,sc01,t0048, 0 ,,
period1,sc01,t0049, 0 ,,
period1,sc01,t0050, 0 ,,
period1,sc01,t0051, 0 ,,
period1,sc01,t0052, 0 ,,
period1,sc01,t0053, 0 ,,
period1,sc01,t0054, 0 ,,
period1,sc01,t0055, 0 ,,
period1,sc01,t0056, 0 ,,
period1,sc01,t0057, 0 ,,
period1,sc01,t0058, 1.758817116 ,,
period1,sc01,t0059, 1.758817116 ,,
period1,sc01,t0060, 1.758817116 ,,
period1,sc01,t0061, 1.758817116 ,,
period1,sc01,t0062, 1.758817116 ,,
period1,sc01,t0063, 1.758817116 ,,
period1,sc01,t0064, 1.758817116 ,,
period1,sc01,t0065, 0 ,,
period1,sc01,t0066, 0 ,,
period1,sc01,t0067, 0 ,,
period1,sc01,t0068, 0 ,,
period1,sc01,t0069, 0 ,,
period1,sc01,t0070, 0 ,,
period1,sc01,t0071, 0 ,,
period1,sc01,t0072, 0 ,,
period1,sc01,t0073, 0 ,,
period1,sc01,t0074, 0 ,,
period1,sc01,t0075, 0 ,,
period1,sc01,t0076, 0 ,,
period1,sc01,t0077, 0 ,,
period1,sc01,t0078, 0 ,,
period1,sc01,t0079, 0 ,,
period1,sc01,t0080, 0 ,,
period1,sc01,t0081, 1.2581366295 ,,
period1,sc01,t0082, 1.2581366295 ,,
period1,sc01,t0083, 1.2581366295 ,,
period1,sc01,t0084, 1.2581366295 ,,
period1,sc01,t0085, 1.2581366295 ,,
period1,sc01,t0086, 1.2581366295 ,,
period1,sc01,t0087, 1.2581366295 ,,
period1,sc01,t0088, 1.2581366295 ,,
period1,sc01,t0089, 1.2581366295 ,,
period1,sc01,t0090, 0 ,,
period1,sc01,t0091, 0 ,,
period1,sc01,t0092, 0 ,,
period1,sc01,t0093, 0 ,,
period1,sc01,t0094, 0 ,,
period1,sc01,t0095, 0 ,,
period1,sc01,t0096, 0 ,,
period1,sc01,t0097, 0 ,,
period1,sc01,t0098, 0 ,,
period1,sc01,t0099, 0 ,,
period1,sc01,t0100, 0 ,,
period1,sc01,t0101, 0 ,,
period1,sc01,t0102, 0 ,,
period1,sc01,t0103, 0 ,,
period1,sc01,t0104, 0 ,,
period1,sc01,t0105, 0 ,,
period1,sc01,t0106, 0 ,,
period1,sc01,t0107, 2.068818204 ,,
period1,sc01,t0108, 2.068818204 ,,
period1,sc01,t0109, 2.068818204 ,,
period1,sc01,t0110, 2.068818204 ,,
period1,sc01,t0111, 2.068818204 ,,
period1,sc01,t0112, 2.068818204 ,,
period1,sc01,t0113, 2.068818204 ,,
period1,sc01,t0114, 2.068818204 ,,
period1,sc01,t0115, 2.068818204 ,,
period1,sc01,t0116, 0 ,,
period1,sc01,t0117, 0 ,,
period1,sc01,t0118, 0 ,,
