,,,EV_01,AEL_01,PEMEL_01
period1,sc01,t0001, 25 ,,
period1,sc01,t0002, 10 ,,
period1,sc01,t0003, 10 ,,
period1,sc01,t0004, 10 ,,
period1,sc01,t0005, 10 ,,
period1,sc01,t0006, 10 ,,
period1,sc01,t0007, 10 ,,
period1,sc01,t0008, 40 ,,
period1,sc01,t0009, 10 ,,
period1,sc01,t0010, 10 ,,
period1,sc01,t0011, 10 ,,
period1,sc01,t0012, 10 ,,
period1,sc01,t0013, 10 ,,
period1,sc01,t0014, 10 ,,
period1,sc01,t0015, 10 ,,
period1,sc01,t0016, 10 ,,
period1,sc01,t0017, 10 ,,
period1,sc01,t0018, 25 ,,
period1,sc01,t0019, 10 ,,
period1,sc01,t0020, 10 ,,
period1,sc01,t0021, 10 ,,
period1,sc01,t0022, 10 ,,
period1,sc01,t0023, 10 ,,
period1,sc01,t0024, 10 ,,
period1,sc01,t0025, 10 ,,
period1,sc01,t0026, 10 ,,
period1,sc01,t0027, 10 ,,
period1,sc01,t0028, 10 ,,
period1,sc01,t0029, 10 ,,
period1,sc01,t0030, 10 ,,
period1,sc01,t0031, 10 ,,
period1,sc01,t0032, 35 ,,
period1,sc01,t0033, 10 ,,
period1,sc01,t0034, 10 ,,
period1,sc01,t0035, 10 ,,
period1,sc01,t0036, 10 ,,
period1,sc01,t0037, 10 ,,
period1,sc01,t0038, 10 ,,
period1,sc01,t0039, 10 ,,
period1,sc01,t0040, 10 ,,
period1,sc01,t0041, 10 ,,
period1,sc01,t0042, 25 ,,
period1,sc01,t0043, 10 ,,
period1,sc01,t0044, 10 ,,
period1,sc01,t0045, 10 ,,
period1,sc01,t0046, 10 ,,
period1,sc01,t0047, 10 ,,
period1,sc01,t0048, 10 ,,
period1,sc01,t0049, 10 ,,
period1,sc01,t0050, 10 ,,
period1,sc01,t0051, 10 ,,
period1,sc01,t0052, 10 ,,
period1,sc01,t0053, 10 ,,
period1,sc01,t0054, 10 ,,
period1,sc01,t0055, 10 ,,
period1,sc01,t0056, 30 ,,
period1,sc01,t0057, 10 ,,
period1,sc01,t0058, 10 ,,
period1,sc01,t0059, 10 ,,
period1,sc01,t0060, 10 ,,
period1,sc01,t0061, 10 ,,
period1,sc01,t0062, 10 ,,
period1,sc01,t0063, 10 ,,
period1,sc01,t0064, 10 ,,
period1,sc01,t0065, 10 ,,
period1,sc01,t0066, 10 ,,
period1,sc01,t0067, 25 ,,
period1,sc01,t0068, 10 ,,
period1,sc01,t0069, 10 ,,
period1,sc01,t0070, 10 ,,
period1,sc01,t0071, 10 ,,
period1,sc01,t0072, 10 ,,
period1,sc01,t0073, 10 ,,
period1,sc01,t0074, 10 ,,
period1,sc01,t0075, 10 ,,
period1,sc01,t0076, 10 ,,
period1,sc01,t0077, 10 ,,
period1,sc01,t0078, 10 ,,
period1,sc01,t0079, 10 ,,
period1,sc01,t0080, 10 ,,
period1,sc01,t0081, 10 ,,
period1,sc01,t0082, 10 ,,
period1,sc01,t0083, 10 ,,
period1,sc01,t0084, 10 ,,
period1,sc01,t0085, 10 ,,
period1,sc01,t0086, 10 ,,
period1,sc01,t0087, 10 ,,
period1,sc01,t0088, 10 ,,
period1,sc01,t0089, 10 ,,
period1,sc01,t0090, 10 ,,
period1,sc01,t0091, 10 ,,
period1,sc01,t0092, 10 ,,
period1,sc01,t0093, 10 ,,
period1,sc01,t0094, 10 ,,
period1,sc01,t0095, 10 ,,
period1,sc01,t0096, 10 ,,
period1,sc01,t0097, 10 ,,
period1,sc01,t0098, 10 ,,
period1,sc01,t0099, 10 ,,
period1,sc01,t0100, 10 ,,
period1,sc01,t0101, 10 ,,
period1,sc01,t0102, 10 ,,
period1,sc01,t0103, 10 ,,
period1,sc01,t0104, 10 ,,
period1,sc01,t0105, 10 ,,
period1,sc01,t0106, 10 ,,
period1,sc01,t0107, 10 ,,
period1,sc01,t0108, 10 ,,
period1,sc01,t0109, 10 ,,
period1,sc01,t0110, 10 ,,
period1,sc01,t0111, 10 ,,
period1,sc01,t0112, 10 ,,
period1,sc01,t0113, 10 ,,
period1,sc01,t0114, 10 ,,
period1,sc01,t0115, 10 ,,
period1,sc01,t0116, 10 ,,
period1,sc01,t0117, 10 ,,
period1,sc01,t0118, 10 ,,
