,,,Solar_01,BESS_01,EV_01,AEL_01,PEMEL_01,EV_02,EV_03,EV_04,EV_05,EV_06,EV_07,EV_08,EV_09,EV_10,EV_11,EV_12,EV_13,EV_14,EV_15,EV_16,EV_17,EV_18,EV_19,EV_20
period1,sc01,t0001, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0002, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0003, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0004, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0005, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0006, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0007, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0008, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0009, 0.000000587 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0010, 0.052847885 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0011, 0.246613773 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0012, 0.362872714 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0013, 0.398100723 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0014, 0.29240857 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0015, 0.126826781 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0016, 0.007045915 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0017, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0018, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0019, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0020, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0021, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0022, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0023, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0024, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0025, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0026, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0027, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0028, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0029, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0030, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0031, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0032, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0033, 0.000000157 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0034, 0.003527229 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0035, 0.095124661 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0036, 0.155016782 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0037, 0.225472564 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0038, 0.197286649 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0039, 0.137391881 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0040, 0.0176142 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0041, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0042, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0043, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0044, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0045, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0046, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0047, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0048, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0049, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0050, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0051, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0052, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0053, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0054, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0055, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0056, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0057, 0.00000493 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0058, 0.063475357 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0059, 0.831512187 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0060, 1.786361686 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0061, 4.044194842 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0062, 1.109678302 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0063, 0.207845168 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0064, 0.049318116 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0065, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0066, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0067, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0068, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0069, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0070, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0071, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0072, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0073, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0074, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0075, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0076, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0077, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0078, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0079, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0080, 0.000000387 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0081, 0.003554347 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0082, 0.28546379 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0083, 1.159266528 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0084, 2.822031361 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0085, 3.547636563 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0086, 3.071923177 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0087, 1.719053472 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0088, 0.165562441 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0089, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0090, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0091, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0092, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0093, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0094, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0095, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0096, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0097, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0098, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0099, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0100, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
